geo,geo_label,NUTS_level,Country_code,year,total_employment,total_employment_pct_diff,population,employed_pct
BE,Belgium,0,BE,2008,4437400,NA,10666866,41.59984760284792
BE,Belgium,0,BE,2009,4415200,-0.5002929643484924,10753080,41.05986377856391
BE,Belgium,0,BE,2010,4478300,1.4291538322159811,10839905,41.31309268854294
BE,Belgium,0,BE,2011,4500100,0.4867918629837215,11000638,40.90762735761326
BE,Belgium,0,BE,2012,4513300,0.29332681495966756,11075889,40.74887352157466
BE,Belgium,0,BE,2013,4518600,0.1174307048057962,11137974,40.56931718461544
BE,Belgium,0,BE,2014,4535100,0.3651573496215642,11180840,40.561353172033584
BE,Belgium,0,BE,2015,4539900,0.10584110603955811,11237274,40.40036756245331
BE,Belgium,0,BE,2016,4578100,0.8414282252913059,11311117,40.474340421021196
BE,Belgium,0,BE,2017,4629000,1.1118149450645465,11351727,40.77793625586662
BE,Belgium,0,BE,2018,4744100,2.4864981637502703,11398589,41.620063676302394
BE,Belgium,0,BE,2019,4819500,1.5893425518011848,11455519,42.07142426283785
BE,Belgium,0,BE,2020,4789800,-0.6162464985994398,11522440,41.56932038700136
BE,Belgium,0,BE,2021,4847600,1.2067309699778697,11554767,41.953247521131324
BE,Belgium,0,BE,2022,4984200,2.8178892647908245,11617623,42.9020635288303
BE,Belgium,0,BE,2023,5021700,0.7523775129408933,11742796,42.764091277750204
BE,Belgium,0,BE,2024,5056300,0.689009697911066,11817096,42.78800815361067
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,1,BE,2008,396400,NA,1048491,37.80671460222358
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,1,BE,2009,403000,1.6649848637739657,1068532,37.7152953772091
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,1,BE,2010,409700,1.662531017369727,1089538,37.603094155504444
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,1,BE,2011,411300,0.3905296558457408,1136778,36.181206884721554
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,1,BE,2012,419800,2.0666180403598347,1151317,36.46259023361941
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,1,BE,2013,411600,-1.953311100524059,1165208,35.32416529924271
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,1,BE,2014,429500,4.348882410106899,1172751,36.62329002490725
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,1,BE,2015,433500,0.9313154831199069,1184101,36.61005268976211
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,1,BE,2016,443700,2.3529411764705883,1201285,36.935448290788614
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,1,BE,2017,451700,1.803020058598152,1199095,37.67007618245427
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,1,BE,2018,461800,2.235997343369493,1205492,38.30801033934692
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,1,BE,2019,466900,1.1043741879601559,1215290,38.41881361650306
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,1,BE,2020,469400,0.5354465624330691,1223364,38.369610353091964
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,1,BE,2021,478800,2.0025564550489987,1226329,39.043356228222606
