geo,year,unemployment_pct,geo_label,NUTS_level,Country_code,unemployment_diff
BE10,2013,19.2,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2,BE,NA
BE10,2014,18.3,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2,BE,-4.687499999999993
BE10,2015,17.3,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2,BE,-5.46448087431694
BE10,2016,16.8,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2,BE,-2.8901734104046244
BE10,2017,14.9,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2,BE,-11.30952380952381
BE10,2018,13.2,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2,BE,-11.40939597315437
BE10,2019,12.6,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2,BE,-4.545454545454543
BE10,2020,12.3,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2,BE,-2.3809523809523725
BE10,2021,12.4,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2,BE,0.8130081300812979
BE10,2022,11.4,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2,BE,-8.064516129032258
BE10,2023,10.6,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2,BE,-7.0175438596491295
BE10,2024,11.8,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2,BE,11.320754716981142
BE21,2013,6.2,Prov. Antwerpen,2,BE,NA
BE21,2014,6.1,Prov. Antwerpen,2,BE,-1.6129032258064602
BE21,2015,6.1,Prov. Antwerpen,2,BE,0
BE21,2016,6.1,Prov. Antwerpen,2,BE,0
BE21,2017,5.9,Prov. Antwerpen,2,BE,-3.2786885245901525
BE21,2018,4.4,Prov. Antwerpen,2,BE,-25.423728813559322
BE21,2019,3.6,Prov. Antwerpen,2,BE,-18.181818181818183
BE21,2020,4,Prov. Antwerpen,2,BE,11.111111111111107
BE21,2021,5.2,Prov. Antwerpen,2,BE,30.000000000000004
BE21,2022,4,Prov. Antwerpen,2,BE,-23.076923076923077
BE21,2023,3.6,Prov. Antwerpen,2,BE,-9.999999999999998
BE21,2024,4.6,Prov. Antwerpen,2,BE,27.77777777777776
BE22,2013,5.5,Prov. Limburg (BE),2,BE,NA
BE22,2014,5.6,Prov. Limburg (BE),2,BE,1.818181818181812
BE22,2015,6,Prov. Limburg (BE),2,BE,7.1428571428571495
BE22,2016,4.8,Prov. Limburg (BE),2,BE,-20.000000000000004
BE22,2017,4.1,Prov. Limburg (BE),2,BE,-14.583333333333337
BE22,2018,3.8,Prov. Limburg (BE),2,BE,-7.317073170731704
BE22,2019,3.6,Prov. Limburg (BE),2,BE,-5.263157894736835
BE22,2020,3.6,Prov. Limburg (BE),2,BE,0
BE22,2021,3.4,Prov. Limburg (BE),2,BE,-5.55555555555556
BE22,2022,3.5,Prov. Limburg (BE),2,BE,2.941176470588238
BE22,2023,3.2,Prov. Limburg (BE),2,BE,-8.571428571428566
BE22,2024,3.8,Prov. Limburg (BE),2,BE,18.74999999999999
BE23,2013,4,Prov. Oost-Vlaanderen,2,BE,NA
BE23,2014,4.3,Prov. Oost-Vlaanderen,2,BE,7.499999999999996
BE23,2015,4.4,Prov. Oost-Vlaanderen,2,BE,2.3255813953488498
BE23,2016,4.2,Prov. Oost-Vlaanderen,2,BE,-4.545454545454549
BE23,2017,3.4,Prov. Oost-Vlaanderen,2,BE,-19.04761904761905
BE23,2018,2.7,Prov. Oost-Vlaanderen,2,BE,-20.58823529411764
BE23,2019,2.9,Prov. Oost-Vlaanderen,2,BE,7.407407407407398
BE23,2020,2.7,Prov. Oost-Vlaanderen,2,BE,-6.896551724137923
BE23,2021,2.8,Prov. Oost-Vlaanderen,2,BE,3.7037037037036904
BE23,2022,2,Prov. Oost-Vlaanderen,2,BE,-28.571428571428566
BE23,2023,2.9,Prov. Oost-Vlaanderen,2,BE,44.99999999999999
BE23,2024,3.4,Prov. Oost-Vlaanderen,2,BE,17.24137931034483
BE24,2013,5.5,Prov. Vlaams-Brabant,2,BE,NA
BE24,2014,5,Prov. Vlaams-Brabant,2,BE,-9.090909090909092
BE24,2015,5.1,Prov. Vlaams-Brabant,2,BE,1.9999999999999927
BE24,2016,4.8,Prov. Vlaams-Brabant,2,BE,-5.8823529411764675
BE24,2017,4.7,Prov. Vlaams-Brabant,2,BE,-2.083333333333326
BE24,2018,3.6,Prov. Vlaams-Brabant,2,BE,-23.404255319148938
BE24,2019,3.6,Prov. Vlaams-Brabant,2,BE,0
BE24,2020,3.9,Prov. Vlaams-Brabant,2,BE,8.333333333333329
BE24,2021,4,Prov. Vlaams-Brabant,2,BE,2.5641025641025665
BE24,2022,3.6,Prov. Vlaams-Brabant,2,BE,-9.999999999999998
BE24,2023,4.2,Prov. Vlaams-Brabant,2,BE,16.666666666666668
BE24,2024,4.2,Prov. Vlaams-Brabant,2,BE,0
BE25,2013,3.9,Prov. West-Vlaanderen,2,BE,NA
BE25,2014,4.2,Prov. West-Vlaanderen,2,BE,7.6923076923077
BE25,2015,4.2,Prov. West-Vlaanderen,2,BE,0
BE25,2016,3.7,Prov. West-Vlaanderen,2,BE,-11.904761904761903
BE25,2017,3.2,Prov. West-Vlaanderen,2,BE,-13.513513513513512
BE25,2018,2.6,Prov. West-Vlaanderen,2,BE,-18.750000000000004
BE25,2019,2.5,Prov. West-Vlaanderen,2,BE,-3.8461538461538494
BE25,2020,3.3,Prov. West-Vlaanderen,2,BE,31.999999999999996
BE25,2021,3.6,Prov. West-Vlaanderen,2,BE,9.090909090909099
