geo,geo_label,NUTS_level,Country_code,year,education_level,education_level_pct,education_level_pct_diff
BE,Belgium,0,BE,2008,low,30.4,NA
BE,Belgium,0,BE,2009,low,29.4,-3.289473684210526
BE,Belgium,0,BE,2010,low,29.5,0.3401360544217735
BE,Belgium,0,BE,2011,low,28.7,-2.7118644067796636
BE,Belgium,0,BE,2012,low,28.4,-1.0452961672473893
BE,Belgium,0,BE,2013,low,27.2,-4.225352112676054
BE,Belgium,0,BE,2014,low,26.4,-2.941176470588238
BE,Belgium,0,BE,2015,low,25.3,-4.166666666666659
BE,Belgium,0,BE,2016,low,24.9,-1.581027667984198
BE,Belgium,0,BE,2017,low,23.2,-6.827309236947789
BE,Belgium,0,BE,2018,low,21.8,-6.034482758620683
BE,Belgium,0,BE,2019,low,21.3,-2.2935779816513757
BE,Belgium,0,BE,2020,low,20.2,-5.164319248826297
BE,Belgium,0,BE,2021,low,18.5,-8.415841584158413
BE,Belgium,0,BE,2022,low,17.6,-4.864864864864858
BE,Belgium,0,BE,2023,low,17.8,1.1363636363636322
BE,Belgium,0,BE,2024,low,17.2,-3.37078651685394
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,1,BE,2008,low,33.1,NA
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,1,BE,2009,low,31,-6.344410876132935
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,1,BE,2010,low,32.2,3.870967741935493
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,1,BE,2011,low,32.7,1.5527950310559004
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,1,BE,2012,low,31.7,-3.058103975535179
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,1,BE,2013,low,32.4,2.2082018927444773
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,1,BE,2014,low,32,-1.2345679012345634
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,1,BE,2015,low,30.2,-5.625000000000002
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,1,BE,2016,low,29.1,-3.6423841059602577
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,1,BE,2017,low,27.1,-6.8728522336769755
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,1,BE,2018,low,26.7,-1.4760147601476092
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,1,BE,2019,low,27.6,3.370786516853941
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,1,BE,2020,low,26.9,-2.5362318840579814
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,1,BE,2021,low,24.1,-10.408921933085493
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,1,BE,2022,low,22.1,-8.29875518672199
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,1,BE,2023,low,21.2,-4.072398190045258
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,1,BE,2024,low,21,-0.943396226415091
BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2,BE,2008,low,33.1,NA
BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2,BE,2009,low,31,-6.344410876132935
BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2,BE,2010,low,32.2,3.870967741935493
BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2,BE,2011,low,32.7,1.5527950310559004
BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2,BE,2012,low,31.7,-3.058103975535179
