NUTS_name,NUTS_level,year,Hotel_Arrivals_Natives,Hotel_Arrivals_Foreign,Hotel_Arrivals_Total,Hotel_Beds,Hotel_Arrivals_Natives_pct_diff,Hotel_Arrivals_Foreign_pct_diff,Hotel_Arrivals_Total_pct_diff,Hotel_Beds_pct_diff
ΑΝΑΤΟΛΙΚΗ ΜΑΚΕΔΟΝΙΑ & ΘΡΑΚΗ,2,2015,336095,270610,606705,22183,NA,NA,NA,NA
ΑΝΑΤΟΛΙΚΗ ΜΑΚΕΔΟΝΙΑ & ΘΡΑΚΗ,2,2016,337191,268807,605998,22333,0.3260982757851203,-0.6662724954731902,-0.11653109830972218,0.6761934814948384
ΑΝΑΤΟΛΙΚΗ ΜΑΚΕΔΟΝΙΑ & ΘΡΑΚΗ,2,2017,352469,296546,649015,23998,4.530963163311002,10.319299720617394,7.098538279004221,7.4553351542560335
ΑΝΑΤΟΛΙΚΗ ΜΑΚΕΔΟΝΙΑ & ΘΡΑΚΗ,2,2018,369286,345988,715274,25250,4.7711997367144345,16.67262414600096,10.209163116414874,5.21710142511876
ΑΝΑΤΟΛΙΚΗ ΜΑΚΕΔΟΝΙΑ & ΘΡΑΚΗ,2,2019,363602,356595,720197,25620,-1.5391864300298415,3.065713261731621,0.6882677127925803,1.4653465346534653
ΑΝΑΤΟΛΙΚΗ ΜΑΚΕΔΟΝΙΑ & ΘΡΑΚΗ,2,2020,179771,65060,244831,21960,-50.55830275961078,-81.75521249596882,-66.0049958553007,-14.285714285714285
ΑΝΑΤΟΛΙΚΗ ΜΑΚΕΔΟΝΙΑ & ΘΡΑΚΗ,2,2021,218454,141664,360118,18368,21.517931145735407,117.74362127267138,47.088399753299214,-16.357012750455375
ΑΝΑΤΟΛΙΚΗ ΜΑΚΕΔΟΝΙΑ & ΘΡΑΚΗ,2,2022,325594,305012,630606,22744,49.0446501322933,115.30664106618478,75.11093585991259,23.82404181184669
ΑΝΑΤΟΛΙΚΗ ΜΑΚΕΔΟΝΙΑ & ΘΡΑΚΗ,2,2023,352779,369921,722700,22375,8.349355332100714,21.28080206680393,14.604047535228018,-1.6224059092507914
ΑΤΤΙΚΗ,2,2015,1189619,2615990,3805609,53590,NA,NA,NA,NA
ΑΤΤΙΚΗ,2,2016,1191349,2530513,3721862,53732,0.1454247116093472,-3.2674819093345158,-2.200620189830327,0.2649748087329726
ΑΤΤΙΚΗ,2,2017,1200521,2906545,4107066,55816,0.7698835521748875,14.859911804444396,10.349765789274294,3.8785081515670368
ΑΤΤΙΚΗ,2,2018,1327170,3424862,4752032,62686,10.549503090741437,17.832753320523164,15.703813866151654,12.308298695714491
ΑΤΤΙΚΗ,2,2019,1386319,3458674,4844993,64506,4.4567764491361315,0.987251457139003,1.956236826688036,2.903359601824969
ΑΤΤΙΚΗ,2,2020,588199,743521,1331720,59328,-57.57116507816743,-78.50271520241571,-72.51347937963996,-8.027160264161473
ΑΤΤΙΚΗ,2,2021,796468,1468710,2265178,54088,35.40791466833504,97.53443413165196,70.09416393836541,-8.832254584681769
ΑΤΤΙΚΗ,2,2022,1207726,3172040,4379766,68029,51.6352194940663,115.97456271149511,93.35195732962266,25.774663511314895
ΑΤΤΙΚΗ,2,2023,1399128,3779970,5179098,68864,15.848131115832565,19.16526903822146,18.250564071231203,1.2274177189139925
ΒΟΡΕΙΟ ΑΙΓΑΙΟ,2,2015,102151,251213,353364,22475,NA,NA,NA,NA
ΒΟΡΕΙΟ ΑΙΓΑΙΟ,2,2016,98524,187936,286460,21941,-3.5506260340084776,-25.188584985649626,-18.933451058964692,-2.375973303670745
ΒΟΡΕΙΟ ΑΙΓΑΙΟ,2,2017,114122,228977,343099,23256,15.831675530835126,21.83775327771156,19.772044962647488,5.993345790984915
