geo,NUTS_level,year,GDP,GDP_pct_diff
EU27_2020,NA,2008,93.6,1.1
EU27_2020,NA,2009,90,-3.8
EU27_2020,NA,2010,92.5,2.7
EU27_2020,NA,2011,94.8,2.5
EU27_2020,NA,2012,94.6,-0.2
EU27_2020,NA,2013,95.1,0.5
EU27_2020,NA,2014,97.1,2.2
EU27_2020,NA,2015,100,2.9
EU27_2020,NA,2016,102.5,2.5
EU27_2020,NA,2017,105.9,3.4
EU27_2020,NA,2018,108.7,2.6
EU27_2020,NA,2019,111.3,2.4
EU27_2020,NA,2020,105.2,-5.5
EU27_2020,NA,2021,111.9,6.4
EU27_2020,NA,2022,115.8,3.5
EU27_2020,NA,2023,116.3,0.4
BE,0,2008,93,0.4
BE,0,2009,91.1,-2
BE,0,2010,93.7,2.9
BE,0,2011,95.3,1.7
BE,0,2012,96,0.7
BE,0,2013,96.5,0.5
BE,0,2014,98,1.6
BE,0,2015,100,2
BE,0,2016,101.3,1.3
BE,0,2017,102.9,1.6
BE,0,2018,104.8,1.8
BE,0,2019,107.1,2.2
BE,0,2020,102.1,-4.6
BE,0,2021,108.5,6.2
BE,0,2022,113.1,4.2
BE,0,2023,114.5,1.3
BE1,1,2008,97.3,-0.1
BE1,1,2009,95.2,-2.2
BE1,1,2010,97.1,2.1
BE1,1,2011,97.6,0.4
BE1,1,2012,98.8,1.3
BE1,1,2013,98.6,-0.2
BE1,1,2014,99.1,0.5
BE1,1,2015,100,0.9
BE1,1,2016,99.5,-0.5
BE1,1,2017,100.6,1.1
BE1,1,2018,101.7,1.1
BE1,1,2019,104.3,2.5
BE1,1,2020,99.5,-4.6
BE1,1,2021,104.1,4.7
BE1,1,2022,105.6,1.4
BE1,1,2023,106.2,0.6
BE10,2,2008,97.3,-0.1
BE10,2,2009,95.2,-2.2
BE10,2,2010,97.1,2.1
BE10,2,2011,97.6,0.4
BE10,2,2012,98.8,1.3
BE10,2,2013,98.6,-0.2
BE10,2,2014,99.1,0.5
BE10,2,2015,100,0.9
BE10,2,2016,99.5,-0.5
BE10,2,2017,100.6,1.1
BE10,2,2018,101.7,1.1
BE10,2,2019,104.3,2.5
BE10,2,2020,99.5,-4.6
BE10,2,2021,104.1,4.7
BE10,2,2022,105.6,1.4
BE10,2,2023,106.2,0.6
BE2,1,2008,91.1,0.3
BE2,1,2009,89.4,-1.8
BE2,1,2010,91.7,2.6
BE2,1,2011,94,2.5
BE2,1,2012,94.7,0.7
BE2,1,2013,95.4,0.8
BE2,1,2014,97.3,2
BE2,1,2015,100,2.7
BE2,1,2016,101.8,1.8
BE2,1,2017,103.5,1.7
BE2,1,2018,105.1,1.5
BE2,1,2019,107.2,2
BE2,1,2020,102.1,-4.8
BE2,1,2021,110,7.7
BE2,1,2022,115.8,5.3
BE2,1,2023,117.4,1.4
BE21,2,2008,90.6,0.8
BE21,2,2009,88.5,-2.2
BE21,2,2010,90.9,2.7
BE21,2,2011,94,3.4
BE21,2,2012,94.3,0.4
BE21,2,2013,95,0.7
BE21,2,2014,96.9,1.9
BE21,2,2015,100,3.2
BE21,2,2016,101.7,1.7
BE21,2,2017,102.9,1.2
BE21,2,2018,104.7,1.7
BE21,2,2019,107.2,2.4
BE21,2,2020,102.9,-4
BE21,2,2021,108.8,5.7
BE21,2,2022,115.1,5.8
BE21,2,2023,116.2,0.9
BE22,2,2008,95,1.7
BE22,2,2009,89.2,-6.1
BE22,2,2010,92.7,3.9
BE22,2,2011,95.7,3.3
BE22,2,2012,96.1,0.4
BE22,2,2013,96.5,0.5
BE22,2,2014,99.6,3.2
BE22,2,2015,100,0.4
BE22,2,2016,101.7,1.7
BE22,2,2017,103.8,2.1
BE22,2,2018,105.5,1.6
BE22,2,2019,106.6,1
BE22,2,2020,100.8,-5.4
BE22,2,2021,107.7,6.8
BE22,2,2022,111.6,3.7
BE22,2,2023,112.6,0.9
BE23,2,2008,89.9,-0.6
BE23,2,2009,89.6,-0.4
BE23,2,2010,91.9,2.5
BE23,2,2011,93.6,1.9
BE23,2,2012,93.7,0.1
BE23,2,2013,94.4,0.7
BE23,2,2014,96.2,2
BE23,2,2015,100,3.9
BE23,2,2016,101.7,1.7
BE23,2,2017,104.2,2.5
BE23,2,2018,105,0.8
BE23,2,2019,106.9,1.8
BE23,2,2020,102.7,-4
BE23,2,2021,111.6,8.7
BE23,2,2022,116.6,4.5
BE23,2,2023,117.1,0.4
BE24,2,2008,89.9,0.7
BE24,2,2009,90.6,0.8
BE24,2,2010,91.9,1.4
BE24,2,2011,93.4,1.6
BE24,2,2012,95.3,2.1
BE24,2,2013,96,0.7
BE24,2,2014,97.2,1.3
BE24,2,2015,100,2.8
BE24,2,2016,102.1,2.1
BE24,2,2017,103.8,1.6
BE24,2,2018,106.1,2.2
BE24,2,2019,108.4,2.2
BE24,2,2020,101.2,-6.6
BE24,2,2021,113,11.6
BE24,2,2022,122.1,8.1
BE24,2,2023,125.8,3
BE25,2,2008,92.3,-1
BE25,2,2009,89.8,-2.8
BE25,2,2010,92.4,3
BE25,2,2011,94.1,1.8
BE25,2,2012,95,0.9
BE25,2,2013,96,1.1
BE25,2,2014,98.3,2.4
BE25,2,2015,100,1.7
BE25,2,2016,101.7,1.7
BE25,2,2017,103.4,1.7
BE25,2,2018,104.7,1.3
BE25,2,2019,106.8,2
BE25,2,2020,101.5,-5
BE25,2,2021,108.7,7.1
BE25,2,2022,111.9,3
BE25,2,2023,114.2,2
BE3,1,2008,94.4,1.3
BE3,1,2009,92.2,-2.3
BE3,1,2010,96.1,4.1
BE3,1,2011,96.9,0.9
BE3,1,2012,97.2,0.3
BE3,1,2013,97.5,0.3
BE3,1,2014,98.8,1.3
BE3,1,2015,100,1.2
BE3,1,2016,101.5,1.5
BE3,1,2017,103.3,1.8
BE3,1,2018,106.4,3
BE3,1,2019,109.1,2.6
BE3,1,2020,104.5,-4.2
BE3,1,2021,108.2,3.6
BE3,1,2022,112.4,3.8
BE3,1,2023,113.9,1.4
BE31,2,2008,84.1,1.3
BE31,2,2009,84.6,0.6
BE31,2,2010,94.2,11.3
BE31,2,2011,88,-6.6
BE31,2,2012,90.6,3
BE31,2,2013,94.2,3.9
BE31,2,2014,98.6,4.7
BE31,2,2015,100,1.4
BE31,2,2016,104.4,4.4
BE31,2,2017,107.8,3.2
BE31,2,2018,117,8.5
BE31,2,2019,128.1,9.5
BE31,2,2020,122.1,-4.6
BE31,2,2021,115.2,-5.6
BE31,2,2022,124.1,7.7
BE31,2,2023,128.9,3.8
BE32,2,2008,97.7,1.8
BE32,2,2009,93.3,-4.5
