NUTS_label,year,NUTS_level,Hotel_Stays_Natives,Hotel_Stays_Foreign,Hotel_Stays_Total,Hotel_Beds,Hotel_Occupancy,Hotel_Stays_Natives_pct_diff,Hotel_Stays_Foreign_pct_diff,Hotel_Stays_Total_pct_diff,Hotel_Occupancy_pct_diff
ΑΝΑΤΟΛΙΚΗ ΜΑΚΕΔΟΝΙΑ & ΘΡΑΚΗ,2015,2,738585,1059451,1798036,22183,36.3,NA,NA,NA,NA
ΑΝΑΤΟΛΙΚΗ ΜΑΚΕΔΟΝΙΑ & ΘΡΑΚΗ,2016,2,771074,999132,1770206,22333,35.5,4.398816656173629,-5.693420460219491,-1.5477999328155831,-2.2038567493112873
ΑΝΑΤΟΛΙΚΗ ΜΑΚΕΔΟΝΙΑ & ΘΡΑΚΗ,2017,2,798288,1174954,1973242,23998,36.2,3.529362940521921,17.59747460795971,11.469625569001574,1.971830985915501
ΑΝΑΤΟΛΙΚΗ ΜΑΚΕΔΟΝΙΑ & ΘΡΑΚΗ,2018,2,819982,1365376,2185358,25250,34.8,2.7175655903633777,16.2067621370709,10.749619154670334,-3.867403314917142
ΑΝΑΤΟΛΙΚΗ ΜΑΚΕΔΟΝΙΑ & ΘΡΑΚΗ,2019,2,789713,1362429,2152142,25620,34.2,-3.6914224946401264,-0.21583798162557422,-1.519934033691505,-1.7241379310344664
ΑΝΑΤΟΛΙΚΗ ΜΑΚΕΔΟΝΙΑ & ΘΡΑΚΗ,2020,2,481152,310766,791918,21960,19.3,-39.07254914127031,-77.1902976228486,-63.20326446860849,-43.567251461988306
ΑΝΑΤΟΛΙΚΗ ΜΑΚΕΔΟΝΙΑ & ΘΡΑΚΗ,2021,2,523553,714878,1238431,18368,30.8,8.81239192604416,130.0373914778322,56.383741751039885,59.58549222797927
ΑΝΑΤΟΛΙΚΗ ΜΑΚΕΔΟΝΙΑ & ΘΡΑΚΗ,2022,2,725078,1311845,2036923,22744,40.1,38.49180503215529,83.50613671143887,64.4760991932534,30.1948051948052
ΑΝΑΤΟΛΙΚΗ ΜΑΚΕΔΟΝΙΑ & ΘΡΑΚΗ,2023,2,780080,1535271,2315351,22375,44.3,7.585666645519516,17.03143282933578,13.669048854571331,10.473815461346621
ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,2024,2,791611,1614990,2406601,22595,44.1,NA,NA,NA,NA
ΑΤΤΙΚΗ,2015,2,2332643,5661483,7994126,53590,47.1,NA,NA,NA,NA
ΑΤΤΙΚΗ,2016,2,2332698,5671125,8003823,53732,47.2,0.002357840441079068,0.17030873359506687,0.12130156567459657,0.2123142250530816
ΑΤΤΙΚΗ,2017,2,2360438,6473146,8833584,55816,49.7,1.1891809398387618,14.142185192532347,10.36705834199482,5.296610169491525
ΑΤΤΙΚΗ,2018,2,2596000,7576299,10172299,62686,49.9,9.97958853399242,17.041991637451094,15.154834096783368,0.40241448692152054
ΑΤΤΙΚΗ,2019,2,2656897,7603950,10260847,64506,48.5,2.3458012326656394,0.3649671165301158,0.870481687571315,-2.8056112224448873
ΑΤΤΙΚΗ,2020,2,1179198,1790303,2969501,59328,22.8,-55.61747406843397,-76.45561846145753,-71.05988423762678,-52.98969072164949
ΑΤΤΙΚΗ,2021,2,1608025,3318037,4926062,54088,33.5,36.36598773064405,85.333823380735,65.8885449104075,46.92982456140351
ΑΤΤΙΚΗ,2022,2,2372822,7285123,9657945,68029,48.3,47.56126304006468,119.56123454922295,96.0581291912282,44.17910447761193
ΑΤΤΙΚΗ,2023,2,2754550,8572789,11327339,68864,54.5,16.087510989024885,17.675281529220577,17.28518851577639,12.836438923395452
ΑΤΤΙΚΗΣ,2024,2,2817308,8779633,11596941,72114,52,NA,NA,NA,NA
ΒΟΡΕΙΟ ΑΙΓΑΙΟ,2015,2,343160,1421364,1764524,22475,38.9,NA,NA,NA,NA
ΒΟΡΕΙΟ ΑΙΓΑΙΟ,2016,2,347730,1183055,1530785,21941,33.4,1.3317402960718032,-16.766218927734204,-13.246575280358897,-14.138817480719796
ΒΟΡΕΙΟ ΑΙΓΑΙΟ,2017,2,396506,1354165,1750671,23256,36.1,14.026974951830443,14.463401955107752,14.364264086726743,8.08383233532935
ΒΟΡΕΙΟ ΑΙΓΑΙΟ,2018,2,450839,1609213,2060052,24687,36.4,13.702945226553947,18.83433702687634,17.672138282978356,0.8310249307479145
ΒΟΡΕΙΟ ΑΙΓΑΙΟ,2019,2,467553,1538153,2005706,26610,35,3.707310148412182,-4.415823138391251,-2.6380887472743404,-3.8461538461538423
ΒΟΡΕΙΟ ΑΙΓΑΙΟ,2020,2,295033,203476,498509,13773,20.1,-36.898490652396625,-86.77140700567499,-75.14546000261255,-42.57142857142856
ΒΟΡΕΙΟ ΑΙΓΑΙΟ,2021,2,327640,615187,942827,16859,29,11.051984015347434,202.3388507735556,89.12938382255888,44.27860696517412
ΒΟΡΕΙΟ ΑΙΓΑΙΟ,2022,2,449159,1328072,1777231,24005,36.6,37.08918324990844,115.881024794087,88.50022326471347,26.20689655172414
ΒΟΡΕΙΟ ΑΙΓΑΙΟ,2023,2,509527,1508312,2017839,24002,39.4,13.44022940651306,13.571553349517195,13.538363893044854,7.6502732240437075
ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,2024,2,492003,1686031,2178034,23353,39.6,NA,NA,NA,NA
ΔΥΤΙΚΗ ΕΛΛΑΔΑ,2015,2,873160,867076,1740236,19632,33.5,NA,NA,NA,NA
ΔΥΤΙΚΗ ΕΛΛΑΔΑ,2016,2,913719,894059,1807778,19181,35.1,4.645082230060928,3.1119532774520344,3.8811977226077383,4.776119402985079
ΔΥΤΙΚΗ ΕΛΛΑΔΑ,2017,2,910576,992336,1902912,19252,35.8,-0.343978838132949,10.992227582296023,5.2624824508319055,1.9943019943019822
ΔΥΤΙΚΗ ΕΛΛΑΔΑ,2018,2,906554,1065944,1972498,20022,33.7,-0.44169844142608633,7.417648860869705,3.6568165001849797,-5.865921787709482
ΔΥΤΙΚΗ ΕΛΛΑΔΑ,2019,2,896131,1103142,1999273,20604,33,-1.1497384601468859,3.4896767560021913,1.3574158250097086,-2.077151335311581
ΔΥΤΙΚΗ ΕΛΛΑΔΑ,2020,2,512514,215286,727800,17277,22.7,-42.808138542244386,-80.4842894205823,-63.596767424958976,-31.212121212121215
ΔΥΤΙΚΗ ΕΛΛΑΔΑ,2021,2,582461,478776,1061237,15528,29.5,13.647822303390736,122.39068030433936,45.814372080241824,29.955947136563882
ΔΥΤΙΚΗ ΕΛΛΑΔΑ,2022,2,879852,861283,1741135,20825,34.3,51.0576673803053,79.89268467926546,64.06655629232678,16.27118644067796
ΔΥΤΙΚΗ ΕΛΛΑΔΑ,2023,2,999656,1117985,2117641,20293,39.6,13.616380936793915,29.80460545488533,21.624170440545964,15.451895043731792
ΔΥΤΙΚΗ ΜΑΚΕΔΟΝΙΑ,2015,2,254146,34830,288976,5417,17,NA,NA,NA,NA
ΔΥΤΙΚΗ ΜΑΚΕΔΟΝΙΑ,2016,2,237401,32502,269903,5280,15.9,-6.5887324608689495,-6.683893195521103,-6.60020209290737,-6.470588235294115
ΔΥΤΙΚΗ ΜΑΚΕΔΟΝΙΑ,2017,2,243503,50945,294448,5324,17,2.5703345815729506,56.74420035690111,9.094007847263647,6.9182389937106885
ΔΥΤΙΚΗ ΜΑΚΕΔΟΝΙΑ,2018,2,268788,71371,340159,5885,17,10.383855640382254,40.09421925606046,15.524303102754985,0
ΔΥΤΙΚΗ ΜΑΚΕΔΟΝΙΑ,2019,2,258210,54593,312803,6035,15.3,-3.935443546586901,-23.508147566938952,-8.042121478485061,-9.999999999999996
ΔΥΤΙΚΗ ΜΑΚΕΔΟΝΙΑ,2020,2,121843,18207,140050,4956,12.8,-52.81243948723907,-66.649570457751,-55.22741150180784,-16.33986928104575
ΔΥΤΙΚΗ ΜΑΚΕΔΟΝΙΑ,2021,2,145642,22027,167669,4079,15.8,19.532513152171237,20.980941396166312,19.720813995001784,23.4375
ΔΥΤΙΚΗ ΜΑΚΕΔΟΝΙΑ,2022,2,213787,35031,248818,6589,16.2,46.78938767663174,59.03663685476914,48.39833242877336,2.531645569620244
ΔΥΤΙΚΗ ΜΑΚΕΔΟΝΙΑ,2023,2,252331,44736,297067,5962,20.5,18.02915986472517,27.704033570266333,19.391281981207147,26.543209876543216
ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,2024,2,953371,1123758,2077129,20271,35.9,NA,NA,NA,NA
ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,2024,2,258093,39527,297620,6049,19.2,NA,NA,NA,NA
ΗΠΕΙΡΟΣ,2015,2,610290,281936,892226,12898,26.4,NA,NA,NA,NA
ΗΠΕΙΡΟΣ,2016,2,628900,327724,956624,13696,27.9,3.049369971652821,16.240565234663187,7.217678032247435,5.6818181818181825
ΗΠΕΙΡΟΣ,2017,2,678982,420220,1099202,13892,30.1,7.963428207982191,28.223749252419715,14.904288414256802,7.885304659498218
ΗΠΕΙΡΟΣ,2018,2,885153,665317,1550470,17670,30.4,30.36472248159745,58.32587692161248,41.0541465535907,0.9966777408637779
ΗΠΕΙΡΟΣ,2019,2,851901,707084,1558985,18057,29.8,-3.75663868280399,6.277759323750934,0.5491883106412895,-1.9736842105263088
ΗΠΕΙΡΟΣ,2020,2,483319,155309,638628,15595,20.6,-43.265825489112,-78.0352829366808,-59.03565460860752,-30.872483221476504
ΗΠΕΙΡΟΣ,2021,2,526341,276790,803131,13710,26.4,8.901367419861417,78.21890553670426,25.75881420795831,28.155339805825225
ΗΠΕΙΡΟΣ,2022,2,829214,633696,1462910,19095,32.5,57.5431136848545,128.9446873080675,82.15085708309105,23.106060606060613
ΗΠΕΙΡΟΣ,2023,2,970366,771233,1741599,18467,37.8,17.022385053797933,21.70394005958693,19.050317517824062,16.3076923076923
ΗΠΕΙΡΟΥ,2024,2,1057472,828796,1886268,18068,40,NA,NA,NA,NA
ΘΕΣΣΑΛΙΑ,2015,2,1016117,964179,1980296,27353,29.6,NA,NA,NA,NA
ΘΕΣΣΑΛΙΑ,2016,2,1148698,914046,2062744,27791,30.2,13.047808470874909,-5.199553194998025,4.163417994077653,2.0270270270270196
ΘΕΣΣΑΛΙΑ,2017,2,1175494,1034225,2209719,27855,31.3,2.332728010321251,13.148025372902458,7.1252176712185324,3.6423841059602697
ΘΕΣΣΑΛΙΑ,2018,2,1235173,1377229,2612402,31025,31.8,5.076929359060957,33.165317024825356,18.2232673023131,1.5974440894568689
ΘΕΣΣΑΛΙΑ,2019,2,1284171,1377455,2661626,31713,31.9,3.9668937063876886,0.016409761920493978,1.8842429304525108,0.3144654088050247
ΘΕΣΣΑΛΙΑ,2020,2,706410,227383,933793,24252,20.6,-44.99097082865132,-83.49252788657343,-64.91644581169555,-35.423197492163
ΘΕΣΣΑΛΙΑ,2021,2,867520,561466,1428986,22013,30.8,22.806868532438667,146.92523187749305,53.03027544648546,49.51456310679611
ΘΕΣΣΑΛΙΑ,2022,2,1118731,1295752,2414483,29884,36.9,28.957372740686093,130.78013628607965,68.96477642188236,19.805194805194798
ΘΕΣΣΑΛΙΑ,2023,2,1231517,1424864,2656381,29282,40.2,10.081601385855938,9.964252418672709,10.018625105250276,8.943089430894322
ΘΕΣΣΑΛΙΑΣ,2024,2,1255742,1441211,2696953,28822,37.8,NA,NA,NA,NA
ΙΟΝΙΑ ΝΗΣΙΑ,2015,2,594684,7800147,8394831,83102,60,NA,NA,NA,NA
ΙΟΝΙΑ ΝΗΣΙΑ,2016,2,629070,8505483,9134553,86652,62.1,5.782230562786286,9.04259881256084,8.81163658922973,3.500000000000002
ΙΟΝΙΑ ΝΗΣΙΑ,2017,2,649906,9235127,9885033,91358,62.4,3.3121910121290155,8.578513413053674,8.215837162475275,0.4830917874396089
ΙΟΝΙΑ ΝΗΣΙΑ,2018,2,855589,11916822,12772411,108834,59.8,31.64811526589999,29.03798724153983,29.2095939386343,-4.16666666666667
ΙΟΝΙΑ ΝΗΣΙΑ,2019,2,881018,11909411,12790429,112895,57.3,2.9721045969501714,-0.062189399153566284,0.141069685277118,-4.1806020066889635
ΙΟΝΙΑ ΝΗΣΙΑ,2020,2,378008,2954124,3332132,64835,41.5,-57.09417968758868,-75.19504533011751,-73.94823895273568,-27.57417102966841
ΙΟΝΙΑ ΝΗΣΙΑ,2021,2,589732,6179313,6769045,81832,53.4,56.01045480518931,109.17581658725226,103.14456330061354,28.67469879518072
ΙΟΝΙΑ ΝΗΣΙΑ,2022,2,771517,11286712,12058229,106404,60.7,30.825018822109023,82.65318490906675,78.13781707759367,13.670411985018735
ΙΟΝΙΑ ΝΗΣΙΑ,2023,2,876675,12932665,13809340,107084,65.4,13.630030187280385,14.583104450614137,14.522124268829195,7.742998352553547
ΙΟΝΙΩΝ ΝΗΣΩΝ,2024,2,923921,13403976,14327897,105850,61.1,NA,NA,NA,NA
ΚΕΝΤΡΙΚΗ ΜΑΚΕΔΟΝΙΑ,2015,2,2285342,5909053,8194395,79065,45.6,NA,NA,NA,NA
ΚΕΝΤΡΙΚΗ ΜΑΚΕΔΟΝΙΑ,2016,2,2433334,5934225,8367559,78157,46.3,6.475704730407965,0.42599042520011243,2.113200547447371,1.5350877192982362
ΚΕΝΤΡΙΚΗ ΜΑΚΕΔΟΝΙΑ,2017,2,2393495,6692506,9086001,80036,48.3,-1.6372187295291152,12.778096550097107,8.586040445009111,4.319654427645789
ΚΕΝΤΡΙΚΗ ΜΑΚΕΔΟΝΙΑ,2018,2,2725044,8016353,10741397,97959,44,13.852086593036542,19.781035683793185,18.219192359763113,-8.902691511387157
ΚΕΝΤΡΙΚΗ ΜΑΚΕΔΟΝΙΑ,2019,2,2660314,8149029,10809343,98869,43.9,-2.3753744893660436,1.6550668365028336,0.6325620401145214,-0.2272727272727305
ΚΕΝΤΡΙΚΗ ΜΑΚΕΔΟΝΙΑ,2020,2,1286613,1486463,2773076,71048,22.8,-51.63679926504916,-81.75901693318308,-74.34556383306553,-48.06378132118451
ΚΕΝΤΡΙΚΗ ΜΑΚΕΔΟΝΙΑ,2021,2,1574495,4218004,5792499,74142,38.9,22.375181970025174,183.76111615290793,108.88352861587637,70.61403508771929
ΚΕΝΤΡΙΚΗ ΜΑΚΕΔΟΝΙΑ,2022,2,2289238,7546534,9835772,96476,48.6,45.39506317898755,78.91244294694837,69.80187653031965,24.935732647814916
ΚΕΝΤΡΙΚΗ ΜΑΚΕΔΟΝΙΑ,2023,2,2648999,8394574,11043573,93967,53.3,15.715316625007972,11.237476701224693,12.279676674083133,9.670781893004106
ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,2024,2,2740555,8922223,11662778,96294,49.4,NA,NA,NA,NA
ΚΡΗΤΗ,2015,2,937888,20157067,21094955,176672,61.9,NA,NA,NA,NA
ΚΡΗΤΗ,2016,2,968291,21839443,22807734,180530,65.2,3.2416450578320655,8.346333323196276,8.119377358235653,5.331179321486275
ΚΡΗΤΗ,2017,2,900830,23573083,24473913,186209,65.6,-6.967017146704864,7.938114538910172,7.305324588580348,0.6134969325153243
ΚΡΗΤΗ,2018,2,1131173,27871922,29003095,209557,61.7,25.57008536571828,18.236218826362254,18.506162050996913,-5.945121951219499
ΚΡΗΤΗ,2019,2,1202326,26760215,27962541,215581,57.2,6.2901961061659,-3.988626977357356,-3.5877343435243723,-7.293354943273905
ΚΡΗΤΗ,2020,2,522044,6561087,7083131,140118,36.3,-56.580494807564676,-75.48193465560722,-74.6692155051288,-36.53846153846155
ΚΡΗΤΗ,2021,2,799484,14639324,15438808,166714,50.7,53.14494563676625,123.1234550006729,117.96586848386681,39.66942148760332
ΚΡΗΤΗ,2022,2,1190635,25636639,26827274,201581,58.9,48.92543190357781,75.1217405940329,73.7651896441746,16.173570019723858
ΚΡΗΤΗ,2023,2,1341093,27688474,29029567,200093,63.2,12.636786252713888,8.003525735179249,8.209156845380564,7.300509337860789
ΚΡΗΤΗΣ,2024,2,1381228,27567942,28949170,200072,54,NA,NA,NA,NA
ΝΟΤΙΟ ΑΙΓΑΙΟ,2015,2,1071872,17735593,18807465,177745,59,NA,NA,NA,NA
ΝΟΤΙΟ ΑΙΓΑΙΟ,2016,2,1215173,17618576,18833749,178687,57.6,13.369226922617624,-0.6597862276158457,0.1397530182828999,-2.372881355932201
ΝΟΤΙΟ ΑΙΓΑΙΟ,2017,2,1255562,20054482,21310044,184699,60.9,3.3237242762964616,13.825782515000077,13.148178835769766,5.729166666666662
ΝΟΤΙΟ ΑΙΓΑΙΟ,2018,2,1925772,27902129,29827901,239453,59.4,53.37928353996059,39.13163650898587,39.97109062749941,-2.4630541871921183
ΝΟΤΙΟ ΑΙΓΑΙΟ,2019,2,1891046,28701778,30592824,253395,57.7,-1.8032248885122435,2.8659067557174582,2.564454669472049,-2.861952861952855
ΝΟΤΙΟ ΑΙΓΑΙΟ,2020,2,887634,7342324,8229958,153242,40.1,-53.06121585619811,-74.41857434755435,-73.09840373023425,-30.50259965337955
ΝΟΤΙΟ ΑΙΓΑΙΟ,2021,2,1206721,15315940,16522661,186769,50.9,35.94803714143442,108.59798614171751,100.7623975723813,26.93266832917705
ΝΟΤΙΟ ΑΙΓΑΙΟ,2022,2,1643699,26835038,28478737,239367,56.2,36.2120158677938,75.20986632227601,72.36168556626563,10.412573673870343
ΝΟΤΙΟ ΑΙΓΑΙΟ,2023,2,1827779,28126513,29954292,236184,57.5,11.199130741090674,4.812644573113703,5.181251542159331,2.313167259786472
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,2024,2,1847309,30600629,32447938,237935,53.3,NA,NA,NA,NA
ΠΕΛΟΠΟΝΝΗΣΟΣ,2015,2,1355977,1123336,2479313,33517,27.4,NA,NA,NA,NA
ΠΕΛΟΠΟΝΝΗΣΟΣ,2016,2,1460924,1343328,2804252,34007,30.5,7.739585553442279,19.583811077006345,13.106009608306818,11.313868613138691
ΠΕΛΟΠΟΝΝΗΣΟΣ,2017,2,1493979,1597958,3091937,36901,31.8,2.262609143254543,18.955162104861955,10.258885435403094,4.262295081967215
ΠΕΛΟΠΟΝΝΗΣΟΣ,2018,2,1927132,2128893,4056025,40607,34,28.99324555432171,33.22584198082803,31.18071293173179,6.9182389937106885
ΠΕΛΟΠΟΝΝΗΣΟΣ,2019,2,1856367,2080501,3936868,42134,31.8,-3.6720369959089463,-2.273106257571423,-2.9377777503836886,-6.470588235294115
ΠΕΛΟΠΟΝΝΗΣΟΣ,2020,2,1107260,350747,1458007,33211,21.8,-40.353389173584745,-83.14122415706602,-62.9653064314069,-31.446540880503143
ΠΕΛΟΠΟΝΝΗΣΟΣ,2021,2,1346893,804225,2151118,31290,31.2,21.641981106515182,129.28920275868362,47.538249130491145,43.11926605504586
ΠΕΛΟΠΟΝΝΗΣΟΣ,2022,2,1712165,1729660,3441825,40839,37.4,27.11960044339083,115.07165283347322,60.00168284585039,19.871794871794872
ΠΕΛΟΠΟΝΝΗΣΟΣ,2023,2,1966991,1992593,3959584,41517,39.4,14.883261835161916,15.201426870020699,15.043152978434406,5.347593582887701
ΠΕΛΟΠΟΝΝΗΣΟΥ,2024,2,2108429,2018211,4126640,40172,39.3,NA,NA,NA,NA
ΣΤΕΡΕΑ ΕΛΛΑΔΑ,2015,2,787409,555325,1342734,23677,23.2,NA,NA,NA,NA
