NUTS_label,NUTS_level,year,Turnover_Catering,Turnover_Accomodation,Turnover_Catering_pct_diff,Turnover_Accomodation_pct_diff
Αττική,1,2019,2447373,1674803,NA,NA
Αττική,1,2020,1848473,732109,-24.47113701099097,-56.28685881264841
Αττική,1,2021,2436255,1274737,31.798246444497703,74.11847142980076
Αττική,1,2022,3698547,2233624,51.812802846992625,75.22233998071759
Αττική,1,2023,4408579,2631652,19.197593000710818,17.81983001615312
Αττική,1,2024,4464743,2871918,1.273970592338257,9.129854555237547
Βόρεια Ελλάδα,1,2019,1275458,967903,NA,NA
Βόρεια Ελλάδα,1,2020,963510,326132,-24.45772420573629,-66.30530125436124
Βόρεια Ελλάδα,1,2021,1264176,745144,31.20528069246816,128.4792660640477
Βόρεια Ελλάδα,1,2022,1882467,1123765,48.90861715457341,50.81178939909602
Βόρεια Ελλάδα,1,2023,2165710,1322156,15.046372658856702,17.654135873603465
Βόρεια Ελλάδα,1,2024,2180284,1400302,0.6729432841885571,5.91049770223786
Κεντρική Ελλάδα,1,2019,1252652,1011954,NA,NA
Κεντρική Ελλάδα,1,2020,922208,367912,-26.379553140058054,-63.64340671611556
Κεντρική Ελλάδα,1,2021,1227317,759854,33.08461865435997,106.53145317358499
Κεντρική Ελλάδα,1,2022,1870127,1299494,52.37522172348301,71.0189062635717
Κεντρική Ελλάδα,1,2023,2183654,1517762,16.765011146301827,16.79638382324197
Κεντρική Ελλάδα,1,2024,2256837,1670218,3.3514009087520273,10.044789631048873
"Νησιά Αιγαίου, Κρήτη",1,2019,1217894,3461180,NA,NA
"Νησιά Αιγαίου, Κρήτη",1,2020,620316,985607,-49.066503324591466,-71.52396003675047
"Νησιά Αιγαίου, Κρήτη",1,2021,1149650,2715168,85.33295933040579,175.48180968682243
"Νησιά Αιγαίου, Κρήτη",1,2022,1912284,4606914,66.33618927499674,69.67325778736343
"Νησιά Αιγαίου, Κρήτη",1,2023,2089900,4908475,9.288160126843085,6.545835238079113
"Νησιά Αιγαίου, Κρήτη",1,2024,2215368,5424723,6.003540839274606,10.517482517482518
ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,2,2019,217058,105379,NA,NA
ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,2,2020,163764,44939,-24.55288448248855,-57.35488095351066
ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,2,2021,208417,78872,27.266676436823722,75.50902334275351
ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,2,2022,303675,123061,45.705484677353574,56.026219697738114
ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,2,2023,353934,147773,16.5502593232897,20.081097992052722
ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,2,2024,366335,141478,3.5037605881322507,-4.259912162573677
ΑΤΤΙΚΗΣ,2,2019,2447373,1674803,NA,NA
ΑΤΤΙΚΗΣ,2,2020,1848473,732109,-24.47113701099097,-56.28685881264841
ΑΤΤΙΚΗΣ,2,2021,2436255,1274737,31.798246444497703,74.11847142980076
ΑΤΤΙΚΗΣ,2,2022,3698547,2233624,51.812802846992625,75.22233998071759
ΑΤΤΙΚΗΣ,2,2023,4408579,2631652,19.197593000710818,17.81983001615312
ΑΤΤΙΚΗΣ,2,2024,4464743,2871918,1.273970592338257,9.129854555237547
ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,2,2019,120023,83427,NA,NA
ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,2,2020,45917,24257,-61.7431658932038,-70.92428110803456
ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,2,2021,61753,39622,34.48831587429492,63.342540297646046
ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,2,2022,153079,95862,147.8891713762894,141.9413457170259
ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,2,2023,192784,102755,25.93758778147231,7.190544741399095
ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,2,2024,218010,137613,13.085110797576563,33.92341005303878
ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,2,2019,218878,67675,NA,NA
ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,2,2020,177830,29006,-18.753826332477452,-57.13926856298486
ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,2,2021,215988,48592,21.457571838272507,67.52396055988416
ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,2,2022,312488,80035,44.67840805970702,64.70818241685873
ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,2,2023,372057,89671,19.062812011981258,12.039732616980071
ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,2,2024,382913,94886,2.9178324826572273,5.815704073780821
ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,2,2019,69401,28775,NA,NA
ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,2,2020,54798,15090,-21.0414835521102,-47.55864465682016
ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,2,2021,66053,18197,20.53907076900617,20.58979456593771
ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,2,2022,100046,25792,51.46321893025297,41.737649063032364
ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,2,2023,115336,33852,15.282969833876416,31.25
ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,2,2024,116466,36419,0.9797461330373864,7.583008389460002
ΗΠΕΙΡΟΥ,2,2019,157162,83317,NA,NA
ΗΠΕΙΡΟΥ,2,2020,114075,38227,-27.415660274112064,-54.118607247020414
ΗΠΕΙΡΟΥ,2,2021,155075,68162,35.94126671049748,78.3085253878149
ΗΠΕΙΡΟΥ,2,2022,227526,106881,46.71997420602934,56.804377805815555
