geo,year,unemployment_rate,geo_label,NUTS_level,Country_code,unemployment_rate_pct_diff
AT,2000,9.6,Austria,0,AT,NA
AT,2001,9.3,Austria,0,AT,-3.124999999999989
AT,2002,8,Austria,0,AT,-13.978494623655921
AT,2003,7.5,Austria,0,AT,-6.25
AT,2004,10.3,Austria,0,AT,37.33333333333334
AT,2005,10.1,Austria,0,AT,-1.9417475728155442
AT,2006,9.6,Austria,0,AT,-4.9504950495049505
AT,2007,9.4,Austria,0,AT,-2.083333333333326
AT,2008,8.9,Austria,0,AT,-5.319148936170213
AT,2009,9.6,Austria,0,AT,7.865168539325834
AT,2010,9.1,Austria,0,AT,-5.208333333333334
AT,2011,8.5,Austria,0,AT,-6.5934065934065895
AT,2012,8.2,Austria,0,AT,-3.5294117647058907
AT,2013,8.6,Austria,0,AT,4.87804878048781
AT,2014,9.3,Austria,0,AT,8.139534883720943
AT,2015,8.7,Austria,0,AT,-6.451612903225821
AT,2016,8.9,Austria,0,AT,2.298850574712656
AT,2017,8.4,Austria,0,AT,-5.617977528089887
AT,2018,8.4,Austria,0,AT,0
AT,2019,8.3,Austria,0,AT,-1.1904761904761862
AT,2020,9.5,Austria,0,AT,14.457831325301196
AT,2021,9.4,Austria,0,AT,-1.0526315789473648
AT,2022,9.1,Austria,0,AT,-3.191489361702135
AT,2023,9.4,Austria,0,AT,3.2967032967033045
AT,2024,9.2,Austria,0,AT,-2.1276595744680966
AT1,2000,10.4,Ostösterreich,1,AT,NA
AT1,2001,10.4,Ostösterreich,1,AT,0
AT1,2002,9.6,Ostösterreich,1,AT,-7.692307692307699
AT1,2003,8.9,Ostösterreich,1,AT,-7.29166666666666
AT1,2004,12,Ostösterreich,1,AT,34.8314606741573
AT1,2005,11.9,Ostösterreich,1,AT,-0.8333333333333304
AT1,2006,11.9,Ostösterreich,1,AT,0
AT1,2007,11.2,Ostösterreich,1,AT,-5.88235294117648
AT1,2008,10.3,Ostösterreich,1,AT,-8.035714285714274
AT1,2009,11.2,Ostösterreich,1,AT,8.737864077669888
AT1,2010,10.1,Ostösterreich,1,AT,-9.821428571428568
AT1,2011,10.3,Ostösterreich,1,AT,1.980198019801991
AT1,2012,9.6,Ostösterreich,1,AT,-6.796116504854378
