NUTS code,NUTS name,Year,Period,age,isco08_1d,value
AT,Austria,2023,A,15 - 29 years,ISCO_4-5_low skilled non-manual,311.131
AT,Austria,2023,A,15 - 29 years,ISCO 6-8_skilled manual,199.383
AT,Austria,2023,A,15 - 29 years,ISCO_9_elementary occupations,46.213
AT,Austria,2023,A,15 - 29 years,ISCO_0_armed forces occupations,0.0
AT,Austria,2023,A,15 - 29 years,ISCO_1-3_highly skilled non-manual,393.741
AT,Austria,2023,A,15 - 64 years,ISCO_0_armed forces occupations,0.0
AT,Austria,2023,A,15 - 64 years,ISCO_4-5_low skilled non-manual,1167.262
AT,Austria,2023,A,15 - 64 years,ISCO_9_elementary occupations,343.442
AT,Austria,2023,A,15 - 64 years,ISCO 6-8_skilled manual,866.838
AT,Austria,2023,A,15 - 64 years,ISCO_1-3_highly skilled non-manual,2006.812
AT,Austria,2023,A,30 - 64 years,ISCO 6-8_skilled manual,667.457
AT,Austria,2023,A,30 - 64 years,ISCO_1-3_highly skilled non-manual,1613.071
AT,Austria,2023,A,30 - 64 years,ISCO_9_elementary occupations,293.221
AT,Austria,2023,A,30 - 64 years,ISCO_0_armed forces occupations,0.0
AT,Austria,2023,A,30 - 64 years,ISCO_4-5_low skilled non-manual,856.13
AT,Austria,2022,A,30 - 64 years,ISCO_9_elementary occupations,296.438
AT,Austria,2022,A,30 - 64 years,ISCO 6-8_skilled manual,689.845
AT,Austria,2022,A,30 - 64 years,ISCO_1-3_highly skilled non-manual,1548.669
AT,Austria,2022,A,30 - 64 years,ISCO_4-5_low skilled non-manual,866.913
AT,Austria,2022,A,30 - 64 years,ISCO_0_armed forces occupations,0.0
AT,Austria,2022,A,15 - 29 years,ISCO_0_armed forces occupations,0.0
AT,Austria,2022,A,15 - 29 years,ISCO_4-5_low skilled non-manual,299.715
AT,Austria,2022,A,15 - 29 years,ISCO 6-8_skilled manual,210.587
AT,Austria,2022,A,15 - 29 years,ISCO_1-3_highly skilled non-manual,381.398
AT,Austria,2022,A,15 - 29 years,ISCO_9_elementary occupations,47.518
AT,Austria,2022,A,15 - 64 years,ISCO_1-3_highly skilled non-manual,1930.067
AT,Austria,2022,A,15 - 64 years,ISCO 6-8_skilled manual,900.434
AT,Austria,2022,A,15 - 64 years,ISCO_0_armed forces occupations,0.0
AT,Austria,2022,A,15 - 64 years,ISCO_4-5_low skilled non-manual,1166.628
AT,Austria,2022,A,15 - 64 years,ISCO_9_elementary occupations,348.071
AT,Austria,2021,A,15 - 29 years,ISCO_9_elementary occupations,50.811
AT,Austria,2021,A,15 - 29 years,ISCO_4-5_low skilled non-manual,295.87
AT,Austria,2021,A,15 - 29 years,ISCO_0_armed forces occupations,0.0
AT,Austria,2021,A,15 - 29 years,ISCO 6-8_skilled manual,204.738
AT,Austria,2021,A,15 - 29 years,ISCO_1-3_highly skilled non-manual,362.807
AT,Austria,2021,A,30 - 64 years,ISCO_0_armed forces occupations,0.0
AT,Austria,2021,A,30 - 64 years,ISCO_9_elementary occupations,285.042
AT,Austria,2021,A,30 - 64 years,ISCO_1-3_highly skilled non-manual,1491.267
AT,Austria,2021,A,30 - 64 years,ISCO_4-5_low skilled non-manual,832.924
AT,Austria,2021,A,30 - 64 years,ISCO 6-8_skilled manual,691.524
AT,Austria,2021,A,15 - 64 years,ISCO_1-3_highly skilled non-manual,1854.076
AT,Austria,2021,A,15 - 64 years,ISCO 6-8_skilled manual,896.259
AT,Austria,2021,A,15 - 64 years,ISCO_4-5_low skilled non-manual,1128.792
AT,Austria,2021,A,15 - 64 years,ISCO_0_armed forces occupations,3.513
AT,Austria,2021,A,15 - 64 years,ISCO_9_elementary occupations,339.231
AT,Austria,2020,A,30 - 64 years,ISCO_9_elementary occupations,281.823
AT,Austria,2020,A,30 - 64 years,ISCO 6-8_skilled manual,701.714
AT,Austria,2020,A,30 - 64 years,ISCO_4-5_low skilled non-manual,819.584
AT,Austria,2020,A,30 - 64 years,ISCO_1-3_highly skilled non-manual,1492.452
AT,Austria,2020,A,30 - 64 years,ISCO_0_armed forces occupations,0.0
AT,Austria,2020,A,15 - 64 years,ISCO_1-3_highly skilled non-manual,1842.284
AT,Austria,2020,A,15 - 64 years,ISCO_9_elementary occupations,338.903
AT,Austria,2020,A,15 - 64 years,ISCO_4-5_low skilled non-manual,1119.75
AT,Austria,2020,A,15 - 64 years,ISCO_0_armed forces occupations,0.0
AT,Austria,2020,A,15 - 64 years,ISCO 6-8_skilled manual,911.249
AT,Austria,2020,A,15 - 29 years,ISCO_9_elementary occupations,50.573
AT,Austria,2020,A,15 - 29 years,ISCO_0_armed forces occupations,0.0
AT,Austria,2020,A,15 - 29 years,ISCO_4-5_low skilled non-manual,300.166
AT,Austria,2020,A,15 - 29 years,ISCO_1-3_highly skilled non-manual,349.835
AT,Austria,2020,A,15 - 29 years,ISCO 6-8_skilled manual,209.536
AT,Austria,2019,A,15 - 64 years,ISCO_9_elementary occupations,354.24
AT,Austria,2019,A,15 - 64 years,ISCO_0_armed forces occupations,4.268
AT,Austria,2019,A,15 - 64 years,ISCO 6-8_skilled manual,941.444
AT,Austria,2019,A,15 - 64 years,ISCO_1-3_highly skilled non-manual,1800.942
AT,Austria,2019,A,15 - 64 years,ISCO_4-5_low skilled non-manual,1173.166
AT,Austria,2019,A,30 - 64 years,ISCO 6-8_skilled manual,723.188
AT,Austria,2019,A,30 - 64 years,ISCO_0_armed forces occupations,0.0
AT,Austria,2019,A,30 - 64 years,ISCO_1-3_highly skilled non-manual,1451.057
AT,Austria,2019,A,30 - 64 years,ISCO_4-5_low skilled non-manual,847.273
AT,Austria,2019,A,30 - 64 years,ISCO_9_elementary occupations,296.296
AT,Austria,2019,A,15 - 29 years,ISCO_4-5_low skilled non-manual,325.893
AT,Austria,2019,A,15 - 29 years,ISCO_1-3_highly skilled non-manual,349.886
AT,Austria,2019,A,15 - 29 years,ISCO_9_elementary occupations,51.428
AT,Austria,2019,A,15 - 29 years,ISCO 6-8_skilled manual,218.256
AT,Austria,2019,A,15 - 29 years,ISCO_0_armed forces occupations,0.0
AT,Austria,2018,A,15 - 29 years,ISCO 6-8_skilled manual,216.405
AT,Austria,2018,A,15 - 29 years,ISCO_0_armed forces occupations,0.0
AT,Austria,2018,A,15 - 29 years,ISCO_1-3_highly skilled non-manual,347.515
AT,Austria,2018,A,15 - 29 years,ISCO_4-5_low skilled non-manual,332.508
AT,Austria,2018,A,15 - 29 years,ISCO_9_elementary occupations,49.511
AT,Austria,2018,A,15 - 64 years,ISCO_4-5_low skilled non-manual,1165.765
AT,Austria,2018,A,15 - 64 years,ISCO_9_elementary occupations,350.204
AT,Austria,2018,A,15 - 64 years,ISCO 6-8_skilled manual,933.274
AT,Austria,2018,A,15 - 64 years,ISCO_1-3_highly skilled non-manual,1779.917
AT,Austria,2018,A,15 - 64 years,ISCO_0_armed forces occupations,4.75
AT,Austria,2018,A,30 - 64 years,ISCO 6-8_skilled manual,716.87
AT,Austria,2018,A,30 - 64 years,ISCO_4-5_low skilled non-manual,833.259
AT,Austria,2018,A,30 - 64 years,ISCO_1-3_highly skilled non-manual,1432.401
AT,Austria,2018,A,30 - 64 years,ISCO_0_armed forces occupations,3.57
AT,Austria,2018,A,30 - 64 years,ISCO_9_elementary occupations,292.184
AT,Austria,2017,A,15 - 29 years,ISCO 6-8_skilled manual,214.537
AT,Austria,2017,A,15 - 29 years,ISCO_0_armed forces occupations,0.0
AT,Austria,2017,A,15 - 29 years,ISCO_4-5_low skilled non-manual,337.509
AT,Austria,2017,A,15 - 29 years,ISCO_1-3_highly skilled non-manual,347.165
AT,Austria,2017,A,15 - 29 years,ISCO_9_elementary occupations,53.159
AT,Austria,2017,A,15 - 64 years,ISCO_0_armed forces occupations,0.0
AT,Austria,2017,A,15 - 64 years,ISCO_1-3_highly skilled non-manual,1747.422
AT,Austria,2017,A,15 - 64 years,ISCO_4-5_low skilled non-manual,1175.101
AT,Austria,2017,A,15 - 64 years,ISCO 6-8_skilled manual,915.319
AT,Austria,2017,A,15 - 64 years,ISCO_9_elementary occupations,337.289
AT,Austria,2017,A,30 - 64 years,ISCO 6-8_skilled manual,700.784
AT,Austria,2017,A,30 - 64 years,ISCO_4-5_low skilled non-manual,837.592
AT,Austria,2017,A,30 - 64 years,ISCO_9_elementary occupations,281.284
AT,Austria,2017,A,30 - 64 years,ISCO_0_armed forces occupations,0.0
AT,Austria,2017,A,30 - 64 years,ISCO_1-3_highly skilled non-manual,1400.256
AT,Austria,2016,A,15 - 29 years,ISCO_0_armed forces occupations,0.0
AT,Austria,2016,A,15 - 29 years,ISCO 6-8_skilled manual,230.091
AT,Austria,2016,A,15 - 29 years,ISCO_9_elementary occupations,50.673
