Year,NUTS,NUTS_el,GFCF_GHI,GFCF_Total
2000,ELLADA,ΕΛΛΑΔΑ,3776.9602914806896,35316.606206535136
2000,ATTIKI,ATTΙΚΗ,2489.5208109111254,13586.756644166027
2000,Attiki,Αττική,2489.5208109111254,13586.756644166027
2000,"NISIA AIGAIOU, KRITI","ΝΗΣΙΑ ΑΙΓΑΙΟΥ, ΚΡΗΤΗ",247.1393154138147,2906.6657305048625
2000,Voreio Aigaio,Βόρειο Αιγαίο,20.235779730440072,453.80372140645636
2000,Notio Aigaio,Νότιο Αιγαίο,105.34953163022531,909.3942748305253
2000,Kriti,Κρήτη,121.5540040531493,1543.4677342678817
2000,VOREIA ELLADA,ΒΟΡΕΙΑ ΕΛΛΑΔΑ,641.9752061552645,9776.339279169504
2000,"Anatoliki Makedonia, Thraki","Ανατολική Μακεδονία, Θράκη",47.826887959861445,1617.5646384076122
2000,Kentriki Makedonia,Κεντρική Μακεδονία,528.2375093725344,6313.302392151953
2000,Dytiki Makedonia,Δυτική Μακεδονία,30.347961901953774,1037.2034727603889
2000,Ipeiros,Ήπειρος,35.5628469209149,808.2687758495518
2000,KENTRIKI ELLADA,ΚΕΝΤΡΙΚΗ ΕΛΛΑΔΑ,398.3249590004851,9046.844552694742
2000,Thessalia,Θεσσαλία,115.3740547662095,2343.4944740400965
2000,Ionia Nisia,Ιόνια Νησιά,44.86337699487342,579.0414380793864
2000,Dytiki Ellada,Δυτική Ελλάδα,100.21374158820711,1516.63185237451
2000,Sterea Ellada,Στερεά Ελλάδα,59.51208520987507,2654.2971704220545
2000,Peloponnisos,Πελοπόννησος,78.36170044132004,1953.3796177786926
2001,ELLADA,ΕΛΛΑΔΑ,3923.5399191132556,37741.65925952436
2001,ATTIKI,ATTΙΚΗ,2548.5778093832296,14912.344012202155
2001,Attiki,Αττική,2548.5778093832296,14912.344012202155
2001,"NISIA AIGAIOU, KRITI","ΝΗΣΙΑ ΑΙΓΑΙΟΥ, ΚΡΗΤΗ",269.7083390107002,3082.197232424072
2001,Voreio Aigaio,Βόρειο Αιγαίο,19.198915779525414,494.4723011779345
2001,Notio Aigaio,Νότιο Αιγαίο,118.66277775394605,1014.1875396892508
2001,Kriti,Κρήτη,131.84664547722875,1573.5373915568875
2001,VOREIA ELLADA,ΒΟΡΕΙΑ ΕΛΛΑΔΑ,697.1861089537878,10216.573180774427
2001,"Anatoliki Makedonia, Thraki","Ανατολική Μακεδονία, Θράκη",45.107584253117054,1707.4320385811243
2001,Kentriki Makedonia,Κεντρική Μακεδονία,583.5252369252012,6487.512091922768
2001,Dytiki Makedonia,Δυτική Μακεδονία,31.735061219660565,1167.058938334866
2001,Ipeiros,Ήπειρος,36.818226555809,854.5701119356683
2001,KENTRIKI ELLADA,ΚΕΝΤΡΙΚΗ ΕΛΛΑΔΑ,408.06766176553754,9530.5448341237
2001,Thessalia,Θεσσαλία,124.77896031315913,2204.4383031115444
2001,Ionia Nisia,Ιόνια Νησιά,49.678424107067094,691.4495430051995
2001,Dytiki Ellada,Δυτική Ελλάδα,94.22113868513702,1711.879734437957
2001,Sterea Ellada,Στερεά Ελλάδα,60.25922614877557,2941.164113680844
2001,Peloponnisos,Πελοπόννησος,79.12991251139864,1981.6131398881578
2002,ELLADA,ΕΛΛΑΔΑ,6346.137063178142,37939.271793257285
2002,ATTIKI,ATTΙΚΗ,4217.416384999591,15155.868877348657
2002,Attiki,Αττική,4217.416384999591,15155.868877348657
2002,"NISIA AIGAIOU, KRITI","ΝΗΣΙΑ ΑΙΓΑΙΟΥ, ΚΡΗΤΗ",398.2369011569887,3330.993790590427
2002,Voreio Aigaio,Βόρειο Αιγαίο,36.56256096332052,492.69330018426706
2002,Notio Aigaio,Νότιο Αιγαίο,164.2087484709427,1195.9172403261043
2002,Kriti,Κρήτη,197.46559172272543,1642.3832500800554
2002,VOREIA ELLADA,ΒΟΡΕΙΑ ΕΛΛΑΔΑ,1062.0022129152023,10037.691107914696
2002,"Anatoliki Makedonia, Thraki","Ανατολική Μακεδονία, Θράκη",82.6603882142391,1622.053778345392
2002,Kentriki Makedonia,Κεντρική Μακεδονία,870.8869028980381,6460.0737955448885
2002,Dytiki Makedonia,Δυτική Μακεδονία,49.62607510894353,1005.0045362372488
2002,Ipeiros,Ήπειρος,58.82884669398155,950.5589977871662
2002,KENTRIKI ELLADA,ΚΕΝΤΡΙΚΗ ΕΛΛΑΔΑ,668.4815641063624,9414.718017403504
2002,Thessalia,Θεσσαλία,187.28292667989462,2205.713435925332
2002,Ionia Nisia,Ιόνια Νησιά,76.32843680609558,714.9282211345064
2002,Dytiki Ellada,Δυτική Ελλάδα,171.21935938866983,1765.8182437312155
2002,Sterea Ellada,Στερεά Ελλάδα,102.27799627877499,2648.009058286229
2002,Peloponnisos,Πελοπόννησος,131.3728449529273,2080.2490583262197
2003,ELLADA,ΕΛΛΑΔΑ,6326.21084251439,43311.61652147122
2003,ATTIKI,ATTΙΚΗ,4262.487750092742,16288.055394834699
2003,Attiki,Αττική,4262.487750092742,16288.055394834699
2003,"NISIA AIGAIOU, KRITI","ΝΗΣΙΑ ΑΙΓΑΙΟΥ, ΚΡΗΤΗ",407.65543358080487,4142.240945064507
2003,Voreio Aigaio,Βόρειο Αιγαίο,35.49476801249749,635.2073947281184
2003,Notio Aigaio,Νότιο Αιγαίο,168.53158682150757,1365.5147129873021
2003,Kriti,Κρήτη,203.62907874679985,2141.5188373490864
2003,VOREIA ELLADA,ΒΟΡΕΙΑ ΕΛΛΑΔΑ,1016.9873595391059,11621.563271861789
2003,"Anatoliki Makedonia, Thraki","Ανατολική Μακεδονία, Θράκη",86.81422642827205,1821.3398383731897
2003,Kentriki Makedonia,Κεντρική Μακεδονία,815.9073045195572,7584.659036701994
2003,Dytiki Makedonia,Δυτική Μακεδονία,52.72996176638087,1164.0743691831826
