NUTS,Year,GVA,Total
ELLADA,2000,32341.238064,121095.289094
ATTIKI,2000,13800.985273,55125.464069
Attiki,2000,13800.985273,55125.464069
Voreios Tomeas Athinon,2000,1862.901781,8544.452137
Dytikos Tomeas Athinon,2000,1244.732462,4123.074346
Kentrikos Tomeas Athinon,2000,4661.055277,20990.556805
Notios Tomeas Athinon,2000,2138.846859,6788.639981
Anatoliki Attiki,2000,1133.562481,4762.575934
Dytiki Attiki,2000,499.142241,2518.919132
"Peiraias, Nisoi",2000,2260.744171,7397.245734
"NISIA AIGAIOU, KRITI",2000,4751.736817,11472.874859
Voreio Aigaio,2000,557.675034,1593.401327
"Lesvos, Limnos",2000,283.911788,826.547082
"Ikaria, Samos",2000,143.638291,337.420303
Chios,2000,130.124955,429.433943
Notio Aigaio,2000,2093.751453,4028.383868
"Kalymnos, Karpathos, Kos, Rodos",2000,1226.749551,2362.487936
"Andros, Thira, Kea, Milos, Mykonos, Naxos, Paros, Syros, Tinos",2000,867.001902,1665.895932
Kriti,2000,2100.31033,5851.089663
Irakleio,2000,986.903484,2776.603319
Lasithi,2000,253.8784,718.245552
Rethymni,2000,353.004857,881.264781
Chania,2000,506.523589,1474.976011
VOREIA ELLADA,2000,7055.549232,27781.252289
"Anatoliki Makedonia, Thraki",2000,1261.941792,5052.892946
Evros,2000,308.846787,1161.997451
Xanthi,2000,175.495196,880.232036
Rodopi,2000,164.743942,950.143598
Drama,2000,188.662822,781.065656
"Thasos, Kavala",2000,424.193044,1279.454204
Kentriki Makedonia,2000,4625.909714,16879.785362
Imathia,2000,317.427057,1234.215493
Thessaloniki,2000,2987.294626,10740.140174
Kilkis,2000,108.349381,643.193867
Pella,2000,268.208267,1085.279949
Pieria,2000,320.568252,944.359993
Serres,2000,281.592508,1270.532158
Chalkidiki,2000,342.469622,962.063728
Dytiki Makedonia,2000,431.391982,2960.013649
Grevena,2000,38.42658,278.780313
Kozani,2000,246.776682,1697.979465
Kastoria,2000,85.749102,382.438602
Florina,2000,60.439618,600.815268
