geo,year,involuntary_part_time
AT10,2008,41062.0
AT10,2009,40428.0
AT10,2010,41786.0
AT10,2011,36646.0
AT10,2012,40370.0
AT10,2013,47775.0
AT10,2014,52126.0
AT10,2015,58878.0
AT10,2016,62823.0
AT10,2017,58904.0
AT10,2018,55936.0
AT10,2019,44913.0
AT10,2020,46797.0
AT10,2021,46691.0
AT10,2022,46367.0
AT10,2023,41421.0
AT20,2008,15027.0
AT20,2009,17113.0
AT20,2010,19687.0
AT20,2011,17525.0
AT20,2012,18004.0
AT20,2013,21462.0
AT20,2014,18327.0
AT20,2015,20594.0
AT20,2016,22699.0
AT20,2017,25190.0
AT20,2018,18523.0
AT20,2019,16332.0
AT20,2020,15798.0
AT20,2021,17298.0
AT20,2022,15179.0
AT20,2023,14977.0
AT30,2008,22050.0
AT30,2009,22885.0
AT30,2010,22962.0
AT30,2011,20698.0
AT30,2012,23915.0
AT30,2013,26576.0
AT30,2014,24083.0
AT30,2015,27423.0
AT30,2016,26659.0
AT30,2017,25327.0
AT30,2018,20492.0
AT30,2019,19199.0
AT30,2020,21581.0
AT30,2021,23344.0
AT30,2022,18438.0
AT30,2023,16738.0
BE10,2008,14169.0
BE10,2009,13706.0
BE10,2010,15592.0
BE10,2011,18331.0
BE10,2012,17920.0
BE10,2013,17859.0
BE10,2014,18536.0
BE10,2015,19767.0
BE10,2016,15144.0
BE10,2017,12767.0
BE10,2018,12652.0
BE10,2019,12476.0
BE10,2020,11398.0
BE10,2021,26130.0
BE10,2022,36119.0
BE10,2023,27785.0
BE21,2008,6317.0
BE21,2009,7644.0
BE21,2010,8113.0
BE21,2011,9706.0
BE21,2012,7560.0
BE21,2013,7423.0
BE21,2014,6739.0
BE21,2015,7400.0
BE21,2016,9279.0
BE21,2017,7732.0
BE21,2018,6080.0
BE21,2019,5802.0
BE21,2020,4106.0
BE21,2021,32595.0
BE21,2022,28058.0
BE21,2023,33854.0
BE22,2008,5172.0
BE22,2009,2717.0
BE22,2010,4429.0
BE22,2011,2616.0
BE22,2012,2367.0
BE22,2013,3676.0
BE22,2014,2848.0
BE22,2015,1927.0
BE22,2016,3611.0
BE22,2017,3481.0
BE22,2018,4509.0
BE22,2019,4326.0
BE22,2020,2799.0
BE22,2021,23093.0
BE22,2022,16775.0
BE22,2023,17298.0
BE23,2008,7690.0
BE23,2009,6246.0
BE23,2010,6333.0
BE23,2011,4918.0
BE23,2012,3049.0
BE23,2013,3906.0
BE23,2014,4464.0
BE23,2015,3300.0
BE23,2016,3359.0
BE23,2017,1646.0
BE23,2018,2559.0
BE23,2019,4989.0
BE23,2020,745.0
BE23,2021,16949.0
BE23,2022,10059.0
BE23,2023,15935.0
BE24,2008,6660.0
BE24,2009,4479.0
BE24,2010,4289.0
BE24,2011,4174.0
BE24,2012,4153.0
BE24,2013,4546.0
BE24,2014,3540.0
BE24,2015,3347.0
BE24,2016,3491.0
BE24,2017,3242.0
BE24,2018,4796.0
BE24,2019,998.0
BE24,2020,1009.0
BE24,2021,15452.0
BE24,2022,10068.0
BE24,2023,13607.0
BE25,2008,5246.0
BE25,2009,4264.0
BE25,2010,5973.0
BE25,2011,4150.0
BE25,2012,4013.0
BE25,2013,5207.0
BE25,2014,4396.0
BE25,2015,4705.0
BE25,2016,3332.0
BE25,2017,4507.0
BE25,2018,2052.0
BE25,2019,3600.0
BE25,2020,2665.0
BE25,2021,12344.0
BE25,2022,9852.0
BE25,2023,8041.0
BE31,2008,3131.0
BE31,2009,3606.0
BE31,2010,2033.0
BE31,2011,2920.0
BE31,2012,2549.0
BE31,2013,1748.0
BE31,2014,2319.0
BE31,2015,2082.0
BE31,2016,2318.0
BE31,2017,1695.0
BE31,2018,1981.0
BE31,2019,941.0
BE31,2020,517.0
BE31,2021,7134.0
BE31,2022,5293.0
BE31,2023,4697.0
BE32,2008,17424.0
BE32,2009,15776.0
BE32,2010,14311.0
BE32,2011,12556.0
BE32,2012,11146.0
BE32,2013,11191.0
BE32,2014,12191.0
BE32,2015,13554.0
BE32,2016,11712.0
BE32,2017,10426.0
BE32,2018,5913.0
BE32,2019,7777.0
BE32,2020,4874.0
BE32,2021,29870.0
BE32,2022,20946.0
BE32,2023,20536.0
BE33,2008,17038.0
BE33,2009,12545.0
BE33,2010,12579.0
BE33,2011,11983.0
BE33,2012,11651.0
BE33,2013,10175.0
BE33,2014,8616.0
BE33,2015,9220.0
BE33,2016,7894.0
BE33,2017,9283.0
BE33,2018,6374.0
BE33,2019,5923.0
BE33,2020,4240.0
BE33,2021,28602.0
BE33,2022,23506.0
BE33,2023,27944.0
BE34,2008,3098.0
BE34,2009,3296.0
BE34,2010,1733.0
BE34,2011,2306.0
BE34,2012,1965.0
BE34,2013,2418.0
BE34,2014,2065.0
BE34,2015,2237.0
BE34,2016,2035.0
BE34,2017,996.0
BE34,2018,1180.0
BE34,2019,885.0
BE34,2020,1439.0
BE34,2021,6737.0
BE34,2022,5378.0
BE34,2023,6752.0
BE35,2008,6711.0
BE35,2009,5563.0
BE35,2010,4554.0
BE35,2011,3162.0
BE35,2012,2919.0
BE35,2013,3178.0
BE35,2014,3383.0
BE35,2015,2960.0
BE35,2016,3698.0
BE35,2017,2438.0
BE35,2018,3609.0
