geo,year,involuntary_temporary
AT10,2008,10386.0
AT10,2009,8423.0
AT10,2010,7095.0
AT10,2011,7158.0
AT10,2012,8044.0
AT10,2013,7920.0
AT10,2014,9012.0
AT10,2015,11112.0
AT10,2016,8211.0
AT10,2017,9015.0
AT10,2018,11910.0
AT10,2019,11174.0
AT10,2020,9158.0
AT10,2021,4579.0
AT10,2022,4233.0
AT10,2023,4091.0
AT20,2008,4393.0
AT20,2009,4179.0
AT20,2010,3991.0
AT20,2011,3282.0
AT20,2012,3434.0
AT20,2013,3686.0
AT20,2014,3357.0
AT20,2015,3540.0
AT20,2016,4945.0
AT20,2017,3720.0
AT20,2018,4010.0
AT20,2019,3003.0
AT20,2020,2349.0
AT20,2021,1167.0
AT20,2022,1504.0
AT20,2023,1113.0
AT30,2008,9809.0
AT30,2009,10136.0
AT30,2010,7446.0
AT30,2011,7726.0
AT30,2012,7988.0
AT30,2013,6502.0
AT30,2014,6570.0
AT30,2015,6295.0
AT30,2016,6218.0
AT30,2017,6355.0
AT30,2018,7467.0
AT30,2019,5473.0
AT30,2020,4691.0
AT30,2021,2035.0
AT30,2022,2209.0
AT30,2023,1563.0
BE10,2008,13237.0
BE10,2009,14075.0
BE10,2010,18720.0
BE10,2011,23561.0
BE10,2012,21126.0
BE10,2013,21712.0
BE10,2014,23450.0
BE10,2015,25877.0
BE10,2016,22582.0
BE10,2017,27404.0
BE10,2018,24229.0
BE10,2019,25219.0
BE10,2020,24052.0
BE10,2021,13230.0
BE10,2022,14873.0
BE10,2023,8682.0
BE21,2008,10769.0
BE21,2009,11222.0
BE21,2010,16761.0
BE21,2011,19100.0
BE21,2012,17505.0
BE21,2013,16088.0
BE21,2014,17376.0
BE21,2015,20083.0
BE21,2016,21797.0
BE21,2017,22473.0
BE21,2018,24378.0
BE21,2019,22629.0
BE21,2020,22790.0
BE21,2021,4598.0
BE21,2022,8267.0
BE21,2023,3543.0
BE22,2008,7719.0
BE22,2009,7077.0
BE22,2010,10100.0
BE22,2011,12828.0
BE22,2012,9405.0
BE22,2013,10309.0
BE22,2014,12220.0
BE22,2015,11878.0
BE22,2016,14629.0
BE22,2017,15409.0
BE22,2018,16144.0
BE22,2019,18914.0
BE22,2020,13852.0
BE22,2021,5739.0
BE22,2022,8420.0
BE22,2023,2924.0
BE23,2008,12032.0
BE23,2009,9931.0
BE23,2010,12969.0
BE23,2011,14501.0
BE23,2012,11644.0
BE23,2013,13047.0
BE23,2014,17549.0
BE23,2015,13249.0
BE23,2016,12929.0
BE23,2017,12168.0
