geo,year,full_time
AT10,2008,1274455.0
AT10,2009,1248253.0
AT10,2010,1259028.0
AT10,2011,1255257.0
AT10,2012,1254315.0
AT10,2013,1250795.0
AT10,2014,1236538.0
AT10,2015,1245149.0
AT10,2016,1248098.0
AT10,2017,1280190.0
AT10,2018,1310163.0
AT10,2019,1321821.0
AT10,2020,1311787.0
AT10,2021,1298797.0
AT10,2022,1310909.0
AT10,2023,1312804.0
AT20,2008,640223.0
AT20,2009,620951.0
AT20,2010,620637.0
AT20,2011,629611.0
AT20,2012,620834.0
AT20,2013,611339.0
AT20,2014,604511.0
AT20,2015,601535.0
AT20,2016,614169.0
AT20,2017,606810.0
AT20,2018,624175.0
AT20,2019,636794.0
AT20,2020,620259.0
AT20,2021,604584.0
AT20,2022,611706.0
AT20,2023,612372.0
AT30,2008,1121435.0
AT30,2009,1106300.0
AT30,2010,1100819.0
AT30,2011,1122639.0
AT30,2012,1127829.0
AT30,2013,1120277.0
AT30,2014,1106127.0
AT30,2015,1110345.0
AT30,2016,1128989.0
AT30,2017,1131564.0
AT30,2018,1148150.0
AT30,2019,1157200.0
AT30,2020,1141208.0
AT30,2021,1113682.0
AT30,2022,1139398.0
AT30,2023,1145840.0
BE10,2008,319463.0
BE10,2009,322162.0
BE10,2010,325485.0
BE10,2011,318469.0
BE10,2012,330822.0
BE10,2013,321747.0
BE10,2014,337358.0
BE10,2015,342461.0
BE10,2016,348172.0
BE10,2017,360412.0
BE10,2018,358177.0
BE10,2019,357875.0
BE10,2020,368361.0
BE10,2021,378413.0
BE10,2022,393266.0
BE10,2023,411544.0
BE21,2008,564610.0
BE21,2009,551149.0
BE21,2010,556550.0
BE21,2011,544576.0
BE21,2012,553031.0
BE21,2013,555123.0
BE21,2014,575142.0
BE21,2015,559558.0
BE21,2016,550149.0
BE21,2017,575866.0
BE21,2018,583136.0
BE21,2019,582248.0
BE21,2020,573462.0
BE21,2021,608769.0
BE21,2022,604496.0
BE21,2023,615062.0
BE22,2008,269083.0
BE22,2009,268440.0
BE22,2010,268157.0
BE22,2011,264058.0
BE22,2012,262923.0
BE22,2013,260665.0
BE22,2014,263242.0
BE22,2015,257010.0
BE22,2016,261074.0
BE22,2017,265170.0
BE22,2018,254369.0
BE22,2019,269080.0
BE22,2020,264587.0
BE22,2021,272804.0
BE22,2022,289141.0
BE22,2023,281665.0
BE23,2008,494934.0
BE23,2009,490103.0
BE23,2010,488505.0
BE23,2011,482613.0
BE23,2012,490985.0
BE23,2013,504935.0
BE23,2014,503067.0
BE23,2015,499362.0
BE23,2016,508481.0
BE23,2017,500142.0
BE23,2018,521984.0
BE23,2019,523519.0
BE23,2020,544216.0
BE23,2021,547327.0
BE23,2022,566203.0
BE23,2023,560159.0
BE24,2008,365409.0
BE24,2009,362094.0
BE24,2010,366868.0
BE24,2011,368722.0
BE24,2012,359286.0
BE24,2013,364129.0
BE24,2014,367887.0
BE24,2015,373242.0
BE24,2016,365928.0
BE24,2017,361563.0
BE24,2018,382881.0
BE24,2019,394464.0
BE24,2020,389200.0
BE24,2021,385979.0
BE24,2022,412318.0
BE24,2023,406369.0
BE25,2008,389611.0
BE25,2009,377386.0
BE25,2010,386731.0
BE25,2011,379836.0
BE25,2012,370225.0
BE25,2013,385398.0
BE25,2014,381056.0
BE25,2015,379250.0
BE25,2016,379064.0
BE25,2017,382452.0
BE25,2018,393770.0
BE25,2019,392783.0
BE25,2020,388872.0
BE25,2021,397961.0
BE25,2022,412679.0
BE25,2023,413654.0
BE31,2008,124941.0
BE31,2009,118313.0
BE31,2010,117319.0
BE31,2011,122548.0
BE31,2012,120800.0
BE31,2013,123798.0
BE31,2014,124332.0
BE31,2015,125869.0
BE31,2016,123321.0
BE31,2017,128210.0
BE31,2018,132870.0
BE31,2019,131652.0
BE31,2020,129377.0
BE31,2021,129461.0
BE31,2022,133900.0
BE31,2023,134079.0
BE32,2008,375019.0
BE32,2009,359625.0
BE32,2010,365485.0
BE32,2011,365216.0
BE32,2012,361669.0
BE32,2013,361950.0
BE32,2014,356399.0
BE32,2015,355280.0
BE32,2016,364506.0
BE32,2017,368239.0
BE32,2018,380436.0
BE32,2019,369853.0
BE32,2020,380567.0
BE32,2021,382441.0
BE32,2022,403978.0
BE32,2023,397288.0
BE33,2008,300235.0
BE33,2009,303663.0
BE33,2010,297456.0
BE33,2011,299158.0
BE33,2012,295336.0
BE33,2013,297367.0
BE33,2014,296265.0
BE33,2015,293204.0
BE33,2016,295476.0
BE33,2017,293113.0
BE33,2018,300878.0
BE33,2019,312350.0
BE33,2020,303104.0
BE33,2021,314009.0
BE33,2022,333336.0
BE33,2023,307495.0
BE34,2008,81868.0
BE34,2009,80873.0
BE34,2010,82748.0
BE34,2011,81382.0
BE34,2012,82319.0
BE34,2013,83329.0
BE34,2014,82683.0
BE34,2015,81659.0
BE34,2016,83302.0
BE34,2017,84190.0
BE34,2018,85835.0
BE34,2019,86410.0
BE34,2020,93223.0
BE34,2021,90095.0
BE34,2022,91862.0
BE34,2023,89479.0
BE35,2008,138821.0
BE35,2009,137375.0
BE35,2010,141573.0
BE35,2011,138426.0
BE35,2012,144299.0
BE35,2013,136970.0
BE35,2014,145070.0
BE35,2015,139238.0
BE35,2016,140712.0
BE35,2017,137019.0
BE35,2018,147253.0
BE35,2019,145312.0
BE35,2020,150605.0
BE35,2021,157325.0
BE35,2022,145733.0
BE35,2023,146709.0
BG31,2008,349995.0
BG31,2009,325829.0
BG31,2010,297136.0
BG31,2011,283135.0
BG31,2012,276005.0
BG31,2013,274247.0
BG31,2014,268006.0
BG31,2015,268621.0
BG31,2016,255371.0
BG31,2017,259092.0
BG31,2018,261075.0
BG31,2019,249282.0
BG31,2020,241465.0
BG31,2021,241060.0
BG31,2022,242725.0
BG31,2023,239158.0
BG32,2008,361572.0
