geo,year,involuntary_part_time
AT10,2008,51957.0
AT10,2009,51588.0
AT10,2010,52423.0
AT10,2011,48032.0
AT10,2012,49583.0
AT10,2013,61870.0
AT10,2014,67022.0
AT10,2015,75563.0
AT10,2016,82100.0
AT10,2017,76715.0
AT10,2018,69803.0
AT10,2019,59098.0
AT10,2020,57819.0
AT10,2021,62024.0
AT10,2022,61147.0
AT10,2023,50381.0
AT20,2008,19293.0
AT20,2009,21493.0
AT20,2010,28213.0
AT20,2011,22370.0
AT20,2012,22088.0
AT20,2013,27014.0
AT20,2014,24894.0
AT20,2015,26510.0
AT20,2016,29716.0
AT20,2017,31957.0
AT20,2018,23749.0
AT20,2019,20209.0
AT20,2020,20545.0
AT20,2021,20576.0
AT20,2022,18790.0
AT20,2023,17618.0
AT30,2008,28813.0
AT30,2009,30174.0
AT30,2010,30791.0
AT30,2011,28263.0
AT30,2012,30517.0
AT30,2013,34836.0
AT30,2014,32601.0
AT30,2015,35766.0
AT30,2016,37319.0
AT30,2017,35733.0
AT30,2018,27805.0
AT30,2019,24944.0
AT30,2020,29171.0
AT30,2021,29691.0
AT30,2022,22167.0
AT30,2023,21421.0
BE10,2008,20976.0
BE10,2009,20391.0
BE10,2010,22537.0
BE10,2011,24997.0
BE10,2012,25563.0
BE10,2013,24300.0
BE10,2014,24424.0
BE10,2015,26934.0
BE10,2016,20432.0
BE10,2017,17019.0
BE10,2018,17042.0
BE10,2019,16862.0
BE10,2020,13537.0
BE10,2021,35321.0
BE10,2022,43370.0
BE10,2023,36552.0
BE21,2008,11282.0
BE21,2009,11619.0
BE21,2010,12985.0
BE21,2011,13701.0
BE21,2012,10738.0
BE21,2013,11605.0
BE21,2014,10994.0
BE21,2015,12277.0
BE21,2016,13475.0
BE21,2017,14021.0
BE21,2018,9599.0
BE21,2019,6956.0
BE21,2020,5747.0
BE21,2021,40164.0
BE21,2022,42240.0
BE21,2023,40888.0
BE22,2008,8499.0
BE22,2009,4922.0
BE22,2010,6367.0
BE22,2011,4248.0
BE22,2012,4649.0
BE22,2013,5498.0
BE22,2014,5276.0
BE22,2015,4073.0
BE22,2016,5673.0
BE22,2017,4428.0
BE22,2018,7976.0
BE22,2019,6426.0
BE22,2020,4424.0
BE22,2021,26399.0
BE22,2022,23132.0
BE22,2023,23002.0
BE23,2008,13315.0
BE23,2009,9679.0
BE23,2010,9888.0
BE23,2011,7534.0
BE23,2012,5718.0
BE23,2013,6411.0
BE23,2014,7177.0
BE23,2015,5277.0
BE23,2016,4619.0
BE23,2017,4876.0
BE23,2018,3781.0
BE23,2019,6069.0
BE23,2020,1198.0
BE23,2021,23291.0
BE23,2022,13150.0
BE23,2023,21019.0
BE24,2008,8888.0
BE24,2009,6906.0
BE24,2010,6284.0
BE24,2011,5826.0
BE24,2012,6248.0
BE24,2013,6754.0
BE24,2014,5314.0
BE24,2015,6039.0
BE24,2016,5110.0
BE24,2017,3752.0
BE24,2018,5871.0
BE24,2019,2271.0
BE24,2020,2368.0
BE24,2021,19846.0
BE24,2022,15823.0
BE24,2023,16785.0
BE25,2008,8170.0
BE25,2009,6949.0
BE25,2010,8820.0
BE25,2011,5624.0
BE25,2012,6554.0
BE25,2013,7334.0
BE25,2014,8112.0
BE25,2015,7881.0
BE25,2016,5994.0
BE25,2017,6584.0
BE25,2018,5756.0
BE25,2019,6041.0
BE25,2020,3881.0
BE25,2021,15254.0
BE25,2022,11694.0
BE25,2023,11663.0
BE31,2008,4942.0
BE31,2009,6003.0
BE31,2010,3134.0
BE31,2011,4160.0
BE31,2012,3477.0
BE31,2013,3166.0
BE31,2014,3821.0
BE31,2015,3079.0
BE31,2016,4390.0
BE31,2017,2284.0
BE31,2018,2665.0
BE31,2019,1866.0
BE31,2020,1223.0
BE31,2021,10505.0
BE31,2022,9388.0
BE31,2023,6305.0
BE32,2008,26411.0
BE32,2009,21770.0
BE32,2010,21833.0
BE32,2011,20748.0
BE32,2012,16779.0
BE32,2013,16577.0
BE32,2014,18301.0
BE32,2015,21373.0
BE32,2016,18895.0
BE32,2017,15304.0
BE32,2018,9134.0
BE32,2019,9665.0
BE32,2020,10896.0
BE32,2021,38823.0
BE32,2022,32992.0
BE32,2023,27925.0
BE33,2008,25095.0
BE33,2009,19186.0
BE33,2010,17721.0
BE33,2011,18257.0
BE33,2012,17020.0
BE33,2013,13156.0
BE33,2014,14204.0
BE33,2015,13495.0
BE33,2016,11338.0
BE33,2017,13172.0
BE33,2018,8962.0
BE33,2019,7975.0
BE33,2020,6433.0
BE33,2021,34316.0
BE33,2022,30668.0
BE33,2023,35546.0
BE34,2008,4468.0
BE34,2009,4899.0
BE34,2010,2765.0
BE34,2011,3262.0
BE34,2012,3290.0
BE34,2013,3785.0
BE34,2014,3728.0
BE34,2015,3395.0
BE34,2016,2827.0
BE34,2017,2021.0
BE34,2018,1914.0
BE34,2019,1946.0
BE34,2020,2013.0
BE34,2021,9004.0
BE34,2022,9086.0
BE34,2023,9605.0
BE35,2008,10888.0
BE35,2009,7662.0
BE35,2010,7433.0
BE35,2011,5097.0
BE35,2012,4874.0
BE35,2013,4677.0
BE35,2014,6146.0
BE35,2015,5339.0
BE35,2016,5471.0
BE35,2017,4552.0
BE35,2018,6492.0
BE35,2019,3844.0
BE35,2020,2706.0
BE35,2021,11521.0
BE35,2022,15649.0
BE35,2023,15841.0
BG31,2008,3872.0
BG31,2009,6991.0
BG31,2010,5010.0
BG31,2011,5451.0
BG31,2012,5043.0
BG31,2013,5045.0
BG31,2014,4480.0
BG31,2015,4587.0
BG31,2016,2163.0
BG31,2017,8109.0
BG31,2018,3964.0
BG31,2019,5496.0
BG31,2020,3220.0
BG31,2021,3531.0
BG31,2022,4408.0
BG31,2023,3225.0
BG32,2008,5503.0
BG32,2009,6079.0
BG32,2010,6001.0
BG32,2011,4517.0
BG32,2012,5275.0
BG32,2013,4336.0
BG32,2014,4842.0
BG32,2015,7791.0
BG32,2016,5305.0
BG32,2017,11104.0
BG32,2018,6546.0
BG32,2019,6420.0
BG32,2020,5277.0
BG32,2021,2659.0
BG32,2022,5576.0
BG32,2023,2419.0
BG33,2008,3837.0
BG33,2009,4004.0
BG33,2010,4085.0
BG33,2011,6516.0
BG33,2012,6133.0
BG33,2013,7712.0
BG33,2014,7750.0
BG33,2015,7853.0
BG33,2016,5732.0
BG33,2017,6056.0
BG33,2018,6662.0
BG33,2019,6924.0
BG33,2020,4041.0
BG33,2021,3465.0
BG33,2022,2204.0
BG33,2023,3734.0
BG34,2008,2467.0
BG34,2009,2552.0
BG34,2010,3618.0
BG34,2011,2487.0
BG34,2012,5541.0
BG34,2013,4958.0
BG34,2014,3309.0
BG34,2015,4459.0
BG34,2016,5518.0
BG34,2017,5462.0
BG34,2018,3280.0
BG34,2019,2738.0
BG34,2020,3491.0
BG34,2021,3180.0
BG34,2022,3483.0
BG34,2023,5609.0
