geo,year,involuntary_temporary
AT10,2008,16723.0
AT10,2009,12796.0
AT10,2010,10090.0
AT10,2011,11114.0
AT10,2012,12021.0
AT10,2013,12085.0
AT10,2014,13399.0
AT10,2015,17026.0
AT10,2016,13257.0
AT10,2017,14631.0
AT10,2018,17704.0
AT10,2019,15923.0
AT10,2020,12586.0
AT10,2021,7216.0
AT10,2022,5822.0
AT10,2023,5795.0
AT20,2008,6583.0
AT20,2009,6536.0
AT20,2010,5772.0
AT20,2011,5057.0
AT20,2012,5259.0
AT20,2013,4616.0
AT20,2014,4776.0
AT20,2015,5099.0
AT20,2016,6618.0
AT20,2017,6539.0
AT20,2018,6530.0
AT20,2019,5457.0
AT20,2020,3671.0
AT20,2021,2027.0
AT20,2022,1733.0
AT20,2023,1573.0
AT30,2008,15313.0
AT30,2009,15743.0
AT30,2010,12044.0
AT30,2011,11870.0
AT30,2012,11148.0
AT30,2013,9992.0
AT30,2014,10411.0
AT30,2015,8879.0
AT30,2016,9909.0
AT30,2017,9983.0
AT30,2018,10090.0
AT30,2019,8751.0
AT30,2020,7420.0
AT30,2021,3044.0
AT30,2022,3430.0
AT30,2023,2249.0
BE10,2008,22766.0
BE10,2009,23005.0
BE10,2010,30974.0
BE10,2011,39267.0
BE10,2012,32910.0
BE10,2013,33639.0
BE10,2014,34930.0
BE10,2015,41780.0
BE10,2016,36541.0
BE10,2017,42121.0
BE10,2018,35955.0
BE10,2019,38579.0
BE10,2020,37904.0
BE10,2021,21395.0
BE10,2022,22219.0
BE10,2023,13660.0
BE21,2008,20409.0
BE21,2009,20032.0
BE21,2010,31336.0
BE21,2011,35830.0
BE21,2012,31993.0
BE21,2013,29213.0
BE21,2014,32890.0
BE21,2015,40412.0
BE21,2016,39119.0
BE21,2017,44600.0
BE21,2018,42504.0
BE21,2019,39515.0
BE21,2020,39284.0
BE21,2021,10500.0
BE21,2022,11621.0
BE21,2023,8556.0
BE22,2008,15902.0
BE22,2009,14728.0
BE22,2010,19407.0
BE22,2011,22136.0
BE22,2012,19198.0
BE22,2013,20527.0
BE22,2014,22908.0
BE22,2015,24265.0
BE22,2016,27644.0
BE22,2017,27144.0
BE22,2018,28020.0
BE22,2019,30917.0
BE22,2020,22877.0
BE22,2021,8852.0
BE22,2022,13472.0
BE22,2023,5355.0
BE23,2008,23044.0
BE23,2009,16651.0
BE23,2010,28128.0
BE23,2011,27459.0
BE23,2012,21976.0
BE23,2013,27228.0
BE23,2014,30566.0
BE23,2015,25427.0
BE23,2016,27450.0
BE23,2017,25285.0
BE23,2018,29513.0
BE23,2019,22997.0
BE23,2020,25616.0
BE23,2021,10497.0
BE23,2022,4069.0
BE23,2023,4501.0
BE24,2008,9718.0
BE24,2009,7655.0
BE24,2010,15073.0
BE24,2011,18537.0
BE24,2012,18122.0
BE24,2013,17355.0
BE24,2014,17082.0
BE24,2015,23226.0
BE24,2016,20146.0
BE24,2017,18592.0
BE24,2018,17103.0
BE24,2019,23507.0
BE24,2020,15978.0
BE24,2021,6162.0
BE24,2022,4750.0
BE24,2023,2908.0
BE25,2008,14613.0
BE25,2009,16202.0
BE25,2010,22086.0
BE25,2011,23665.0
BE25,2012,21159.0
BE25,2013,20877.0
BE25,2014,23489.0
BE25,2015,27212.0
BE25,2016,24664.0
BE25,2017,25645.0
BE25,2018,22393.0
BE25,2019,24329.0
BE25,2020,21711.0
BE25,2021,5255.0
BE25,2022,3289.0
BE25,2023,3711.0
BE31,2008,3931.0
BE31,2009,5669.0
BE31,2010,6804.0
BE31,2011,6844.0
BE31,2012,8410.0
BE31,2013,7384.0
BE31,2014,8189.0
BE31,2015,7255.0
BE31,2016,8486.0
BE31,2017,8932.0
BE31,2018,8265.0
BE31,2019,9113.0
BE31,2020,8472.0
BE31,2021,2784.0
BE31,2022,4027.0
BE31,2023,4369.0
BE32,2008,25761.0
BE32,2009,22469.0
BE32,2010,31619.0
BE32,2011,32261.0
BE32,2012,35148.0
BE32,2013,32680.0
BE32,2014,33078.0
BE32,2015,33600.0
BE32,2016,34739.0
BE32,2017,34947.0
BE32,2018,37953.0
BE32,2019,38686.0
BE32,2020,38405.0
BE32,2021,24775.0
BE32,2022,18168.0
BE32,2023,11634.0
BE33,2008,24895.0
BE33,2009,28423.0
BE33,2010,27737.0
BE33,2011,34346.0
BE33,2012,32505.0
BE33,2013,34421.0
BE33,2014,32995.0
BE33,2015,32526.0
BE33,2016,33765.0
BE33,2017,38445.0
BE33,2018,31934.0
BE33,2019,36368.0
BE33,2020,30477.0
BE33,2021,18446.0
BE33,2022,20537.0
BE33,2023,14736.0
BE34,2008,5957.0
BE34,2009,5602.0
BE34,2010,7198.0
BE34,2011,6623.0
BE34,2012,6767.0
BE34,2013,7709.0
BE34,2014,6589.0
BE34,2015,6874.0
BE34,2016,8578.0
BE34,2017,9085.0
BE34,2018,7820.0
BE34,2019,11080.0
BE34,2020,6815.0
BE34,2021,2437.0
BE34,2022,3163.0
BE34,2023,2363.0
BE35,2008,11354.0
BE35,2009,9410.0
BE35,2010,10206.0
BE35,2011,12923.0
BE35,2012,13252.0
BE35,2013,11773.0
BE35,2014,11615.0
BE35,2015,14080.0
BE35,2016,14672.0
BE35,2017,14478.0
BE35,2018,12545.0
BE35,2019,10077.0
BE35,2020,9485.0
BE35,2021,7765.0
BE35,2022,7339.0
BE35,2023,3872.0
BG31,2008,8647.0
BG31,2009,9778.0
BG31,2010,7806.0
BG31,2011,9955.0
BG31,2012,8930.0
BG31,2013,12691.0
BG31,2014,10693.0
BG31,2015,7106.0
BG31,2016,2220.0
BG31,2017,11710.0
BG31,2018,9463.0
BG31,2019,8663.0
BG31,2020,5355.0
BG31,2021,2725.0
BG31,2022,6647.0
BG31,2023,2074.0
BG32,2008,6154.0
BG32,2009,11435.0
BG32,2010,7323.0
BG32,2011,9634.0
BG32,2012,9390.0
BG32,2013,10796.0
BG32,2014,9084.0
BG32,2015,10109.0
BG32,2016,7551.0
BG32,2017,13001.0
BG32,2018,9337.0
BG32,2019,8114.0
BG32,2020,8304.0
BG32,2021,4171.0
BG32,2022,4271.0
BG32,2023,1585.0
BG33,2008,15142.0
BG33,2009,19189.0
BG33,2010,14291.0
BG33,2011,13325.0
BG33,2012,16732.0
BG33,2013,20744.0
BG33,2014,17477.0
BG33,2015,13501.0
BG33,2016,14056.0
BG33,2017,14200.0
BG33,2018,12722.0
BG33,2019,11090.0
BG33,2020,7537.0
BG33,2021,4215.0
BG33,2022,5710.0
BG33,2023,4654.0
BG34,2008,9989.0
BG34,2009,16690.0
BG34,2010,18372.0
BG34,2011,13825.0
BG34,2012,17329.0
BG34,2013,22988.0
BG34,2014,22141.0
BG34,2015,23266.0
BG34,2016,19495.0
BG34,2017,28760.0
BG34,2018,17452.0
BG34,2019,25634.0
BG34,2020,16912.0
BG34,2021,15505.0
BG34,2022,13354.0
BG34,2023,18575.0
BG41,2008,7981.0
BG41,2009,9736.0
BG41,2010,9553.0
BG41,2011,10567.0
BG41,2012,5656.0
BG41,2013,7746.0
BG41,2014,8531.0
BG41,2015,6999.0
BG41,2016,10543.0
BG41,2017,10722.0
BG41,2018,6316.0
BG41,2019,6975.0
BG41,2020,10206.0
BG41,2021,7484.0
BG41,2022,8257.0
BG41,2023,3660.0
BG42,2008,16311.0
BG42,2009,20622.0
BG42,2010,17393.0
BG42,2011,14605.0
BG42,2012,16019.0
BG42,2013,20526.0
BG42,2014,18211.0
BG42,2015,13535.0
BG42,2016,14929.0
BG42,2017,16878.0
BG42,2018,13885.0
BG42,2019,18033.0
BG42,2020,16329.0
BG42,2021,7819.0
BG42,2022,14449.0
BG42,2023,11016.0
CY00,2008,38467.0
CY00,2009,39367.0
CY00,2010,41883.0
CY00,2011,43440.0
CY00,2012,45831.0
CY00,2013,49807.0
CY00,2014,52996.0
CY00,2015,51599.0
CY00,2016,46903.0
CY00,2017,45785.0
CY00,2018,43949.0
CY00,2019,46211.0
CY00,2020,47156.0
CY00,2021,44474.0
CY00,2022,41200.0
CY00,2023,51133.0
CZ01,2008,16181.0
CZ01,2009,13832.0
CZ01,2010,15255.0
CZ01,2011,7085.0
CZ01,2012,17223.0
CZ01,2013,18427.0
CZ01,2014,12959.0
CZ01,2015,15148.0
CZ01,2016,15915.0
CZ01,2017,16786.0
CZ01,2018,9515.0
CZ01,2019,11515.0
CZ01,2020,9371.0
CZ01,2021,5203.0
CZ01,2022,6797.0
CZ01,2023,1989.0
CZ02,2008,9422.0
CZ02,2009,11873.0
CZ02,2010,17058.0
CZ02,2011,19451.0
CZ02,2012,19238.0
CZ02,2013,19451.0
CZ02,2014,23576.0
CZ02,2015,30113.0
CZ02,2016,22479.0
CZ02,2017,20500.0
CZ02,2018,8072.0
CZ02,2019,9218.0
CZ02,2020,6955.0
CZ02,2021,7083.0
CZ02,2022,3846.0
CZ02,2023,3620.0
CZ03,2008,24353.0
CZ03,2009,24287.0
CZ03,2010,28084.0
CZ03,2011,31152.0
CZ03,2012,33332.0
CZ03,2013,31596.0
CZ03,2014,35233.0
CZ03,2015,31757.0
CZ03,2016,27350.0
CZ03,2017,25733.0
CZ03,2018,15047.0
CZ03,2019,21650.0
CZ03,2020,18605.0
CZ03,2021,9939.0
CZ03,2022,8078.0
CZ03,2023,6045.0
CZ04,2008,17976.0
CZ04,2009,25100.0
CZ04,2010,32357.0
CZ04,2011,31046.0
CZ04,2012,24276.0
CZ04,2013,25173.0
CZ04,2014,25505.0
CZ04,2015,25750.0
CZ04,2016,28844.0
CZ04,2017,33774.0
CZ04,2018,21878.0
CZ04,2019,22179.0
CZ04,2020,17928.0
CZ04,2021,9912.0
CZ04,2022,8508.0
CZ04,2023,8150.0
CZ05,2008,27138.0
CZ05,2009,28127.0
CZ05,2010,38381.0
CZ05,2011,37864.0
CZ05,2012,45809.0
CZ05,2013,55012.0
CZ05,2014,51107.0
CZ05,2015,60573.0
CZ05,2016,56881.0
CZ05,2017,62990.0
CZ05,2018,41353.0
CZ05,2019,33762.0
CZ05,2020,30300.0
CZ05,2021,24675.0
CZ05,2022,20019.0
CZ05,2023,16449.0
CZ06,2008,37285.0
CZ06,2009,38007.0
CZ06,2010,42082.0
CZ06,2011,44281.0
CZ06,2012,49681.0
CZ06,2013,57177.0
CZ06,2014,53104.0
CZ06,2015,60068.0
CZ06,2016,58583.0
CZ06,2017,57398.0
CZ06,2018,34335.0
CZ06,2019,28428.0
CZ06,2020,32065.0
CZ06,2021,16691.0
CZ06,2022,11829.0
CZ06,2023,9956.0
CZ07,2008,27005.0
CZ07,2009,24939.0
CZ07,2010,28558.0
CZ07,2011,30759.0
CZ07,2012,34139.0
CZ07,2013,37558.0
CZ07,2014,49504.0
CZ07,2015,52998.0
CZ07,2016,50556.0
CZ07,2017,39542.0
CZ07,2018,33202.0
CZ07,2019,32358.0
CZ07,2020,24206.0
CZ07,2021,8085.0
CZ07,2022,7273.0
CZ07,2023,7512.0
CZ08,2008,43722.0
CZ08,2009,39593.0
CZ08,2010,41790.0
CZ08,2011,42679.0
CZ08,2012,48235.0
CZ08,2013,37919.0
CZ08,2014,42083.0
CZ08,2015,53345.0
CZ08,2016,52481.0
CZ08,2017,51887.0
CZ08,2018,46745.0
CZ08,2019,40481.0
CZ08,2020,34761.0
CZ08,2021,25114.0
CZ08,2022,18012.0
CZ08,2023,17383.0
DE10,2008,83216.0
DE10,2009,84632.0
DE10,2010,95883.0
DE10,2011,83196.0
DE10,2012,79513.0
DE10,2013,63280.0
DE10,2014,68451.0
DE10,2015,61664.0
DE10,2016,82492.0
DE10,2017,85211.0
DE10,2018,82297.0
DE10,2019,64806.0
DE10,2020,30271.0
DE10,2021,36693.0
DE10,2022,34264.0
DE10,2023,32514.0
DE20,2008,67399.0
DE20,2009,67351.0
DE20,2010,77512.0
DE20,2011,84582.0
DE20,2012,80351.0
DE20,2013,72399.0
DE20,2014,65363.0
DE20,2015,60672.0
DE20,2016,73702.0
DE20,2017,77715.0
DE20,2018,67959.0
DE20,2019,62931.0
DE20,2020,31114.0
DE20,2021,42517.0
DE20,2022,36121.0
DE20,2023,27053.0
DE30,2008,76251.0
DE30,2009,81263.0
DE30,2010,65360.0
DE30,2011,69582.0
DE30,2012,49098.0
DE30,2013,54161.0
DE30,2014,49505.0
DE30,2015,41092.0
DE30,2016,49047.0
DE30,2017,55815.0
DE30,2018,46443.0
DE30,2019,37704.0
DE30,2020,15779.0
DE30,2021,19695.0
DE30,2022,14557.0
DE30,2023,14494.0
DE40,2008,47726.0
DE40,2009,64498.0
DE40,2010,33560.0
DE40,2011,53435.0
DE40,2012,36577.0
DE40,2013,30270.0
DE40,2014,26173.0
DE40,2015,22461.0
DE40,2016,26566.0
DE40,2017,21715.0
DE40,2018,14865.0
DE40,2019,11421.0
DE40,2020,5662.0
DE40,2021,5544.0
DE40,2022,4371.0
DE40,2023,1357.0
DE50,2008,1674.0
DE50,2009,3567.0
DE50,2010,6139.0
DE50,2011,8047.0
DE50,2012,5618.0
DE50,2013,7598.0
DE50,2014,5752.0
DE50,2015,7084.0
DE50,2016,7704.0
DE50,2017,8825.0
DE50,2018,8401.0
DE50,2019,6290.0
DE50,2020,2300.0
DE50,2021,2304.0
DE50,2022,3664.0
DE50,2023,4757.0
DE60,2008,14163.0
DE60,2009,12070.0
DE60,2010,7718.0
DE60,2011,8447.0
DE60,2012,11124.0
DE60,2013,15772.0
DE60,2014,13403.0
DE60,2015,14130.0
DE60,2016,14294.0
DE60,2017,17518.0
DE60,2018,15323.0
DE60,2019,12594.0
DE60,2020,12589.0
DE60,2021,1946.0
DE60,2022,9367.0
DE60,2023,4585.0
DE70,2008,45367.0
DE70,2009,38062.0
DE70,2010,47004.0
DE70,2011,47666.0
DE70,2012,48189.0
DE70,2013,51719.0
DE70,2014,42593.0
DE70,2015,40667.0
DE70,2016,51233.0
DE70,2017,53675.0
DE70,2018,54109.0
DE70,2019,47203.0
DE70,2020,20402.0
DE70,2021,27566.0
DE70,2022,27462.0
DE70,2023,14459.0
DE80,2008,25300.0
DE80,2009,41969.0
DE80,2010,28093.0
DE80,2011,26510.0
DE80,2012,26287.0
DE80,2013,25103.0
DE80,2014,20629.0
DE80,2015,18320.0
DE80,2016,20774.0
DE80,2017,16616.0
DE80,2018,19155.0
DE80,2019,17709.0
DE80,2020,2214.0
DE80,2021,7400.0
DE80,2022,4521.0
DE80,2023,1444.0
DE90,2008,73214.0
DE90,2009,69936.0
DE90,2010,76594.0
DE90,2011,69773.0
DE90,2012,54806.0
DE90,2013,56526.0
DE90,2014,44097.0
DE90,2015,45069.0
DE90,2016,61168.0
DE90,2017,64761.0
DE90,2018,58446.0
DE90,2019,51406.0
DE90,2020,25679.0
DE90,2021,21475.0
DE90,2022,26447.0
DE90,2023,30149.0
DEA0,2008,141301.0
DEA0,2009,101801.0
DEA0,2010,140548.0
DEA0,2011,155616.0
DEA0,2012,140727.0
DEA0,2013,116424.0
DEA0,2014,128961.0
DEA0,2015,124187.0
DEA0,2016,159824.0
DEA0,2017,162833.0
DEA0,2018,138072.0
DEA0,2019,129482.0
DEA0,2020,64204.0
DEA0,2021,67535.0
DEA0,2022,57608.0
DEA0,2023,64116.0
DEB0,2008,27250.0
DEB0,2009,18648.0
DEB0,2010,30436.0
DEB0,2011,40210.0
DEB0,2012,26084.0
DEB0,2013,23768.0
DEB0,2014,27686.0
DEB0,2015,24170.0
DEB0,2016,29225.0
DEB0,2017,26189.0
DEB0,2018,28853.0
DEB0,2019,18004.0
DEB0,2020,13014.0
DEB0,2021,11997.0
DEB0,2022,10728.0
DEB0,2023,10051.0
DEC0,2009,4053.0
DEC0,2010,5224.0
DEC0,2011,6632.0
