geo,year,part_time
AT10,2008,362709.0
AT10,2009,381872.0
AT10,2010,388845.0
AT10,2011,406259.0
AT10,2012,419595.0
AT10,2013,432651.0
AT10,2014,449710.0
AT10,2015,458780.0
AT10,2016,488204.0
AT10,2017,485480.0
AT10,2018,483396.0
AT10,2019,482258.0
AT10,2020,473403.0
AT10,2021,501492.0
AT10,2022,540282.0
AT10,2023,559530.0
AT20,2008,181386.0
AT20,2009,190634.0
AT20,2010,196745.0
AT20,2011,196790.0
AT20,2012,203598.0
AT20,2013,215135.0
AT20,2014,218142.0
AT20,2015,224005.0
AT20,2016,222651.0
AT20,2017,236065.0
AT20,2018,228399.0
AT20,2019,228335.0
AT20,2020,225675.0
AT20,2021,237870.0
AT20,2022,253351.0
AT20,2023,258893.0
AT30,2008,348363.0
AT30,2009,361213.0
AT30,2010,377676.0
AT30,2011,371696.0
AT30,2012,387092.0
AT30,2013,399742.0
AT30,2014,419101.0
AT30,2015,427678.0
AT30,2016,440450.0
AT30,2017,445111.0
AT30,2018,446719.0
AT30,2019,453659.0
AT30,2020,451510.0
AT30,2021,475270.0
AT30,2022,501587.0
AT30,2023,504876.0
BE10,2008,74360.0
BE10,2009,77282.0
BE10,2010,80666.0
BE10,2011,87201.0
BE10,2012,84172.0
BE10,2013,86597.0
BE10,2014,88070.0
BE10,2015,86881.0
BE10,2016,91504.0
BE10,2017,86622.0
BE10,2018,98285.0
BE10,2019,103924.0
BE10,2020,95118.0
BE10,2021,89746.0
BE10,2022,108023.0
BE10,2023,107311.0
BE21,2008,176973.0
BE21,2009,179156.0
BE21,2010,187855.0
BE21,2011,195014.0
BE21,2012,193147.0
BE21,2013,192840.0
BE21,2014,175428.0
BE21,2015,200759.0
BE21,2016,200618.0
BE21,2017,194927.0
BE21,2018,216574.0
BE21,2019,217085.0
BE21,2020,210947.0
BE21,2021,219802.0
BE21,2022,243469.0
BE21,2023,244149.0
BE22,2008,91574.0
BE22,2009,94716.0
BE22,2010,98786.0
BE22,2011,106443.0
BE22,2012,102457.0
BE22,2013,104915.0
BE22,2014,101498.0
BE22,2015,104874.0
BE22,2016,105281.0
BE22,2017,105873.0
BE22,2018,113656.0
BE22,2019,109446.0
BE22,2020,111181.0
BE22,2021,111025.0
BE22,2022,112431.0
BE22,2023,118095.0
BE23,2008,145233.0
BE23,2009,147136.0
BE23,2010,151745.0
BE23,2011,155486.0
BE23,2012,150634.0
BE23,2013,147551.0
BE23,2014,148762.0
BE23,2015,148018.0
BE23,2016,147169.0
BE23,2017,152940.0
BE23,2018,164870.0
BE23,2019,177585.0
BE23,2020,167416.0
BE23,2021,161252.0
BE23,2022,162789.0
BE23,2023,166747.0
BE24,2008,107023.0
BE24,2009,110042.0
BE24,2010,109896.0
BE24,2011,112887.0
BE24,2012,122069.0
BE24,2013,116006.0
BE24,2014,116297.0
BE24,2015,111443.0
BE24,2016,121566.0
BE24,2017,133692.0
BE24,2018,115806.0
BE24,2019,118831.0
BE24,2020,116478.0
BE24,2021,106055.0
BE24,2022,90014.0
BE24,2023,95756.0
BE25,2008,107401.0
BE25,2009,114346.0
BE25,2010,116067.0
BE25,2011,121266.0
BE25,2012,125730.0
BE25,2013,115716.0
BE25,2014,122874.0
BE25,2015,125375.0
BE25,2016,128388.0
BE25,2017,128220.0
BE25,2018,139182.0
BE25,2019,147780.0
BE25,2020,134635.0
BE25,2021,127100.0
BE25,2022,124701.0
BE25,2023,132401.0
BE31,2008,31430.0
BE31,2009,34821.0
BE31,2010,38109.0
BE31,2011,33571.0
BE31,2012,37568.0
BE31,2013,35846.0
BE31,2014,34266.0
BE31,2015,34499.0
BE31,2016,38110.0
BE31,2017,36620.0
BE31,2018,35658.0
BE31,2019,35540.0
BE31,2020,36828.0
BE31,2021,37894.0
BE31,2022,40634.0
BE31,2023,39226.0
BE32,2008,90326.0
BE32,2009,92057.0
BE32,2010,95296.0
BE32,2011,99669.0
BE32,2012,106022.0
BE32,2013,103628.0
BE32,2014,99465.0
BE32,2015,102588.0
BE32,2016,108233.0
BE32,2017,102197.0
BE32,2018,92971.0
BE32,2019,105053.0
BE32,2020,90576.0
BE32,2021,96533.0
BE32,2022,77365.0
BE32,2023,95171.0
BE33,2008,97617.0
BE33,2009,94219.0
BE33,2010,101947.0
BE33,2011,104863.0
BE33,2012,110080.0
BE33,2013,108796.0
BE33,2014,99978.0
BE33,2015,104307.0
BE33,2016,103493.0
BE33,2017,103804.0
BE33,2018,102592.0
BE33,2019,105274.0
BE33,2020,114111.0
BE33,2021,107681.0
BE33,2022,89309.0
BE33,2023,105194.0
BE34,2008,24536.0
BE34,2009,26170.0
BE34,2010,28208.0
BE34,2011,29204.0
BE34,2012,30126.0
BE34,2013,30688.0
BE34,2014,30125.0
BE34,2015,29950.0
BE34,2016,30481.0
BE34,2017,34236.0
BE34,2018,30933.0
BE34,2019,34421.0
BE34,2020,30916.0
BE34,2021,29600.0
BE34,2022,34693.0
BE34,2023,31749.0
BE35,2008,42860.0
BE35,2009,44841.0
BE35,2010,44701.0
BE35,2011,47026.0
BE35,2012,44995.0
BE35,2013,46190.0
BE35,2014,47755.0
BE35,2015,44145.0
BE35,2016,45218.0
BE35,2017,51345.0
BE35,2018,46983.0
BE35,2019,49899.0
BE35,2020,46522.0
BE35,2021,43157.0
BE35,2022,50189.0
BE35,2023,54482.0
BG31,2008,5445.0
BG31,2009,11124.0
BG31,2010,7361.0
BG31,2011,7166.0
BG31,2012,5731.0
BG31,2013,6562.0
BG31,2014,6148.0
BG31,2015,5969.0
BG31,2016,3758.0
BG31,2017,9636.0
BG31,2018,5455.0
BG31,2019,6477.0
BG31,2020,4842.0
BG31,2021,4364.0
BG31,2022,6431.0
BG31,2023,4141.0
BG32,2008,8408.0
BG32,2009,8604.0
BG32,2010,9186.0
BG32,2011,5923.0
BG32,2012,7272.0
BG32,2013,6899.0
BG32,2014,7224.0
BG32,2015,11675.0
BG32,2016,7159.0
BG32,2017,13083.0
BG32,2018,8847.0
BG32,2019,11898.0
BG32,2020,10931.0
BG32,2021,5439.0
BG32,2022,7974.0
BG32,2023,5970.0
BG33,2008,7039.0
BG33,2009,8120.0
BG33,2010,8638.0
BG33,2011,8656.0
BG33,2012,7476.0
BG33,2013,10830.0
BG33,2014,12266.0
BG33,2015,10750.0
BG33,2016,8329.0
BG33,2017,10945.0
BG33,2018,11366.0
BG33,2019,10123.0
BG33,2020,6473.0
BG33,2021,6409.0
BG33,2022,3788.0
BG33,2023,5282.0
BG34,2008,5132.0
BG34,2009,3926.0
BG34,2010,7646.0
BG34,2011,5744.0
BG34,2012,9180.0
BG34,2013,7060.0
BG34,2014,5497.0
BG34,2015,6872.0
BG34,2016,9399.0
BG34,2017,10760.0
BG34,2018,5906.0
BG34,2019,4609.0
BG34,2020,5273.0
BG34,2021,5213.0
BG34,2022,5548.0
BG34,2023,7836.0
BG41,2008,18967.0
BG41,2009,16398.0
BG41,2010,17024.0
BG41,2011,15965.0
BG41,2012,20212.0
BG41,2013,22797.0
BG41,2014,17846.0
BG41,2015,16917.0
BG41,2016,20050.0
BG41,2017,21422.0
BG41,2018,14063.0
BG41,2019,18560.0
BG41,2020,17829.0
BG41,2021,13051.0
