geo,year,permanent
AT10,2008,1324252.0
AT10,2009,1314935.0
AT10,2010,1321245.0
AT10,2011,1342367.0
AT10,2012,1359650.0
AT10,2013,1361889.0
AT10,2014,1362460.0
AT10,2015,1373783.0
AT10,2016,1408687.0
AT10,2017,1426160.0
AT10,2018,1454772.0
AT10,2019,1470136.0
AT10,2020,1464085.0
AT10,2021,1461791.0
AT10,2022,1510095.0
AT10,2023,1516727.0
AT20,2008,651708.0
AT20,2009,640364.0
AT20,2010,642318.0
AT20,2011,647912.0
AT20,2012,646673.0
AT20,2013,650217.0
AT20,2014,647454.0
AT20,2015,656943.0
AT20,2016,665662.0
AT20,2017,674605.0
AT20,2018,679641.0
AT20,2019,688650.0
AT20,2020,681937.0
AT20,2021,681613.0
AT20,2022,694460.0
AT20,2023,697564.0
AT30,2008,1155006.0
AT30,2009,1155287.0
AT30,2010,1154643.0
AT30,2011,1169446.0
AT30,2012,1194367.0
AT30,2013,1200401.0
AT30,2014,1207019.0
AT30,2015,1225090.0
AT30,2016,1253604.0
AT30,2017,1265284.0
AT30,2018,1292961.0
AT30,2019,1307867.0
AT30,2020,1293157.0
AT30,2021,1290741.0
AT30,2022,1324875.0
AT30,2023,1339577.0
BE10,2008,294089.0
BE10,2009,299943.0
BE10,2010,304921.0
BE10,2011,294234.0
BE10,2012,306637.0
BE10,2013,302811.0
BE10,2014,312726.0
BE10,2015,310428.0
BE10,2016,318117.0
BE10,2017,321244.0
BE10,2018,329276.0
BE10,2019,331746.0
BE10,2020,334182.0
BE10,2021,345378.0
BE10,2022,353679.0
BE10,2023,375006.0
BE21,2008,608866.0
BE21,2009,591278.0
BE21,2010,606636.0
BE21,2011,603018.0
BE21,2012,616396.0
BE21,2013,612569.0
BE21,2014,606742.0
BE21,2015,610530.0
BE21,2016,604904.0
BE21,2017,609372.0
BE21,2018,646187.0
BE21,2019,634355.0
BE21,2020,615826.0
BE21,2021,659389.0
BE21,2022,657921.0
BE21,2023,681674.0
BE22,2008,280268.0
BE22,2009,286580.0
BE22,2010,288911.0
BE22,2011,292184.0
BE22,2012,291001.0
BE22,2013,287107.0
BE22,2014,287917.0
BE22,2015,283554.0
BE22,2016,282068.0
BE22,2017,293889.0
BE22,2018,289933.0
BE22,2019,290361.0
BE22,2020,290002.0
