geo,year,temporary
AT10,2008,114688.0
AT10,2009,112367.0
AT10,2010,118233.0
AT10,2011,119343.0
AT10,2012,114605.0
AT10,2013,122566.0
AT10,2014,124337.0
AT10,2015,131757.0
AT10,2016,126348.0
AT10,2017,136114.0
AT10,2018,140818.0
AT10,2019,131879.0
AT10,2020,123396.0
AT10,2021,145096.0
AT10,2022,137376.0
AT10,2023,149555.0
AT20,2008,61524.0
AT20,2009,67859.0
AT20,2010,69902.0
AT20,2011,72454.0
AT20,2012,75017.0
AT20,2013,66902.0
AT20,2014,68281.0
AT20,2015,62085.0
AT20,2016,66658.0
AT20,2017,68623.0
AT20,2018,72654.0
AT20,2019,74019.0
AT20,2020,62263.0
AT20,2021,63574.0
AT20,2022,69781.0
AT20,2023,70265.0
AT30,2008,130836.0
AT30,2009,129924.0
AT30,2010,133976.0
AT30,2011,142145.0
AT30,2012,138498.0
AT30,2013,137093.0
AT30,2014,132188.0
AT30,2015,131943.0
AT30,2016,135502.0
AT30,2017,135875.0
AT30,2018,129222.0
AT30,2019,124642.0
AT30,2020,121203.0
AT30,2021,123247.0
AT30,2022,129956.0
AT30,2023,132949.0
BE10,2008,28497.0
BE10,2009,27929.0
BE10,2010,42765.0
BE10,2011,48864.0
BE10,2012,41115.0
BE10,2013,41859.0
BE10,2014,44445.0
BE10,2015,49604.0
BE10,2016,46429.0
BE10,2017,57229.0
BE10,2018,47662.0
BE10,2019,54113.0
BE10,2020,50972.0
BE10,2021,59593.0
BE10,2022,59912.0
BE10,2023,61626.0
BE21,2008,24858.0
BE21,2009,25373.0
BE21,2010,39810.0
BE21,2011,45929.0
BE21,2012,40376.0
BE21,2013,37508.0
BE21,2014,40656.0
BE21,2015,45455.0
BE21,2016,48022.0
BE21,2017,56823.0
BE21,2018,52544.0
BE21,2019,56692.0
BE21,2020,56954.0
BE21,2021,51254.0
BE21,2022,60086.0
BE21,2023,61255.0
BE22,2008,20077.0
BE22,2009,19168.0
BE22,2010,26797.0
BE22,2011,30455.0
BE22,2012,24785.0
BE22,2013,25963.0
BE22,2014,30327.0
BE22,2015,30827.0
BE22,2016,35465.0
BE22,2017,33648.0
BE22,2018,36697.0
BE22,2019,41295.0
BE22,2020,28611.0
BE22,2021,34753.0
BE22,2022,41872.0
BE22,2023,36666.0
BE23,2008,29883.0
BE23,2009,25354.0
BE23,2010,39002.0
BE23,2011,38147.0
BE23,2012,33705.0
BE23,2013,37844.0
BE23,2014,43106.0
BE23,2015,38367.0
BE23,2016,40139.0
BE23,2017,41774.0
BE23,2018,51744.0
BE23,2019,49274.0
BE23,2020,53319.0
BE23,2021,54431.0
BE23,2022,55723.0
BE23,2023,54026.0
BE24,2008,13871.0
BE24,2009,11332.0
BE24,2010,23113.0
BE24,2011,29661.0
BE24,2012,25343.0
BE24,2013,23855.0
BE24,2014,25800.0
BE24,2015,30898.0
BE24,2016,28317.0
BE24,2017,29101.0
BE24,2018,24749.0
BE24,2019,31337.0
BE24,2020,23640.0
BE24,2021,26119.0
BE24,2022,19621.0
BE24,2023,15174.0
BE25,2008,19044.0
BE25,2009,20531.0
BE25,2010,28573.0
BE25,2011,33520.0
BE25,2012,28955.0
BE25,2013,28355.0
BE25,2014,33279.0
BE25,2015,35363.0
BE25,2016,35139.0
BE25,2017,34481.0
BE25,2018,32121.0
BE25,2019,39811.0
BE25,2020,38963.0
BE25,2021,36225.0
BE25,2022,31363.0
BE25,2023,33666.0
BE31,2008,6677.0
BE31,2009,7795.0
BE31,2010,9060.0
BE31,2011,9389.0
BE31,2012,11625.0
BE31,2013,10766.0
BE31,2014,10904.0
BE31,2015,10434.0
BE31,2016,11919.0
BE31,2017,11828.0
BE31,2018,13729.0
BE31,2019,12385.0
BE31,2020,11636.0
BE31,2021,13139.0
BE31,2022,13235.0
BE31,2023,16260.0
BE32,2008,30516.0
BE32,2009,26910.0
BE32,2010,38032.0
BE32,2011,38539.0
BE32,2012,39480.0
BE32,2013,37822.0
BE32,2014,39679.0
BE32,2015,38908.0
BE32,2016,40516.0
BE32,2017,42104.0
BE32,2018,43822.0
BE32,2019,47045.0
BE32,2020,47180.0
BE32,2021,45603.0
BE32,2022,32757.0
BE32,2023,45996.0
BE33,2008,31430.0
BE33,2009,35285.0
BE33,2010,37998.0
BE33,2011,42292.0
BE33,2012,41878.0
BE33,2013,42579.0
BE33,2014,40779.0
BE33,2015,40173.0
BE33,2016,41768.0
BE33,2017,46990.0
BE33,2018,38018.0
BE33,2019,45955.0
BE33,2020,40447.0
BE33,2021,44536.0
BE33,2022,47121.0
BE33,2023,36403.0
BE34,2008,8026.0
BE34,2009,7312.0
BE34,2010,9746.0
BE34,2011,9104.0
BE34,2012,9524.0
BE34,2013,10082.0
BE34,2014,8839.0
BE34,2015,9079.0
BE34,2016,11437.0
BE34,2017,11426.0
BE34,2018,9429.0
BE34,2019,13594.0
BE34,2020,11124.0
BE34,2021,11518.0
BE34,2022,13482.0
BE34,2023,11860.0
BE35,2008,14059.0
BE35,2009,11623.0
BE35,2010,14733.0
BE35,2011,16484.0
BE35,2012,16179.0
BE35,2013,14547.0
BE35,2014,14357.0
BE35,2015,16134.0
BE35,2016,16708.0
BE35,2017,16310.0
BE35,2018,15418.0
BE35,2019,13841.0
BE35,2020,12060.0
BE35,2021,18105.0
BE35,2022,14046.0
BE35,2023,17288.0
BG31,2008,10987.0
BG31,2009,11730.0
BG31,2010,10303.0
BG31,2011,13309.0
BG31,2012,12274.0
BG31,2013,16395.0
BG31,2014,12722.0
BG31,2015,9104.0
BG31,2016,3636.0
BG31,2017,14593.0
BG31,2018,11966.0
BG31,2019,11148.0
BG31,2020,6030.0
BG31,2021,5440.0
BG31,2022,11531.0
BG31,2023,4949.0
BG32,2008,11960.0
BG32,2009,14219.0
BG32,2010,10156.0
BG32,2011,13506.0
BG32,2012,14662.0
BG32,2013,14926.0
BG32,2014,14205.0
BG32,2015,11354.0
BG32,2016,11864.0
BG32,2017,18079.0
BG32,2018,12803.0
BG32,2019,14113.0
BG32,2020,13242.0
BG32,2021,9208.0
BG32,2022,11866.0
BG32,2023,4673.0
BG33,2008,24816.0
BG33,2009,26018.0
BG33,2010,22247.0
BG33,2011,21905.0
BG33,2012,24361.0
BG33,2013,31155.0
BG33,2014,33849.0
BG33,2015,21834.0
BG33,2016,19737.0
BG33,2017,21278.0
BG33,2018,21488.0
BG33,2019,18261.0
BG33,2020,11378.0
BG33,2021,8147.0
BG33,2022,10945.0
BG33,2023,11593.0
BG34,2008,13417.0
BG34,2009,20859.0
BG34,2010,22490.0
