Country_code,NUTS_name,year,age,skill_level,persons_per_skill_level,geo,nuts_level,nuts_label
AT,Ostösterreich,2011,15-29,1-3,127095.0,AT1,1,
AT,Ostösterreich,2011,15-29,4-5,141144.0,AT1,1,
AT,Ostösterreich,2011,15-29,6-8,79255.0,AT1,1,
AT,Ostösterreich,2011,15-29,9,23491.0,AT1,1,
AT,Ostösterreich,2011,15-29,10,0.0,AT1,1,
AT,Ostösterreich,2011,15-64,1-3,693801.0,AT1,1,
AT,Ostösterreich,2011,15-64,4-5,504859.0,AT1,1,
AT,Ostösterreich,2011,15-64,6-8,323858.0,AT1,1,
AT,Ostösterreich,2011,15-64,9,135635.0,AT1,1,
AT,Ostösterreich,2011,15-64,10,0.0,AT1,1,
AT,Ostösterreich,2011,30-64,1-3,566706.0,AT1,1,
AT,Ostösterreich,2011,30-64,4-5,363715.0,AT1,1,
AT,Ostösterreich,2011,30-64,6-8,244603.0,AT1,1,
AT,Ostösterreich,2011,30-64,9,111152.0,AT1,1,
AT,Ostösterreich,2011,30-64,10,0.0,AT1,1,
AT,Ostösterreich,2012,15-29,1-3,130180.0,AT1,1,
AT,Ostösterreich,2012,15-29,4-5,146198.0,AT1,1,
AT,Ostösterreich,2012,15-29,6-8,79482.0,AT1,1,
AT,Ostösterreich,2012,15-29,9,22288.0,AT1,1,
AT,Ostösterreich,2012,15-29,10,0.0,AT1,1,
AT,Ostösterreich,2012,15-64,1-3,697054.0,AT1,1,
AT,Ostösterreich,2012,15-64,4-5,507365.0,AT1,1,
AT,Ostösterreich,2012,15-64,6-8,325773.0,AT1,1,
AT,Ostösterreich,2012,15-64,9,139204.0,AT1,1,
AT,Ostösterreich,2012,15-64,10,0.0,AT1,1,
AT,Ostösterreich,2012,30-64,1-3,566875.0,AT1,1,
AT,Ostösterreich,2012,30-64,4-5,361167.0,AT1,1,
AT,Ostösterreich,2012,30-64,6-8,246290.0,AT1,1,
AT,Ostösterreich,2012,30-64,9,115667.0,AT1,1,
AT,Ostösterreich,2012,30-64,10,0.0,AT1,1,
AT,Ostösterreich,2013,15-29,1-3,138074.0,AT1,1,
AT,Ostösterreich,2013,15-29,4-5,144939.0,AT1,1,
AT,Ostösterreich,2013,15-29,6-8,81240.0,AT1,1,
AT,Ostösterreich,2013,15-29,9,19032.0,AT1,1,
AT,Ostösterreich,2013,15-29,10,0.0,AT1,1,
AT,Ostösterreich,2013,15-64,1-3,738028.0,AT1,1,
