geo,geo_label,nuts_level,Country_code,year,education_level,education_level_pct,education_level_pct_diff,nuts_label
AT1,Ostösterreich,1,AT,2008,low,18.5,,
AT1,Ostösterreich,1,AT,2008,medium,61.7,,
AT1,Ostösterreich,1,AT,2008,high,19.8,,
AT1,Ostösterreich,1,AT,2009,low,18.0,-2.702702702702702,
AT1,Ostösterreich,1,AT,2009,medium,60.6,-1.7828200972447348,
AT1,Ostösterreich,1,AT,2009,high,21.4,8.08080808080807,
AT1,Ostösterreich,1,AT,2010,low,17.0,-5.555555555555555,
AT1,Ostösterreich,1,AT,2010,medium,60.8,0.330033003300323,
AT1,Ostösterreich,1,AT,2010,high,22.2,3.7383177570093498,
AT1,Ostösterreich,1,AT,2011,low,17.8,4.70588235294118,
AT1,Ostösterreich,1,AT,2011,medium,60.7,-0.1644736842105169,
AT1,Ostösterreich,1,AT,2011,high,21.5,-3.1531531531531503,
AT1,Ostösterreich,1,AT,2012,low,17.4,-2.2471910112359668,
AT1,Ostösterreich,1,AT,2012,medium,60.6,-0.1647446457990138,
AT1,Ostösterreich,1,AT,2012,high,21.9,1.860465116279063,
AT1,Ostösterreich,1,AT,2013,low,17.1,-1.7241379310344664,
AT1,Ostösterreich,1,AT,2013,medium,59.2,-2.310231023102308,
AT1,Ostösterreich,1,AT,2013,high,23.7,8.219178082191785,
AT1,Ostösterreich,1,AT,2014,low,16.4,-4.093567251462005,
AT1,Ostösterreich,1,AT,2014,medium,49.9,-15.709459459459463,
AT1,Ostösterreich,1,AT,2014,high,33.7,42.19409282700424,
AT1,Ostösterreich,1,AT,2015,low,15.6,-4.878048780487799,
AT1,Ostösterreich,1,AT,2015,medium,49.9,0.0,
AT1,Ostösterreich,1,AT,2015,high,34.6,2.670623145400589,
AT1,Ostösterreich,1,AT,2016,low,15.9,1.923076923076928,
AT1,Ostösterreich,1,AT,2016,medium,49.3,-1.2024048096192417,
AT1,Ostösterreich,1,AT,2016,high,34.8,0.5780346820809125,
AT1,Ostösterreich,1,AT,2017,low,15.2,-4.402515723270447,
AT1,Ostösterreich,1,AT,2017,medium,48.0,-2.6369168356997914,
AT1,Ostösterreich,1,AT,2017,high,36.7,5.459770114942546,
AT1,Ostösterreich,1,AT,2018,low,15.2,0.0,
AT1,Ostösterreich,1,AT,2018,medium,48.0,0.0,
AT1,Ostösterreich,1,AT,2018,high,36.8,0.272479564032682,
AT1,Ostösterreich,1,AT,2019,low,15.2,0.0,
AT1,Ostösterreich,1,AT,2019,medium,47.3,-1.4583333333333393,
AT1,Ostösterreich,1,AT,2019,high,37.5,1.902173913043486,
AT1,Ostösterreich,1,AT,2020,low,14.8,-2.631578947368412,
AT1,Ostösterreich,1,AT,2020,medium,47.3,0.0,
AT1,Ostösterreich,1,AT,2020,high,37.8,0.7999999999999924,
AT1,Ostösterreich,1,AT,2021,low,14.8,0.0,
AT1,Ostösterreich,1,AT,2021,medium,46.2,-2.3255813953488254,
AT1,Ostösterreich,1,AT,2021,high,39.0,3.174603174603182,
AT1,Ostösterreich,1,AT,2022,low,14.7,-0.6756756756756852,
AT1,Ostösterreich,1,AT,2022,medium,45.6,-1.2987012987013018,
AT1,Ostösterreich,1,AT,2022,high,39.7,1.794871794871802,
AT1,Ostösterreich,1,AT,2023,low,14.4,-2.040816326530605,
AT1,Ostösterreich,1,AT,2023,medium,44.5,-2.412280701754389,
AT1,Ostösterreich,1,AT,2023,high,41.1,3.526448362720399,
AT1,Ostösterreich,1,AT,2024,low,14.3,-0.694444444444442,
AT1,Ostösterreich,1,AT,2024,medium,43.6,-2.0224719101123565,
AT1,Ostösterreich,1,AT,2024,high,42.1,2.4330900243309,
AT11,Burgenland,2,AT,2008,low,21.1,,
AT11,Burgenland,2,AT,2008,medium,64.8,,
AT11,Burgenland,2,AT,2008,high,14.1,,
AT11,Burgenland,2,AT,2009,low,19.6,-7.109004739336493,
AT11,Burgenland,2,AT,2009,medium,65.3,0.771604938271605,
AT11,Burgenland,2,AT,2009,high,15.1,7.092198581560284,
AT11,Burgenland,2,AT,2010,low,19.7,0.5102040816326422,
AT11,Burgenland,2,AT,2010,medium,65.5,0.3062787136294071,
AT11,Burgenland,2,AT,2010,high,14.8,-1.9867549668874105,
AT11,Burgenland,2,AT,2011,low,19.7,0.0,
AT11,Burgenland,2,AT,2011,medium,65.5,0.0,
AT11,Burgenland,2,AT,2011,high,14.8,0.0,
AT11,Burgenland,2,AT,2012,low,18.8,-4.568527918781719,
AT11,Burgenland,2,AT,2012,medium,67.2,2.5954198473282486,
AT11,Burgenland,2,AT,2012,high,13.9,-6.081081081081083,
AT11,Burgenland,2,AT,2013,low,18.5,-1.5957446808510676,
AT11,Burgenland,2,AT,2013,medium,65.6,-2.380952380952394,
AT11,Burgenland,2,AT,2013,high,15.8,13.66906474820144,
AT11,Burgenland,2,AT,2014,low,16.8,-9.189189189189186,
AT11,Burgenland,2,AT,2014,medium,57.5,-12.347560975609747,
AT11,Burgenland,2,AT,2014,high,25.7,62.658227848101255,
AT11,Burgenland,2,AT,2015,low,15.3,-8.928571428571429,
AT11,Burgenland,2,AT,2015,medium,56.2,-2.2608695652173867,
AT11,Burgenland,2,AT,2015,high,28.5,10.894941634241247,
AT11,Burgenland,2,AT,2016,low,16.5,7.843137254901955,
AT11,Burgenland,2,AT,2016,medium,55.7,-0.889679715302491,
AT11,Burgenland,2,AT,2016,high,27.9,-2.105263157894742,
AT11,Burgenland,2,AT,2017,low,14.8,-10.3030303030303,
AT11,Burgenland,2,AT,2017,medium,57.2,2.6929982046678638,
AT11,Burgenland,2,AT,2017,high,28.0,0.3584229390681054,
AT11,Burgenland,2,AT,2018,low,15.1,2.02702702702702,
AT11,Burgenland,2,AT,2018,medium,56.5,-1.2237762237762286,
AT11,Burgenland,2,AT,2018,high,28.4,1.4285714285714235,
AT11,Burgenland,2,AT,2019,low,15.1,0.0,
AT11,Burgenland,2,AT,2019,medium,54.2,-4.070796460176986,
AT11,Burgenland,2,AT,2019,high,30.7,8.098591549295778,
AT11,Burgenland,2,AT,2020,low,13.2,-12.582781456953644,
AT11,Burgenland,2,AT,2020,medium,53.7,-0.9225092250922508,
AT11,Burgenland,2,AT,2020,high,33.1,7.817589576547239,
AT11,Burgenland,2,AT,2021,low,13.0,-1.5151515151515098,
AT11,Burgenland,2,AT,2021,medium,55.7,3.724394785847299,
AT11,Burgenland,2,AT,2021,high,31.4,-5.135951661631428,
AT11,Burgenland,2,AT,2022,low,13.4,3.0769230769230798,
AT11,Burgenland,2,AT,2022,medium,55.1,-1.077199281867148,
AT11,Burgenland,2,AT,2022,high,31.4,0.0,
AT11,Burgenland,2,AT,2023,low,12.8,-4.477611940298504,
