geo,nuts_label,year,nuts_level,Hotel_Stays_Natives,Hotel_Stays_Foreign,Hotel_Stays_Total,Hotel_Beds,Hotel_Occupancy,Hotel_Stays_Natives_pct_diff,Hotel_Stays_Foreign_pct_diff,Hotel_Stays_Total_pct_diff,Hotel_Occupancy_pct_diff
EL307,Νήσοι,2015,3,168962,128486,297448,6607,22.4,,,,
EL307,Πειραιάς,2015,3,186011,197237,383248,2931,37.2,,,,
EL307,Νήσοι,2016,3,185199,133169,318368,6705,23.5,9.609853103064594,3.644755070591348,7.033162098921491,4.910714285714293
EL307,Πειραιάς,2016,3,190355,202342,392697,2797,40.0,2.3353457591217723,2.5882567672394123,2.465505364672484,7.526881720430099
EL307,Νήσοι,2017,3,187194,145635,332829,6683,24.1,1.0772196394148996,9.361037478692488,4.542227862096693,2.553191489361708
EL307,Πειραιάς,2017,3,193282,217831,411113,2867,40.7,1.537653331932442,7.654861571003549,4.689620750858805,1.750000000000007
EL307,Νήσοι,2018,3,239078,209183,448261,8070,23.7,27.716700321591503,43.63511518522333,34.68207397792861,-1.659751037344407
EL307,Πειραιάς,2018,3,194679,270901,465580,3050,43.2,0.7227781169482932,24.3629235508261,13.248668857467411,6.142506142506142
EL307,Νήσοι,2019,3,220303,196215,416518,8042,22.0,-7.853085603861501,-6.1993565442698495,-7.081365543734565,-7.172995780590714
EL307,Πειραιάς,2019,3,194520,285915,480435,3195,42.7,-0.0816729077096142,5.5422460603689165,3.19064392800378,-1.1574074074074074
EL307,Νήσοι,2020,3,129821,59850,189671,6222,20.8,-41.071615002973175,-69.49774482073235,-54.46271229574712,-5.454545454545452
EL307,Πειραιάς,2020,3,94913,88531,183444,2906,24.0,-51.206559736788,-69.03590227864925,-61.81710325017953,-43.79391100702576
EL307,Νήσοι,2021,3,195066,130320,325386,5110,36.5,50.25766247371381,117.74436090225564,71.5528467715149,75.48076923076923
EL307,Πειραιάς,2021,3,117381,140176,257557,2563,33.7,23.67220507201332,58.335498300030494,40.400885283792334,40.41666666666668
EL307,Νήσοι,2022,3,216028,181109,397137,7899,28.3,10.746106446023395,38.97252915899325,22.05104091755638,-22.46575342465753
EL307,Πειραιάς,2022,3,198266,270883,469149,3445,46.0,68.90808563566506,93.24492067115628,82.15346505822012,36.49851632047477
EL307,Νήσοι,2023,3,239189,225415,464604,7301,31.5,10.721295387634935,24.463720742757125,16.988344072700354,11.307420494699643
EL307,Πειραιάς,2023,3,234177,348688,582865,3581,54.6,18.11253568438361,28.72273269271235,24.23878128270549,18.695652173913047
EL307,Νήσοι,2024,3,275548,245891,521439,7777,32.8,,,,
EL307,Πειραιάς,2024,3,241428,403460,644888,4032,51.8,,,,
EL411,Λέσβος,2015,3,116539,467484,584023,7148,39.8,,,,
EL411,Λήμνος,2015,3,37142,104170,141312,1778,37.7,,,,
EL411,Λέσβος,2016,3,109367,356496,465863,6922,31.0,-6.15416298406542,-23.74156120851195,-20.232079900962805,-22.11055276381909
EL411,Λήμνος,2016,3,41187,92230,133417,1788,35.0,10.89063593775241,-11.462033214937122,-5.58692821557971,-7.161803713527859
EL411,Λέσβος,2017,3,134514,384029,518543,7282,32.5,22.99322464728849,7.7232283111170945,11.308045498354668,4.838709677419355
EL411,Λήμνος,2017,3,47686,99479,147165,1797,36.2,15.779250734455047,7.859698579637862,10.30453390497463,3.4285714285714364
EL411,Λέσβος,2018,3,133719,463702,597421,7313,33.8,-0.5910165484633569,20.746610282035995,15.211467515712291,3.999999999999991
EL411,Λήμνος,2018,3,56964,105973,162937,1895,33.8,19.456444239399403,6.528010936981675,10.71722216559644,-6.6298342541436615
EL411,Λέσβος,2019,3,139863,411283,551146,7394,31.3,4.59470980189801,-11.30445846686018,-7.745794004562946,-7.396449704142002
EL411,Λήμνος,2019,3,59346,118220,177566,1941,37.6,4.181588371603118,11.556717277042264,8.978316772740385,11.242603550295872
EL411,Λέσβος,2020,3,74315,52020,126335,3900,17.2,-46.86586159313042,-87.35177481199077,-77.0777616094465,-45.04792332268371
EL411,Λήμνος,2020,3,36393,26489,62882,1568,24.0,-38.67657466383581,-77.59346980206395,-64.58668889314396,-36.17021276595745
EL411,Λέσβος,2021,3,107538,148407,255945,5187,24.3,44.70564488999529,185.2883506343714,102.59231408556614,41.27906976744188
EL411,Λήμνος,2021,3,32241,38746,70987,1570,24.0,-11.408787404171132,46.272037449507344,12.889221080754428,0.0
EL411,Λέσβος,2022,3,144082,334946,479028,7041,31.5,33.98240621919694,125.69420579891784,87.16052276856355,29.629629629629623
EL411,Λήμνος,2022,3,50846,95359,146205,2161,32.4,57.70602648801216,146.11314716357816,105.96024624226972,34.99999999999999
EL411,Λέσβος,2023,3,180897,386694,567591,7063,36.2,25.55142210685582,15.44965457118461,18.488063328239683,14.920634920634928
EL411,Λήμνος,2023,3,55563,106142,161705,2504,37.4,9.277032608268104,11.307794754559088,10.601552614479669,15.432098765432102
EL411,Λέσβος,2024,3,175828,492015,667843,6861,39.1,,,,
EL411,Λήμνος,2024,3,55211,125330,180541,2161,34.4,,,,
EL412,Ικαρία,2015,3,28217,17198,45415,1049,23.4,,,,
EL412,Σάμος,2015,3,88238,709162,797400,9751,44.3,,,,
EL412,Ικαρία,2016,3,29275,9835,39110,1037,20.1,3.749512705106851,-42.81311780439586,-13.883078278101948,-14.102564102564092
EL412,Σάμος,2016,3,101513,590020,691533,9454,38.8,15.044538634148552,-16.80039257602635,-13.276523702031604,-12.415349887133184
EL412,Ικαρία,2017,3,34847,11781,46628,1037,23.1,19.033304867634502,19.7864768683274,19.22270519048837,14.925373134328357
EL412,Σάμος,2017,3,108417,741378,849795,10417,44.5,6.801099366583591,25.65302871089116,22.885675737817284,14.690721649484544
EL412,Ικαρία,2018,3,30134,11910,42044,942,20.1,-13.524837145234883,1.0949834479246243,-9.831002830917049,-12.987012987012983
EL412,Σάμος,2018,3,137558,935725,1073283,11648,45.3,26.87862604573084,26.21429284386642,26.299048594072687,1.7977528089887576
EL412,Ικαρία,2019,3,29935,17065,47000,1022,21.2,-0.6603836198314197,43.28295549958018,11.787651032251926,5.472636815920387
EL412,Σάμος,2019,3,148040,897559,1045599,13387,42.9,7.620058448072813,-4.078762456918432,-2.5793756166826456,-5.298013245033109
EL412,Ικαρία,2020,3,12687,4359,17046,867,13.3,-57.61817270753299,-74.45648989159098,-63.731914893617024,-37.264150943396224
EL412,Σάμος,2020,3,110240,103788,214028,5206,24.2,-25.53363955687652,-88.4366375915121,-79.53058486092661,-43.58974358974359
EL412,Ικαρία,2021,3,15102,11309,26411,793,18.4,19.03523291558288,159.44023858683184,54.93957526692479,38.34586466165412
EL412,Σάμος,2021,3,117319,387703,505022,7594,36.5,6.421444121915821,273.5528192083863,135.96071542041227,50.82644628099175
EL412,Ικαρία,2022,3,29222,15678,44900,1096,22.3,93.49754999337836,38.63294721018657,70.00492219151111,21.195652173913057
EL412,Σάμος,2022,3,139829,799505,939334,10723,46.3,19.18700295774768,106.21584047582814,85.9986297626638,26.84931506849314
EL412,Ικαρία,2023,3,30477,21192,51669,949,25.2,4.294709465471221,35.17030233448144,15.075723830734963,13.004484304932728
EL412,Σάμος,2023,3,150653,875268,1025921,10688,46.8,7.740883507712992,9.476238422523936,9.217913968833235,1.0799136069114472
EL412,Ικαρία,2024,3,35962,26745,62707,965,29.0,,,,
EL412,Σάμος,2024,3,129473,915702,1045175,10615,45.5,,,,
EL421,Κάλυμνος,2015,3,45251,80572,125823,3279,19.8,,,,
EL421,Κάρπαθος – Ηρωική Νήσος Κάσος,2015,3,23567,270542,294109,4173,41.4,,,,
EL421,Κως,2015,3,176561,5619748,5796309,50426,66.5,,,,
EL421,Ρόδος,2015,3,325471,9808975,10134446,87051,62.8,,,,
EL421,Κάλυμνος,2016,3,59141,82338,141479,3403,21.3,30.695454244105104,2.1918284267487467,12.442876103733022,7.575757575757576
EL421,Κάρπαθος – Ηρωική Νήσος Κάσος,2016,3,25525,284902,310427,4287,42.1,8.308227606398779,5.307863474063177,5.548283119523714,1.6908212560386542
EL421,Κως,2016,3,169418,4730652,4900070,47372,59.5,-4.045627290284944,-15.820922931063814,-15.462236399060162,-10.526315789473683
EL421,Ρόδος,2016,3,376062,10557226,10933288,89323,64.3,15.543934789889114,7.628228229758971,7.882443697465061,2.388535031847134
EL421,Κάλυμνος,2017,3,65549,82120,147669,3382,21.8,10.83512284202161,-0.2647623211639826,4.3752076279871925,2.3474178403755865
EL421,Κάρπαθος – Ηρωική Νήσος Κάσος,2017,3,24186,325275,349461,4579,44.0,-5.245837414299706,14.170837691557098,12.574292828909856,4.513064133016624
EL421,Κως,2017,3,176915,5835235,6012150,49729,65.8,4.425149629909455,23.34948755478103,22.69518598713896,10.588235294117643
EL421,Ρόδος,2017,3,427483,11459047,11886530,91321,66.4,13.673543192345944,8.54221554033228,8.718712980029428,3.265940902021786
EL421,Κάλυμνος,2018,3,99008,230524,329532,5574,26.7,51.04425696806969,180.71602532878717,123.15584178128113,22.47706422018348
EL421,Κάρπαθος – Ηρωική Νήσος Κάσος,2018,3,39354,536920,576274,6040,45.6,62.713966757628384,65.066482207363,64.90366593124841,3.63636363636364
EL421,Κως,2018,3,257632,7981305,8238937,61911,67.0,45.62473504225193,36.777781871681256,37.03811448483488,1.8237082066869343
EL421,Ρόδος,2018,3,594332,14735326,15329658,110394,65.7,39.03055794031576,28.591199599757296,28.966637025271464,-1.0542168674698835
EL421,Κάλυμνος,2019,3,86198,236861,323059,5306,26.4,-12.938348416289594,2.7489545557078654,-1.9643008873189856,-1.1235955056179805
EL421,Κάρπαθος – Ηρωική Νήσος Κάσος,2019,3,45304,522207,567511,6483,41.3,15.119174670935609,-2.740259256500037,-1.5206308110378048,-9.429824561403516
EL421,Κως,2019,3,238493,8345642,8584135,65040,65.7,-7.428813190907961,4.56488005407637,4.189836625768591,-1.9402985074626824
EL421,Ρόδος,2019,3,609361,14493694,15103055,114555,61.3,2.5287213207432884,-1.6398144160502457,-1.4781999702798327,-6.697108066971088
EL421,Κάλυμνος,2020,3,49707,68019,117726,3912,21.7,-42.3339288614585,-71.28315763253555,-63.55897839094406,-17.8030303030303
EL421,Κάρπαθος – Ηρωική Νήσος Κάσος,2020,3,36224,58004,94228,3709,19.8,-20.04238036376479,-88.89252729281684,-83.39626897099792,-52.05811138014528
EL421,Κως,2020,3,101278,2413382,2514660,38221,51.4,-57.53418339322328,-71.08212885239985,-70.70572631954181,-21.765601217656016
EL421,Ρόδος,2020,3,205837,3731516,3937353,67638,43.1,-66.22084445837525,-74.25421014132077,-73.93008897868675,-29.690048939641105
EL421,Κάλυμνος,2021,3,47166,143836,191002,3417,33.0,-5.111956062526405,111.46444375836164,62.2428350576763,52.073732718894014
EL421,Κάρπαθος – Ηρωική Νήσος Κάσος,2021,3,20219,158002,178221,2841,43.0,-44.18341431095406,172.39845527894627,89.13804813855755,117.17171717171718
EL421,Κως,2021,3,113902,4459459,4573361,48553,56.5,12.464701119690355,84.78048647085294,81.86796624593384,9.922178988326852
EL421,Ρόδος,2021,3,426407,8022445,8448852,92093,50.8,107.15760528962235,114.99157447000093,114.58203011007647,17.865429234338738
EL421,Κάλυμνος,2022,3,73643,217543,291186,5289,30.1,56.13577577068227,51.24377763564058,52.45180678736349,-8.787878787878784
EL421,Κάρπαθος – Ηρωική Νήσος Κάσος,2022,3,44825,503756,548581,6456,50.5,121.69741332410108,218.82887558385332,207.8094051767188,17.441860465116278
EL421,Κως,2022,3,203888,7670321,7874209,59163,60.9,79.00300258116627,72.00115529708873,72.17554004593121,7.787610619469023
EL421,Ρόδος,2022,3,447354,13559213,14006567,105755,57.6,4.912442806989566,69.01596707736856,65.78071198311912,13.385826771653552
EL421,Κάλυμνος,2023,3,84294,264490,348784,4935,34.0,14.463017530518854,21.580561084475253,19.78048395183834,12.956810631229231
EL421,Κάρπαθος – Ηρωική Νήσος Κάσος,2023,3,51113,562121,613234,6282,52.3,14.027886224205243,11.585966221742272,11.785497492621872,3.564356435643558
EL421,Κως,2023,3,232313,8298228,8530541,58330,64.7,13.941477674017108,8.186189339403136,8.335211828896083,6.239737274220039
