nuts_level,year,rows
0,1983,34
0,1984,34
0,1985,34
0,1986,34
0,1987,34
0,1988,34
0,1989,34
0,1990,34
0,1991,34
0,1992,34
0,1993,34
0,1994,34
0,1995,50
0,1996,53
0,1997,57
0,1998,60
0,1999,94
0,2000,117
0,2001,121
0,2002,127
0,2003,127
0,2004,127
0,2005,128
0,2006,132
0,2007,132
0,2008,719
0,2009,719
0,2010,722
0,2011,1145
0,2012,1145
0,2013,1145
0,2014,1145
0,2015,1145
0,2016,1145
0,2017,1145
0,2018,1145
0,2019,1145
0,2020,1130
0,2021,1123
0,2022,1123
0,2023,1124
0,2024,743
1,1999,92
1,2000,176
1,2001,184
1,2002,189
1,2003,191
1,2004,191
1,2005,191
1,2006,191
1,2007,191
1,2008,2123
1,2009,2123
1,2010,2123
1,2011,3648
1,2012,3648
1,2013,3661
1,2014,3678
1,2015,3678
1,2016,3678
1,2017,3678
1,2018,3677
1,2019,3682
1,2020,3504
1,2021,3505
1,2022,3504
1,2023,3496
1,2024,2184
2,1999,244
2,2000,438
2,2001,454
2,2002,470
2,2003,475
2,2004,475
2,2005,482
2,2006,482
2,2007,488
2,2008,5301
2,2009,5301
2,2010,5305
2,2011,9335
2,2012,9363
2,2013,9667
2,2014,9714
2,2015,9743
2,2016,9791
2,2017,9788
2,2018,9785
2,2019,9822
2,2020,9208
2,2021,9219
2,2022,9223
2,2023,9203
2,2024,5908
3,2000,57
3,2001,57
3,2002,57
3,2003,57
3,2004,57
3,2005,57
3,2006,57
3,2007,57
3,2008,16521
3,2009,16521
3,2010,16521
3,2011,16521
3,2012,16521
3,2013,16521
3,2014,16521
3,2015,16669
3,2016,16669
3,2017,16669
3,2018,16669
3,2019,16736
3,2020,16736
3,2021,16736
3,2022,16736
3,2023,16679
3,2024,140
,2008,1
,2009,1
,2010,1
,2011,1
,2012,1
,2013,1
,2014,1
,2015,1
,2016,1
,2017,1
,2018,1
,2019,1
,2020,1
,2021,1
,2022,1
,2023,1
