nace_r2,geo,geo_label,nuts_level,Country_code,year,sector_employment,total_employment,sector_employment_pct,sector_employment_pct_diff,nuts_label
A,AT1,Ostösterreich,1,AT,2008,60600.0,1707100.0,3.549879913303263,,
B-E,AT1,Ostösterreich,1,AT,2008,220800.0,1707100.0,12.93421592173862,,
C,AT1,Ostösterreich,1,AT,2008,198500.0,1707100.0,11.627906976744184,,
F,AT1,Ostösterreich,1,AT,2008,108700.0,1707100.0,6.367523870892156,,
G-J,AT1,Ostösterreich,1,AT,2008,526800.0,1707100.0,30.859352117626383,,
G-I,AT1,Ostösterreich,1,AT,2008,465100.0,1707100.0,27.245035440220256,,
J,AT1,Ostösterreich,1,AT,2008,61700.0,1707100.0,3.6143166774061273,,
K-N,AT1,Ostösterreich,1,AT,2008,314300.0,1707100.0,18.411340870482103,,
K,AT1,Ostösterreich,1,AT,2008,67300.0,1707100.0,3.942358385566165,,
L,AT1,Ostösterreich,1,AT,2008,35000.0,1707100.0,2.050260676000234,,
M_N,AT1,Ostösterreich,1,AT,2008,212000.0,1707100.0,12.418721808915706,,
O-U,AT1,Ostösterreich,1,AT,2008,475900.0,1707100.0,27.877687305957476,,
O-Q,AT1,Ostösterreich,1,AT,2008,393300.0,1707100.0,23.03907211059692,,
R-U,AT1,Ostösterreich,1,AT,2008,82700.0,1707100.0,4.844473083006268,,
A,AT1,Ostösterreich,1,AT,2009,59400.0,1703200.0,3.487552841709723,-1.98019801980198,
B-E,AT1,Ostösterreich,1,AT,2009,213300.0,1703200.0,12.523485204321275,-3.3967391304347823,
C,AT1,Ostösterreich,1,AT,2009,190500.0,1703200.0,11.184828558008457,-4.030226700251889,
F,AT1,Ostösterreich,1,AT,2009,107700.0,1703200.0,6.323391263503993,-0.9199632014719412,
G-J,AT1,Ostösterreich,1,AT,2009,520300.0,1703200.0,30.54837952090183,-1.2338648443432152,
G-I,AT1,Ostösterreich,1,AT,2009,458600.0,1703200.0,26.925786754344763,-1.3975489142119977,
J,AT1,Ostösterreich,1,AT,2009,61700.0,1703200.0,3.622592766557069,0.0,
K-N,AT1,Ostösterreich,1,AT,2009,313700.0,1703200.0,18.418271488961956,-0.1909004136175628,
K,AT1,Ostösterreich,1,AT,2009,67500.0,1703200.0,3.9631282292155934,0.2971768202080238,
L,AT1,Ostösterreich,1,AT,2009,33700.0,1703200.0,1.9786284640676373,-3.7142857142857135,
M_N,AT1,Ostösterreich,1,AT,2009,212600.0,1703200.0,12.482386096759042,0.2830188679245283,
O-U,AT1,Ostösterreich,1,AT,2009,488800.0,1703200.0,28.69891968060122,2.710653498634167,
O-Q,AT1,Ostösterreich,1,AT,2009,403900.0,1703200.0,23.714185063410053,2.6951436562420543,
R-U,AT1,Ostösterreich,1,AT,2009,84900.0,1703200.0,4.98473461719117,2.6602176541717046,
A,AT1,Ostösterreich,1,AT,2010,58200.0,1714800.0,3.3939818054583624,-2.0202020202020203,
B-E,AT1,Ostösterreich,1,AT,2010,207900.0,1714800.0,12.123862841147655,-2.5316455696202533,
C,AT1,Ostösterreich,1,AT,2010,185300.0,1714800.0,10.805924889199908,-2.729658792650919,
F,AT1,Ostösterreich,1,AT,2010,108400.0,1714800.0,6.321436902262654,0.6499535747446611,
G-J,AT1,Ostösterreich,1,AT,2010,524600.0,1714800.0,30.592488919990668,0.8264462809917469,
G-I,AT1,Ostösterreich,1,AT,2010,461700.0,1714800.0,26.92442267319804,0.6759703445268207,
J,AT1,Ostösterreich,1,AT,2010,63000.0,1714800.0,3.6738978306508048,2.106969205834684,
K-N,AT1,Ostösterreich,1,AT,2010,319300.0,1714800.0,18.620247259155587,1.7851450430347466,
K,AT1,Ostösterreich,1,AT,2010,67900.0,1714800.0,3.959645439701423,0.5925925925925926,
L,AT1,Ostösterreich,1,AT,2010,33800.0,1714800.0,1.971075344063448,0.2967359050445104,
