geo,year,EU_labor_market_workforce_education__geo_label,EU_labor_market_workforce_education__Country_code,EU_labor_market_workforce_education__education_level,EU_labor_market_workforce_education__education_level_pct,EU_labor_market_workforce_education__education_level_pct_diff,_row_order_,__conflict_file
be,2008,Belgium,BE,low,30.4,,0,EU_labor_market_workforce_education
be,2008,Belgium,BE,medium,37.3,,6273,EU_labor_market_workforce_education
be,2008,Belgium,BE,high,32.3,,12546,EU_labor_market_workforce_education
be,2009,Belgium,BE,low,29.4,-3.289473684210526,1,EU_labor_market_workforce_education
be,2009,Belgium,BE,medium,37.2,-0.2680965147452931,6274,EU_labor_market_workforce_education
be,2009,Belgium,BE,high,33.4,3.4055727554179613,12547,EU_labor_market_workforce_education
be,2010,Belgium,BE,low,29.5,0.3401360544217735,2,EU_labor_market_workforce_education
be,2010,Belgium,BE,medium,35.5,-4.569892473118287,6275,EU_labor_market_workforce_education
be,2010,Belgium,BE,high,35.0,4.790419161676651,12548,EU_labor_market_workforce_education
be,2011,Belgium,BE,low,28.7,-2.711864406779664,3,EU_labor_market_workforce_education
be,2011,Belgium,BE,medium,36.7,3.380281690140853,6276,EU_labor_market_workforce_education
be,2011,Belgium,BE,high,34.6,-1.1428571428571388,12549,EU_labor_market_workforce_education
be,2012,Belgium,BE,low,28.4,-1.0452961672473893,4,EU_labor_market_workforce_education
be,2012,Belgium,BE,medium,36.3,-1.0899182561308056,6277,EU_labor_market_workforce_education
be,2012,Belgium,BE,high,35.3,2.0231213872832243,12550,EU_labor_market_workforce_education
be,2013,Belgium,BE,low,27.2,-4.225352112676054,5,EU_labor_market_workforce_education
be,2013,Belgium,BE,medium,37.2,2.4793388429752223,6278,EU_labor_market_workforce_education
be,2013,Belgium,BE,high,35.5,0.5665722379603481,12551,EU_labor_market_workforce_education
be,2014,Belgium,BE,low,26.4,-2.941176470588238,6,EU_labor_market_workforce_education
be,2014,Belgium,BE,medium,36.7,-1.3440860215053765,6279,EU_labor_market_workforce_education
be,2014,Belgium,BE,high,36.9,3.943661971830982,12552,EU_labor_market_workforce_education
be,2015,Belgium,BE,low,25.3,-4.166666666666659,7,EU_labor_market_workforce_education
be,2015,Belgium,BE,medium,37.8,2.9972752043596573,6280,EU_labor_market_workforce_education
be,2015,Belgium,BE,high,36.9,0.0,12553,EU_labor_market_workforce_education
be,2016,Belgium,BE,low,24.9,-1.581027667984198,8,EU_labor_market_workforce_education
be,2016,Belgium,BE,medium,37.6,-0.5291005291005179,6281,EU_labor_market_workforce_education
be,2016,Belgium,BE,high,37.5,1.6260162601626056,12554,EU_labor_market_workforce_education
be,2017,Belgium,BE,low,23.2,-6.827309236947789,9,EU_labor_market_workforce_education
be,2017,Belgium,BE,medium,36.5,-2.9255319148936207,6282,EU_labor_market_workforce_education
be,2017,Belgium,BE,high,40.3,7.466666666666659,12555,EU_labor_market_workforce_education
be,2018,Belgium,BE,low,21.8,-6.034482758620683,10,EU_labor_market_workforce_education
be,2018,Belgium,BE,medium,37.6,3.0136986301369904,6283,EU_labor_market_workforce_education
be,2018,Belgium,BE,high,40.6,0.7444168734491422,12556,EU_labor_market_workforce_education
be,2019,Belgium,BE,low,21.3,-2.293577981651376,11,EU_labor_market_workforce_education
be,2019,Belgium,BE,medium,38.0,1.0638297872340388,6284,EU_labor_market_workforce_education
