geo,nuts_level,n_variants,labels_joined
AT11,2,0,—
AT12,2,0,—
AT13,2,0,—
AT21,2,0,—
AT22,2,0,—
AT31,2,0,—
AT32,2,0,—
AT33,2,0,—
AT34,2,0,—
ATZZ,2,0,—
BE10,2,0,—
BE21,2,0,—
BE22,2,0,—
BE23,2,0,—
BE24,2,0,—
BE25,2,0,—
BE31,2,0,—
BE32,2,0,—
BE33,2,0,—
BE34,2,0,—
BE35,2,0,—
BEZZ,2,0,—
BG31,2,0,—
BG32,2,0,—
BG33,2,0,—
BG34,2,0,—
BG41,2,0,—
BG42,2,0,—
CH01,2,0,—
CH02,2,0,—
CH03,2,0,—
CH04,2,0,—
CH05,2,0,—
CH06,2,0,—
CH07,2,0,—
CY00,2,0,—
CZ01,2,0,—
CZ02,2,0,—
CZ03,2,0,—
CZ04,2,0,—
CZ05,2,0,—
CZ06,2,0,—
CZ07,2,0,—
CZ08,2,0,—
DE11,2,0,—
DE12,2,0,—
DE13,2,0,—
DE14,2,0,—
DE21,2,0,—
DE22,2,0,—
DE23,2,0,—
DE24,2,0,—
DE25,2,0,—
DE26,2,0,—
DE27,2,0,—
DE30,2,0,—
DE40,2,0,—
DE50,2,0,—
DE60,2,0,—
DE71,2,0,—
DE72,2,0,—
DE73,2,0,—
DE80,2,0,—
DE91,2,0,—
DE92,2,0,—
DE93,2,0,—
DE94,2,0,—
DEA1,2,0,—
DEA2,2,0,—
DEA3,2,0,—
DEA4,2,0,—
DEA5,2,0,—
DEB1,2,0,—
DEB2,2,0,—
DEB3,2,0,—
DEC0,2,0,—
DED2,2,0,—
DED4,2,0,—
DED5,2,0,—
DEE0,2,0,—
DEF0,2,0,—
DEG0,2,0,—
DK01,2,0,—
DK02,2,0,—
DK03,2,0,—
DK04,2,0,—
DK05,2,0,—
DKZZ,2,0,—
EE00,2,0,—
EL30,2,0,—
EL41,2,0,—
EL42,2,0,—
EL43,2,0,—
EL51,2,0,—
EL52,2,0,—
EL53,2,0,—
EL54,2,0,—
EL61,2,0,—
EL62,2,0,—
