nuts_level,year,rows
0,1983,34
0,1984,34
0,1985,34
0,1986,34
0,1987,34
0,1988,34
0,1989,34
0,1990,34
0,1991,34
0,1992,34
0,1993,34
0,1994,34
0,1995,34
0,1996,34
0,1997,34
0,1998,34
0,1999,34
0,2000,34
0,2001,34
0,2002,34
0,2003,34
0,2004,34
0,2005,34
0,2006,34
0,2007,34
0,2008,1272
0,2009,1272
0,2010,1272
0,2011,17163
0,2012,17163
0,2013,17163
0,2014,17163
0,2015,17163
0,2016,17163
0,2017,17163
0,2018,17163
0,2019,17163
0,2020,17148
0,2021,17148
0,2022,17148
0,2023,17148
0,2024,1437
1,1999,92
1,2000,92
1,2001,92
1,2002,92
1,2003,92
1,2004,92
1,2005,92
1,2006,92
1,2007,92
1,2008,4018
1,2009,4018
1,2010,4018
1,2011,55803
1,2012,55803
1,2013,57412
1,2014,58042
1,2015,58042
1,2016,58083
1,2017,58042
1,2018,58082
1,2019,58124
1,2020,57946
1,2021,57988
1,2022,57946
1,2023,57946
1,2024,4380
2,1999,244
2,2000,244
2,2001,244
2,2002,244
2,2003,244
2,2004,244
2,2005,244
2,2006,244
2,2007,244
2,2008,10374
2,2009,10374
2,2010,10374
2,2011,136779
2,2012,138725
2,2013,144960
2,2014,147172
2,2015,146970
2,2016,148800
2,2017,148674
2,2018,148589
2,2019,148885
2,2020,147789
2,2021,147915
2,2022,148125
2,2023,148125
2,2024,11216
3,2008,16464
3,2009,16464
3,2010,16464
3,2011,16464
3,2012,16464
3,2013,16464
3,2014,16464
3,2015,16464
3,2016,16464
3,2017,16464
3,2018,16464
3,2019,16464
3,2020,16464
3,2021,16464
3,2022,16464
3,2023,16464
