geo,year,greek_tourism_Stays__Hotel_Stays_Natives,greek_tourism_Stays__Hotel_Stays_Foreign,greek_tourism_Stays__Hotel_Stays_Total,greek_tourism_Stays__Hotel_Beds,greek_tourism_Stays__Hotel_Occupancy,greek_tourism_Stays__Hotel_Stays_Natives_pct_diff,greek_tourism_Stays__Hotel_Stays_Foreign_pct_diff,greek_tourism_Stays__Hotel_Stays_Total_pct_diff,greek_tourism_Stays__Hotel_Occupancy_pct_diff,_row_order_,__conflict_file
EL422,2024,63229,43478,106707,1345,34.1,,,,,132,greek_tourism_Stays
EL422,2024,193642,2153785,2347427,20752,48.5,,,,,153,greek_tourism_Stays
EL422,2024,63263,153748,217011,2998,38.6,,,,,178,greek_tourism_Stays
EL422,2024,134032,1778161,1912193,17349,46.1,,,,,179,greek_tourism_Stays
EL422,2024,109225,509717,618942,7879,40.4,,,,,180,greek_tourism_Stays
EL422,2024,131007,534585,665592,7681,43.7,,,,,184,greek_tourism_Stays
EL422,2024,124632,108822,233454,2427,42.9,,,,,861,greek_tourism_Stays
EL422,2024,86089,48811,134900,2319,23.8,,,,,862,greek_tourism_Stays
EL651,2024,590835,607030,1197865,11425,46.1,,,,,133,greek_tourism_Stays
EL651,2024,136102,27745,163847,3103,19.4,,,,,134,greek_tourism_Stays
EL541,2024,70361,11547,81908,685,36.6,,,,,135,greek_tourism_Stays
EL541,2024,163238,351693,514931,5643,44.2,,,,,854,greek_tourism_Stays
EL531,2024,12141,1607,13748,1243,7.4,,,,,139,greek_tourism_Stays
EL531,2024,109302,16514,125816,1537,25.9,,,,,167,greek_tourism_Stays
EL515,2024,120923,1007492,1128415,11575,52.3,,,,,150,greek_tourism_Stays
EL515,2024,129059,294778,423837,3442,44.5,,,,,157,greek_tourism_Stays
EL623,2024,9110,17656,26766,265,37.6,,,,,154,greek_tourism_Stays
EL623,2024,119493,1102222,1221715,11194,52.9,,,,,165,greek_tourism_Stays
EL412,2024,35962,26745,62707,965,29.0,,,,,155,greek_tourism_Stays
EL412,2024,129473,915702,1045175,10615,45.5,,,,,858,greek_tourism_Stays
EL421,2024,84097,281906,366003,5214,32.3,,,,,158,greek_tourism_Stays
EL421,2024,46924,556624,603548,6455,47.6,,,,,160,greek_tourism_Stays
EL421,2024,253012,8478223,8731235,59073,57.2,,,,,169,greek_tourism_Stays
EL421,2024,532910,15924861,16457771,103556,56.9,,,,,857,greek_tourism_Stays
