nuts_level,year,rows
0,2008,33
0,2009,33
0,2010,33
0,2011,33
0,2012,33
0,2013,33
0,2014,33
0,2015,33
0,2016,33
0,2017,33
0,2018,33
0,2019,33
0,2020,33
0,2021,33
0,2022,33
0,2023,33
1,2000,4
1,2001,4
1,2002,4
1,2003,4
1,2004,4
1,2005,4
1,2006,4
1,2007,4
1,2008,122
1,2009,122
1,2010,122
1,2011,122
1,2012,122
1,2013,122
1,2014,122
1,2015,122
1,2016,122
1,2017,122
1,2018,122
1,2019,122
1,2020,122
1,2021,122
1,2022,122
1,2023,122
1,2024,4
2,2000,13
2,2001,13
2,2002,13
2,2003,13
2,2004,13
2,2005,13
2,2006,13
2,2007,13
2,2008,292
2,2009,292
2,2010,292
2,2011,292
2,2012,292
2,2013,292
2,2014,292
2,2015,292
2,2016,292
2,2017,292
2,2018,292
2,2019,293
2,2020,293
2,2021,293
2,2022,293
2,2023,293
2,2024,14
3,2000,57
3,2001,57
3,2002,57
3,2003,57
3,2004,57
3,2005,57
3,2006,57
3,2007,57
3,2008,57
3,2009,57
3,2010,57
3,2011,57
3,2012,57
3,2013,57
3,2014,57
3,2015,184
3,2016,184
3,2017,184
3,2018,184
3,2019,804
3,2020,804
3,2021,804
3,2022,804
3,2023,764
3,2024,170
,2008,1
,2009,1
,2010,1
,2011,1
,2012,1
,2013,1
,2014,1
,2015,1
,2016,1
,2017,1
,2018,1
,2019,1
,2020,1
,2021,1
,2022,1
,2023,1
