geo,nuts_level,nuts_label
EL3,1,ATTIKI
EL3,1,Αττική
EL30,2,Attica
EL30,2,Attiki
EL30,2,ΑΤΤΙΚΗΣ
EL30,2,Αττική
EL30,3,ΑΤΤΙΚΗΣ
EL301,3,Voreios Tomeas Athinon
EL301,3,Βόρειος Τομέας Αθηνών
EL302,3,Dytikos Tomeas Athinon
EL302,3,Δυτικός Τομέας Αθηνών
EL303,3,Kentrikos Tomeas Athinon
EL303,3,Κεντρικός Τομέας Αθηνών
EL304,3,Notios Tomeas Athinon
EL304,3,Νότιος Τομέας Αθηνών
EL305,3,Anatoliki Attiki
EL305,3,Ανατολική Αττική
EL306,3,Dytiki Attiki
EL306,3,Δυτική Αττική
EL307,3,"Peiraias, Nisoi"
EL307,3,Νήσοι
EL307,3,Πειραιάς
EL4,1,"NISIA AIGAIOU, KRITI"
EL4,1,"Νησιά Αιγαίου, Κρήτη"
EL41,2,North Aegean
EL41,2,Voreio Aigaio
EL41,2,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ
EL41,2,Βόρειο Αιγαίο
EL411,3,"Lesvos, Limnos"
EL411,3,ΛΕΣΒΟΥ
EL411,3,ΛΗΜΝΟΥ
EL411,3,Λέσβος
EL411,3,Λήμνος
EL412,3,"Ikaria, Samos"
EL412,3,ΙΚΑΡΙΑΣ
EL412,3,Ικαρία
EL412,3,ΣΑΜΟΥ
EL412,3,Σάμος
EL413,3,Chios
EL413,3,ΧΙΟΥ
EL413,3,Χίος
EL42,2,Notio Aigaio
EL42,2,South Aegean
EL42,2,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ
EL42,2,Νότιο Αιγαίο
EL421,3,"Kalymnos, Karpathos, Kos, Rodos"
EL421,3,ΚΑΛΥΜΝΟΥ
EL421,3,ΚΑΡΠΑΘΟΥ
EL421,3,ΚΩ
EL421,3,Κάλυμνος
EL421,3,Κάρπαθος – Ηρωική Νήσος Κάσος
EL421,3,Κως
EL421,3,ΡΟΔΟΥ
EL421,3,Ρόδος
EL422,3,"Andros, Thira, Kea, Milos, Mykonos, Naxos, Paros, Syros, Tinos"
EL422,3,Άνδρος
EL422,3,ΑΝΔΡΟΥ
EL422,3,ΘΗΡΑΣ
EL422,3,Θήρα
EL422,3,ΚΕΑΣ - ΚΥΘΝΟΥ
EL422,3,ΜΗΛΟΥ
EL422,3,ΜΥΚΟΝΟΥ
EL422,3,Μήλος
EL422,3,Μύκονος
EL422,3,ΝΑΞΟΥ
EL422,3,Νάξος
EL422,3,ΠΑΡΟΥ
EL422,3,Πάρος
EL422,3,ΣΥΡΟΥ
EL422,3,Σύρος
EL422,3,ΤΗΝΟΥ
EL422,3,Τήνος
EL43,2,Crete
EL43,2,Kriti
EL43,2,ΚΡΗΤΗΣ
EL43,2,Κρήτη
EL431,3,Irakleio
EL431,3,ΗΡΑΚΛΕΙΟΥ
EL431,3,Ηράκλειο
EL432,3,Lasithi
EL432,3,ΛΑΣΙΘΙΟΥ
EL432,3,Λασίθι
EL433,3,Rethymni
EL433,3,ΡΕΘΥΜΝΟΥ
EL433,3,Ρέθυμνο
EL434,3,Chania
EL434,3,ΧΑΝΙΩΝ
EL434,3,Χανιά
EL5,1,VOREIA ELLADA
EL5,1,Βόρεια Ελλάδα
EL51,2,"Anatoliki Makedonia, Thraki"
EL51,2,Eastern Macedonia & Thrace
EL51,2,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ
EL51,2,"Ανατολική Μακεδονία, Θράκη"
EL511,3,Evros
EL511,3,Έβρος
EL511,3,ΕΒΡΟΥ
EL512,3,Xanthi
EL512,3,ΞΑΝΘΗΣ
EL512,3,Ξάνθη
EL513,3,Rodopi
