nuts_level,nuts_label
1,ATTIKI
1,KENTRIKI ELLADA
1,"NISIA AIGAIOU, KRITI"
1,VOREIA ELLADA
1,Αττική
1,Βόρεια Ελλάδα
1,Κεντρική Ελλάδα
1,"Νησιά Αιγαίου, Κρήτη"
2,"Anatoliki Makedonia, Thraki"
2,Attica
2,Attiki
2,Central Greece
2,Central Macedonia
2,Crete
2,Dytiki Ellada
2,Dytiki Makedonia
2,Eastern Macedonia & Thrace
2,Epirus
2,Ionia Nisia
2,Ionian Islands
2,Ipeiros
2,Kentriki Makedonia
2,Kriti
2,North Aegean
2,Notio Aigaio
2,Peloponnese
2,Peloponnisos
2,South Aegean
2,Sterea Ellada
2,Thessalia
2,Thessaly
2,Voreio Aigaio
2,Western Greece
2,Western Macedonia
2,Ήπειρος
2,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ
2,ΑΤΤΙΚΗΣ
2,"Ανατολική Μακεδονία, Θράκη"
2,Αττική
2,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ
2,Βόρειο Αιγαίο
2,ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ
2,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
2,Δυτική Ελλάδα
2,Δυτική Μακεδονία
2,ΗΠΕΙΡΟΥ
2,ΘΕΣΣΑΛΙΑΣ
2,Θεσσαλία
2,ΙΟΝΙΩΝ ΝΗΣΩΝ
2,Ιόνια Νησιά
2,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
2,ΚΡΗΤΗΣ
2,Κεντρική Μακεδονία
2,Κρήτη
2,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ
2,Νότιο Αιγαίο
2,ΠΕΛΟΠΟΝΝΗΣΟΥ
2,Πελοπόννησος
2,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ
2,Στερεά Ελλάδα
3,Achaia
3,Aitoloakarnania
3,Anatoliki Attiki
3,"Andros, Thira, Kea, Milos, Mykonos, Naxos, Paros, Syros, Tinos"
3,Argolida
3,Arkadia
3,Arta
3,Chalkidiki
3,Chania
3,Chios
3,Drama
3,Dytiki Attiki
3,Dytikos Tomeas Athinon
3,Evros
3,Evrytania
3,Evvoia
3,Florina
3,Fokida
3,Fthiotida
3,Grevena
3,"Ikaria, Samos"
3,Ileia
3,Imathia
3,Ioannina
3,Irakleio
3,"Ithaki, Kefallinia"
3,"Kalymnos, Karpathos, Kos, Rodos"
3,Karditsa
3,Kastoria
3,Kentrikos Tomeas Athinon
3,Kerkyra
3,Kilkis
3,Korinthia
3,Kozani
3,Lakonia
3,Larisa
3,Lasithi
3,Lefkada
3,"Lesvos, Limnos"
3,Magnisia
3,Messinia
3,Notios Tomeas Athinon
3,"Peiraias, Nisoi"
3,Pella
3,Pieria
3,Preveza
3,Rethymni
3,Rodopi
3,Serres
3,"Thasos, Kavala"
3,Thesprotia
3,Thessaloniki
3,Trikala
3,Voiotia
3,Voreios Tomeas Athinon
3,Xanthi
3,Zakynthos
3,Άνδρος
3,Άρτα
3,Έβρος
3,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ
3,ΑΝΔΡΟΥ
3,ΑΡΓΟΛΙΔΑΣ
3,ΑΡΚΑΔΙΑΣ
3,ΑΡΤΑΣ
3,ΑΤΤΙΚΗΣ
3,ΑΧΑΪΑΣ
3,Αιτωλοακαρνανία
3,Ανατολική Αττική
3,Αργολίδα
3,Αρκαδία
3,Αχαΐα
3,ΒΟΙΩΤΙΑΣ
3,Βοιωτία
3,Βόρειος Τομέας Αθηνών
3,ΓΡΕΒΕΝΩΝ
3,Γρεβενά
3,ΔΡΑΜΑΣ
3,Δράμα
3,Δυτική Αττική
3,Δυτικός Τομέας Αθηνών
3,ΕΒΡΟΥ
3,ΕΥΒΟΙΑΣ
3,ΕΥΡΥΤΑΝΙΑΣ
3,Ευρυτανία
3,Εύβοια
3,ΖΑΚΥΝΘΟΥ
3,Ζάκυνθος
3,ΗΛΕΙΑΣ
3,ΗΜΑΘΙΑΣ
3,ΗΡΑΚΛΕΙΟΥ
3,Ηλεία
3,Ημαθία
3,Ηράκλειο
3,ΘΑΣΟΥ
3,ΘΕΣΠΡΩΤΙΑΣ
3,ΘΕΣΣΑΛΟΝΙΚΗΣ
3,ΘΗΡΑΣ
3,Θάσος
3,Θήρα
3,Θεσπρωτία
3,Θεσσαλονίκη
3,ΙΘΑΚΗΣ
3,ΙΚΑΡΙΑΣ
3,ΙΩΑΝΝΙΝΩΝ
3,Ιθάκη
3,Ικαρία
3,Ιωάννινα
3,ΚΑΒΑΛΑΣ
3,ΚΑΛΥΜΝΟΥ
3,ΚΑΡΔΙΤΣΑΣ
3,ΚΑΡΠΑΘΟΥ
3,ΚΑΣΤΟΡΙΑΣ
3,ΚΕΑΣ - ΚΥΘΝΟΥ
3,ΚΕΡΚΥΡΑΣ
3,ΚΕΦΑΛΛΗΝΙΑΣ
3,ΚΙΛΚΙΣ
3,ΚΟΖΑΝΗΣ
3,ΚΟΡΙΝΘΙΑΣ
3,ΚΩ
3,Κάλυμνος
3,Κάρπαθος – Ηρωική Νήσος Κάσος
3,"Κέα, Κύθνος"
3,Κέρκυρα
3,Καβάλα
