geo,year,greek_tourism_GVA__GVA_total
EL3,2000,55125.464069
EL3,2001,59419.656454
EL3,2002,65329.791278
EL3,2003,72220.518926
EL3,2004,79370.020683
EL3,2005,82002.169467
EL3,2006,90669.806037
EL3,2007,96720.534386
EL3,2008,101010.048186
EL3,2009,101364.420247
EL3,2010,95569.825135
EL3,2011,86506.054696
EL3,2012,78167.190503
EL3,2013,75206.353741
EL3,2014,74004.657868
EL3,2015,73428.060156
EL3,2016,72385.450122
EL3,2017,73992.483435
EL3,2018,74774.478028
EL3,2019,77316.604765
EL3,2020,71483.513021
EL3,2021,78311.167564
EL3,2022,88222.999598
EL30,2000,55125.464069
EL30,2001,59419.656454
EL30,2002,65329.791278
EL30,2003,72220.518926
EL30,2004,79370.020683
EL30,2005,82002.169467
EL30,2006,90669.806037
EL30,2007,96720.534386
EL30,2008,101010.048186
EL30,2009,101364.420247
EL30,2010,95569.825135
EL30,2011,86506.054696
EL30,2012,78167.190503
EL30,2013,75206.353741
EL30,2014,74004.657868
EL30,2015,73428.060156
EL30,2016,72385.450122
EL30,2017,73992.483435
EL30,2018,74774.478028
EL30,2019,77316.604765
EL30,2019,77316.604765
EL30,2020,71483.513021
EL30,2020,71483.513021
EL30,2021,78311.167564
EL30,2021,78311.167564
EL30,2022,88222.999598
EL30,2022,88222.999598
EL301,2000,8544.452137
EL301,2001,9266.574902
EL301,2002,10470.697526
EL301,2003,11199.454542
EL301,2004,12388.749471
EL301,2005,13263.795819
EL301,2006,14601.845931
EL301,2007,15799.884491
EL301,2008,16755.874806
EL301,2009,17171.087008
EL301,2010,16414.637206
EL301,2011,15153.671802
EL301,2012,14002.015874
EL301,2013,13605.775376
EL301,2014,13561.641821
EL301,2015,13632.432719
EL301,2016,13449.642385
EL301,2017,13768.542015
EL301,2018,13610.063905
EL301,2019,14348.390127
EL301,2020,13508.948858
EL301,2021,14679.810541
EL301,2022,16470.987496
EL302,2000,4123.074346
EL302,2001,4464.339109
EL302,2002,4873.907039
EL302,2003,5337.994402
EL302,2004,5763.562707
EL302,2005,5847.808533
EL302,2006,6407.21652
EL302,2007,6613.994575
EL302,2008,6811.141887
EL302,2009,6738.961076
EL302,2010,6280.023971
EL302,2011,5618.754823
EL302,2012,5199.95684
EL302,2013,4948.307858
EL302,2014,4939.396071
EL302,2015,4791.007452
EL302,2016,4764.792077
EL302,2017,4830.276923
EL302,2018,4910.836977
EL302,2019,5146.993209
EL302,2020,4773.892739
EL302,2021,5280.618271
EL302,2022,6011.172119
EL303,2000,20990.556805
EL303,2001,22616.113655
EL303,2002,24710.952301
EL303,2003,26631.688974
EL303,2004,29184.582236
EL303,2005,30493.502782
EL303,2006,32672.466074
EL303,2007,34815.934326
EL303,2008,36613.718556
EL303,2009,36792.249798
EL303,2010,34329.201674
EL303,2011,30854.444933
EL303,2012,27896.139995
EL303,2013,26787.343624
EL303,2014,26477.334934
EL303,2015,26190.226218
EL303,2016,25820.680297
EL303,2017,26403.163904
EL303,2018,26620.946467
EL303,2019,27361.665008
EL303,2020,25253.927953
EL303,2021,27728.861302
EL303,2022,30883.242627
EL304,2000,6788.639981
EL304,2001,7231.564809
EL304,2002,7909.515088
EL304,2003,8695.624503
EL304,2004,9512.831443
EL304,2005,9930.187116
EL304,2006,10586.42137
EL304,2007,11399.80773
EL304,2008,11874.818218
EL304,2009,11704.130756
EL304,2010,11075.815377
EL304,2011,10029.687873
EL304,2012,9096.211566
EL304,2013,8795.823853
EL304,2014,8704.922854
EL304,2015,8595.512238
EL304,2016,8544.51447
EL304,2017,8855.359585
EL304,2018,8938.394487
EL304,2019,9170.190428
EL304,2020,8334.629699
EL304,2021,9211.731005
EL304,2022,10374.22455
EL305,2000,4762.575934
EL305,2001,5196.679154
EL305,2002,6110.661842
EL305,2003,7457.317439
EL305,2004,8316.095442
EL305,2005,8443.585655
EL305,2006,10117.831186
EL305,2007,11112.283409
EL305,2008,11507.66626
EL305,2009,11892.753408
EL305,2010,11479.717959
EL305,2011,10672.440387
EL305,2012,9338.433172
EL305,2013,8918.214197
EL305,2014,8625.623474
EL305,2015,8695.548005
EL305,2016,8563.51715
EL305,2017,8640.005667
EL305,2018,8829.46527
EL305,2019,9150.24352
EL305,2020,8405.980653
EL305,2021,9267.08319
EL305,2022,10538.872801
EL306,2003,3915.567253
EL306,2004,4272.678473
EL306,2005,3998.099962
EL306,2006,5260.481769
EL306,2007,5370.072502
EL306,2008,5472.031576
EL306,2009,5344.278743
EL306,2010,4950.407884
EL306,2011,4405.254103
EL306,2022,4383.985872
EL307,2000,7397.245734
EL307,2001,7882.981982
EL307,2002,8026.625744
EL307,2003,8982.871813
EL307,2004,9931.520911
EL307,2005,10025.189601
EL307,2006,11023.543188
EL307,2007,11608.557353
EL307,2008,11974.796883
EL307,2009,11720.959457
EL307,2010,11040.021065
EL307,2011,9771.800775
EL307,2012,8844.788476
EL307,2013,8498.683703
EL307,2014,8365.174779
EL307,2015,8139.556287
EL307,2015,8139.556287
EL307,2015,8139.556287
EL307,2015,8139.556287
EL307,2016,7947.038648
EL307,2016,7947.038648
EL307,2016,7947.038648
EL307,2016,7947.038648
EL307,2017,8202.643355
EL307,2017,8202.643355
