geo,nuts_level,nuts_label
EL3,1.0,ATTIKI
EL3,1.0,Αττική
EL3,1.0,
EL30,2.0,Attica
EL30,2.0,Attiki
EL30,2.0,ΑΤΤΙΚΗΣ
EL30,2.0,Αττική
EL30,2.0,
EL30,3.0,ΑΤΤΙΚΗΣ
EL301,3.0,Voreios Tomeas Athinon
EL301,3.0,Βόρειος Τομέας Αθηνών
EL302,3.0,Dytikos Tomeas Athinon
EL302,3.0,Δυτικός Τομέας Αθηνών
EL303,3.0,Kentrikos Tomeas Athinon
EL303,3.0,Κεντρικός Τομέας Αθηνών
EL304,3.0,Notios Tomeas Athinon
EL304,3.0,Νότιος Τομέας Αθηνών
EL305,3.0,Anatoliki Attiki
EL305,3.0,Ανατολική Αττική
EL306,3.0,Dytiki Attiki
EL306,3.0,Δυτική Αττική
EL307,3.0,"Peiraias, Nisoi"
EL307,3.0,Νήσοι
EL307,3.0,Πειραιάς
EL4,1.0,"NISIA AIGAIOU, KRITI"
EL4,1.0,"Νησιά Αιγαίου, Κρήτη"
EL4,1.0,
EL41,2.0,North Aegean
EL41,2.0,Voreio Aigaio
EL41,2.0,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ
EL41,2.0,Βόρειο Αιγαίο
EL41,2.0,
EL411,3.0,"Lesvos, Limnos"
EL411,3.0,ΛΕΣΒΟΥ
EL411,3.0,ΛΗΜΝΟΥ
EL411,3.0,Λέσβος
EL411,3.0,Λήμνος
EL412,3.0,"Ikaria, Samos"
EL412,3.0,ΙΚΑΡΙΑΣ
EL412,3.0,Ικαρία
EL412,3.0,ΣΑΜΟΥ
EL412,3.0,Σάμος
EL413,3.0,Chios
EL413,3.0,ΧΙΟΥ
EL413,3.0,Χίος
EL42,2.0,Notio Aigaio
EL42,2.0,South Aegean
EL42,2.0,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ
EL42,2.0,Νότιο Αιγαίο
EL42,2.0,
EL421,3.0,"Kalymnos, Karpathos, Kos, Rodos"
EL421,3.0,ΚΑΛΥΜΝΟΥ
EL421,3.0,ΚΑΡΠΑΘΟΥ
EL421,3.0,ΚΩ
EL421,3.0,Κάλυμνος
EL421,3.0,Κάρπαθος – Ηρωική Νήσος Κάσος
EL421,3.0,Κως
EL421,3.0,ΡΟΔΟΥ
EL421,3.0,Ρόδος
EL422,3.0,"Andros, Thira, Kea, Milos, Mykonos, Naxos, Paros, Syros, Tinos"
EL422,3.0,Άνδρος
EL422,3.0,ΑΝΔΡΟΥ
EL422,3.0,ΘΗΡΑΣ
EL422,3.0,Θήρα
EL422,3.0,ΚΕΑΣ - ΚΥΘΝΟΥ
EL422,3.0,ΜΗΛΟΥ
EL422,3.0,ΜΥΚΟΝΟΥ
EL422,3.0,Μήλος
EL422,3.0,Μύκονος
EL422,3.0,ΝΑΞΟΥ
EL422,3.0,Νάξος
EL422,3.0,ΠΑΡΟΥ
EL422,3.0,Πάρος
EL422,3.0,ΣΥΡΟΥ
EL422,3.0,Σύρος
EL422,3.0,ΤΗΝΟΥ
EL422,3.0,Τήνος
EL43,2.0,Crete
EL43,2.0,Kriti
EL43,2.0,ΚΡΗΤΗΣ
EL43,2.0,Κρήτη
EL43,2.0,
EL431,3.0,Irakleio
EL431,3.0,ΗΡΑΚΛΕΙΟΥ
EL431,3.0,Ηράκλειο
EL432,3.0,Lasithi
EL432,3.0,ΛΑΣΙΘΙΟΥ
EL432,3.0,Λασίθι
EL433,3.0,Rethymni
EL433,3.0,ΡΕΘΥΜΝΟΥ
EL433,3.0,Ρέθυμνο
EL434,3.0,Chania
EL434,3.0,ΧΑΝΙΩΝ
EL434,3.0,Χανιά
EL5,1.0,VOREIA ELLADA
EL5,1.0,Βόρεια Ελλάδα
EL5,1.0,
EL51,2.0,"Anatoliki Makedonia, Thraki"
EL51,2.0,Eastern Macedonia & Thrace
EL51,2.0,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ
EL51,2.0,"Ανατολική Μακεδονία, Θράκη"
EL51,2.0,
EL511,3.0,Evros
EL511,3.0,Έβρος
EL511,3.0,ΕΒΡΟΥ
EL512,3.0,Xanthi
EL512,3.0,ΞΑΝΘΗΣ
EL512,3.0,Ξάνθη
EL513,3.0,Rodopi
EL513,3.0,ΡΟΔΟΠΗΣ
