geo,year,Hotel_Arrivals_Total
EL307,2015,101597.0
EL307,2015,216752.0
EL307,2016,112584.0
EL307,2016,221401.0
EL307,2017,117308.0
EL307,2017,235131.0
EL307,2018,161844.0
EL307,2018,263072.0
EL307,2019,149692.0
EL307,2019,267974.0
EL307,2020,68143.0
EL307,2020,98552.0
EL307,2021,121289.0
EL307,2021,139938.0
EL307,2022,148167.0
EL307,2022,251921.0
EL307,2023,168616.0
EL307,2023,315349.0
EL411,2015,131633.0
EL411,2015,24728.0
EL411,2016,91988.0
EL411,2016,24386.0
EL411,2017,112531.0
EL411,2017,28120.0
EL411,2018,121108.0
EL411,2018,33043.0
EL411,2019,119220.0
EL411,2019,34123.0
EL411,2020,28348.0
EL411,2020,13106.0
EL411,2021,52605.0
EL411,2021,15780.0
EL411,2022,106456.0
EL411,2022,28856.0
EL411,2023,131154.0
EL411,2023,30917.0
EL412,2015,9910.0
EL412,2015,124530.0
EL412,2016,8782.0
EL412,2016,109373.0
EL412,2017,10046.0
EL412,2017,133809.0
EL412,2018,9935.0
EL412,2018,169716.0
EL412,2019,12200.0
EL412,2019,175721.0
EL412,2020,4479.0
EL412,2020,29208.0
EL412,2021,8435.0
EL412,2021,84255.0
EL412,2022,11680.0
EL412,2022,154100.0
EL412,2023,13398.0
EL412,2023,175068.0
EL421,2015,30846.0
EL421,2015,39042.0
EL421,2015,811729.0
EL421,2015,1609745.0
EL421,2016,36699.0
EL421,2016,42288.0
EL421,2016,658747.0
EL421,2016,1802002.0
EL421,2017,37526.0
EL421,2017,48332.0
EL421,2017,866962.0
EL421,2017,1869709.0
EL421,2018,82869.0
EL421,2018,88459.0
EL421,2018,1228781.0
EL421,2018,2456640.0
EL421,2019,79908.0
EL421,2019,89876.0
EL421,2019,1297915.0
EL421,2019,2419562.0
EL421,2020,28607.0
EL421,2020,20968.0
EL421,2020,435942.0
EL421,2020,675756.0
EL421,2021,48809.0
EL421,2021,35260.0
EL421,2021,726690.0
EL421,2021,1551402.0
EL421,2022,72346.0
EL421,2022,91931.0
EL421,2022,1241099.0
EL421,2022,2262421.0
EL421,2023,87396.0
EL421,2023,103141.0
EL421,2023,1364894.0
EL421,2023,2312749.0
EL422,2015,16532.0
EL422,2015,215329.0
EL422,2015,22129.0
EL422,2015,264167.0
