geo,year,Turnover_Accomodation
EL411,2019,20349.0
EL411,2019,5134.0
EL411,2022,21040.0
EL411,2022,7282.0
EL411,2024,34902.0
EL411,2024,14614.0
EL412,2019,2332.0
EL412,2019,45920.0
EL412,2020,1028.0
EL412,2020,14547.0
EL412,2021,2019.0
EL412,2021,30240.0
EL412,2022,2616.0
EL412,2022,54689.0
EL412,2023,3208.0
EL412,2023,59493.0
EL412,2024,3869.0
EL412,2024,68562.0
EL421,2019,11722.0
EL421,2019,24985.0
EL421,2019,324232.0
EL421,2019,814992.0
EL421,2020,4562.0
EL421,2020,4165.0
EL421,2020,89952.0
EL421,2020,225749.0
EL421,2021,9076.0
EL421,2021,14890.0
EL421,2021,221564.0
EL421,2021,604741.0
EL421,2022,17902.0
EL421,2022,28801.0
EL421,2022,409161.0
EL421,2022,1051481.0
EL421,2023,22625.0
EL421,2023,34751.0
EL421,2023,446349.0
EL421,2023,1087198.0
EL421,2024,24482.0
EL421,2024,37082.0
EL421,2024,496001.0
EL421,2024,1347443.0
EL422,2019,5758.0
EL422,2019,370193.0
EL422,2019,3011.0
EL422,2019,31334.0
EL422,2019,261827.0
EL422,2019,54170.0
EL422,2019,49124.0
EL422,2019,10160.0
EL422,2019,7196.0
EL422,2020,3748.0
EL422,2020,94012.0
EL422,2020,2105.0
EL422,2020,15553.0
EL422,2020,55097.0
EL422,2020,16951.0
EL422,2020,16980.0
EL422,2020,5605.0
EL422,2020,3899.0
EL422,2021,6270.0
EL422,2021,302131.0
EL422,2021,3900.0
EL422,2021,35328.0
EL422,2021,223302.0
EL422,2021,44613.0
EL422,2021,47751.0
EL422,2021,10770.0
EL422,2021,7631.0
EL422,2022,8261.0
EL422,2022,548436.0
EL422,2022,6315.0
EL422,2022,51468.0
EL422,2022,377723.0
EL422,2022,74782.0
EL422,2022,75797.0
EL422,2022,15608.0
EL422,2022,11212.0
EL422,2023,8331.0
EL422,2023,543732.0
EL422,2023,6969.0
EL422,2023,60290.0
EL422,2023,339903.0
EL422,2023,82932.0
EL422,2023,89077.0
EL422,2023,17196.0
EL422,2023,13176.0
EL422,2024,8007.0
EL422,2024,492378.0
EL422,2024,6758.0
EL422,2024,65161.0
EL422,2024,314077.0
EL422,2024,85726.0
EL422,2024,92801.0
EL422,2024,19241.0
EL422,2024,13398.0
EL515,2019,51703.0
EL515,2019,17835.0
EL515,2020,15350.0
EL515,2020,7592.0
EL515,2021,40303.0
EL515,2021,13241.0
EL515,2022,64974.0
EL515,2022,21364.0
EL515,2023,76580.0
EL515,2023,29165.0
EL515,2024,86446.0
EL515,2024,33771.0
EL531,2019,3609.0
EL531,2019,13532.0
EL531,2020,3191.0
EL531,2020,6752.0
EL531,2021,1530.0
EL531,2021,10769.0
EL531,2023,1428.0
EL531,2023,17420.0
EL531,2024,1552.0
EL531,2024,18158.0
EL541,2019,2785.0
EL541,2019,31349.0
EL541,2020,1499.0
EL541,2020,14420.0
EL541,2021,2070.0
EL541,2021,28318.0
EL541,2022,2898.0
EL541,2022,43176.0
EL541,2023,3389.0
EL541,2023,50978.0
EL541,2024,3987.0
EL541,2024,57117.0
EL611,2019,6435.0
EL611,2019,18951.0
EL611,2020,3073.0
EL611,2020,6761.0
EL611,2021,4063.0
EL611,2021,10874.0
EL611,2022,6443.0
EL611,2022,18502.0
EL611,2023,7060.0
EL611,2023,24635.0
EL611,2024,7904.0
EL611,2024,25122.0
EL613,2019,35871.0
EL613,2019,58731.0
EL613,2020,21090.0
EL613,2020,16504.0
EL613,2021,29672.0
EL613,2021,42060.0
EL613,2022,41378.0
EL613,2022,77786.0
EL613,2023,45086.0
EL613,2023,85127.0
EL613,2024,45580.0
EL613,2024,95026.0
EL623,2019,2319.0
EL623,2019,66439.0
EL623,2020,927.0
EL623,2020,21833.0
EL623,2021,1741.0
EL623,2021,43094.0
EL623,2022,2956.0
EL623,2022,92920.0
EL623,2023,3456.0
EL623,2023,101763.0
EL623,2024,3838.0
EL623,2024,109407.0
EL651,2019,36663.0
EL651,2019,6965.0
EL651,2020,16273.0
EL651,2020,5413.0
EL651,2021,28197.0
EL651,2021,5872.0
EL651,2022,40781.0
EL651,2022,9022.0
EL651,2023,45050.0
EL651,2023,10772.0
EL651,2024,47824.0
EL651,2024,11317.0
EL653,2019,22413.0
EL653,2019,42906.0
EL653,2020,14526.0
EL653,2020,22203.0
EL653,2021,21933.0
EL653,2021,35666.0
EL653,2022,32273.0
EL653,2022,52664.0
EL653,2023,36943.0
EL653,2023,58630.0
EL653,2024,41482.0
EL653,2024,64704.0
