geo,year,Hotel_Stays_Total
EL307,2015,297448.0
EL307,2015,383248.0
EL307,2016,318368.0
EL307,2016,392697.0
EL307,2017,332829.0
EL307,2017,411113.0
EL307,2018,448261.0
EL307,2018,465580.0
EL307,2019,416518.0
EL307,2019,480435.0
EL307,2020,189671.0
EL307,2020,183444.0
EL307,2021,325386.0
EL307,2021,257557.0
EL307,2022,397137.0
EL307,2022,469149.0
EL307,2023,464604.0
EL307,2023,582865.0
EL307,2024,521439.0
EL307,2024,644888.0
EL411,2015,584023.0
EL411,2015,141312.0
EL411,2016,465863.0
EL411,2016,133417.0
EL411,2017,518543.0
EL411,2017,147165.0
EL411,2018,597421.0
EL411,2018,162937.0
EL411,2019,551146.0
EL411,2019,177566.0
EL411,2020,126335.0
EL411,2020,62882.0
EL411,2021,255945.0
EL411,2021,70987.0
EL411,2022,479028.0
EL411,2022,146205.0
EL411,2023,567591.0
EL411,2023,161705.0
EL411,2024,667843.0
EL411,2024,180541.0
EL412,2015,45415.0
EL412,2015,797400.0
EL412,2016,39110.0
EL412,2016,691533.0
EL412,2017,46628.0
EL412,2017,849795.0
EL412,2018,42044.0
EL412,2018,1073283.0
EL412,2019,47000.0
EL412,2019,1045599.0
EL412,2020,17046.0
EL412,2020,214028.0
EL412,2021,26411.0
EL412,2021,505022.0
EL412,2022,44900.0
EL412,2022,939334.0
EL412,2023,51669.0
EL412,2023,1025921.0
EL412,2024,62707.0
EL412,2024,1045175.0
EL421,2015,125823.0
EL421,2015,294109.0
EL421,2015,5796309.0
EL421,2015,10134446.0
EL421,2016,141479.0
EL421,2016,310427.0
EL421,2016,4900070.0
EL421,2016,10933288.0
EL421,2017,147669.0
EL421,2017,349461.0
EL421,2017,6012150.0
EL421,2017,11886530.0
EL421,2018,329532.0
EL421,2018,576274.0
EL421,2018,8238937.0
EL421,2018,15329658.0
EL421,2019,323059.0
EL421,2019,567511.0
EL421,2019,8584135.0
EL421,2019,15103055.0
EL421,2020,117726.0
EL421,2020,94228.0
EL421,2020,2514660.0
EL421,2020,3937353.0
EL421,2021,191002.0
EL421,2021,178221.0
EL421,2021,4573361.0
EL421,2021,8448852.0
EL421,2022,291186.0
EL421,2022,548581.0
EL421,2022,7874209.0
EL421,2022,14006567.0
EL421,2023,348784.0
EL421,2023,613234.0
EL421,2023,8530541.0
EL421,2023,13881283.0
EL421,2024,366003.0
EL421,2024,603548.0
EL421,2024,8731235.0
EL421,2024,16457771.0
EL422,2015,59506.0
EL422,2015,758649.0
EL422,2015,82978.0
EL422,2015,860295.0
EL422,2015,169270.0
EL422,2015,314474.0
EL422,2015,91986.0
EL422,2015,112388.0
EL422,2016,73813.0
EL422,2016,684974.0
