geo,nuts_labels,n_variants
EL422,"Andros, Thira, Kea, Milos, Mykonos, Naxos, Paros, Syros, Tinos | Άνδρος | ΑΝΔΡΟΥ | ΘΗΡΑΣ | Θήρα | ΚΕΑΣ - ΚΥΘΝΟΥ | ΜΗΛΟΥ | ΜΥΚΟΝΟΥ | Μήλος | Μύκονος | ΝΑΞΟΥ | Νάξος | ΠΑΡΟΥ | Πάρος | ΣΥΡΟΥ | Σύρος | ΤΗΝΟΥ | Τήνος",18
EL421,"Kalymnos, Karpathos, Kos, Rodos | ΚΑΛΥΜΝΟΥ | ΚΑΡΠΑΘΟΥ | ΚΩ | Κάλυμνος | Κάρπαθος – Ηρωική Νήσος Κάσος | Κως | ΡΟΔΟΥ | Ρόδος",9
EL531,Grevena | Kozani | ΓΡΕΒΕΝΩΝ | Γρεβενά | ΚΟΖΑΝΗΣ | Κοζάνη,6
EL541,Arta | Preveza | Άρτα | ΑΡΤΑΣ | ΠΡΕΒΕΖΑΣ | Πρέβεζα,6
EL611,Karditsa | Trikala | ΚΑΡΔΙΤΣΑΣ | Καρδίτσα | ΤΡΙΚΑΛΩΝ | Τρίκαλα,6
EL651,Argolida | Arkadia | ΑΡΓΟΛΙΔΑΣ | ΑΡΚΑΔΙΑΣ | Αργολίδα | Αρκαδία,6
EL653,Lakonia | Messinia | ΛΑΚΩΝΙΑΣ | Λακωνία | ΜΕΣΣΗΝΙΑΣ | Μεσσηνία,6
EL411,"Lesvos, Limnos | ΛΕΣΒΟΥ | ΛΗΜΝΟΥ | Λέσβος | Λήμνος",5
EL412,"Ikaria, Samos | ΙΚΑΡΙΑΣ | Ικαρία | ΣΑΜΟΥ | Σάμος",5
EL515,"Thasos, Kavala | ΘΑΣΟΥ | Θάσος | ΚΑΒΑΛΑΣ | Καβάλα",5
EL613,Magnisia | ΜΑΓΝΗΣΙΑΣ | Μαγνησία | ΣΠΟΡΑΔΩΝ | Σποράδες,5
EL623,"Ithaki, Kefallinia | ΙΘΑΚΗΣ | Ιθάκη | ΚΕΦΑΛΛΗΝΙΑΣ | Κεφαλληνία",5
EL413,Chios | ΧΙΟΥ | Χίος,3
EL431,Irakleio | ΗΡΑΚΛΕΙΟΥ | Ηράκλειο,3
EL432,Lasithi | ΛΑΣΙΘΙΟΥ | Λασίθι,3
EL433,Rethymni | ΡΕΘΥΜΝΟΥ | Ρέθυμνο,3
EL434,Chania | ΧΑΝΙΩΝ | Χανιά,3
EL512,Xanthi | ΞΑΝΘΗΣ | Ξάνθη,3
EL513,Rodopi | ΡΟΔΟΠΗΣ | Ροδόπη,3
EL514,Drama | ΔΡΑΜΑΣ | Δράμα,3
EL521,Imathia | ΗΜΑΘΙΑΣ | Ημαθία,3
EL522,Thessaloniki | ΘΕΣΣΑΛΟΝΙΚΗΣ | Θεσσαλονίκη,3
EL523,Kilkis | ΚΙΛΚΙΣ | Κιλκίς,3
EL524,Pella | ΠΕΛΛΑΣ | Πέλλα,3
EL525,Pieria | ΠΙΕΡΙΑΣ | Πιερία,3
EL526,Serres | ΣΕΡΡΩΝ | Σέρρες,3
EL527,Chalkidiki | ΧΑΛΚΙΔΙΚΗΣ | Χαλκιδική,3
EL532,Kastoria | ΚΑΣΤΟΡΙΑΣ | Καστοριά,3
EL533,Florina | ΦΛΩΡΙΝΑΣ | Φλώρινα,3
EL542,Thesprotia | ΘΕΣΠΡΩΤΙΑΣ | Θεσπρωτία,3
EL543,Ioannina | ΙΩΑΝΝΙΝΩΝ | Ιωάννινα,3
EL612,Larisa | ΛΑΡΙΣΑΣ | Λάρισα,3
EL621,Zakynthos | ΖΑΚΥΝΘΟΥ | Ζάκυνθος,3
EL622,Kerkyra | ΚΕΡΚΥΡΑΣ | Κέρκυρα,3
EL624,Lefkada | ΛΕΥΚΑΔΑΣ | Λευκάδα,3
EL631,Aitoloakarnania | ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ | Αιτωλοακαρνανία,3
EL632,Achaia | ΑΧΑΪΑΣ | Αχαΐα,3
EL633,Ileia | ΗΛΕΙΑΣ | Ηλεία,3
EL641,Voiotia | ΒΟΙΩΤΙΑΣ | Βοιωτία,3
EL642,Evvoia | ΕΥΒΟΙΑΣ | Εύβοια,3
EL643,Evrytania | ΕΥΡΥΤΑΝΙΑΣ | Ευρυτανία,3
EL644,Fthiotida | ΦΘΙΩΤΙΔΑΣ | Φθιώτιδα,3
EL645,Fokida | ΦΩΚΙΔΑΣ | Φωκίδα,3
EL652,Korinthia | ΚΟΡΙΝΘΙΑΣ | Κορινθία,3
